step,cap_deg,ix_j0,ix_j1,ix_j2,ix_j3,th_j0,th_j1,th_j2,th_j3,mi_j0,mi_j1,mi_j2,mi_j3,ri_j0,ri_j1,ri_j2,ri_j3
154,144.43,-0.277673,1.61,-0.174,-0.227,1.396,0.606155,0.527506,-0.162,0.146891,1.439503,-0.057824,0.480646,0.301312,1.579877,-0.030428,-0.02796
155,144.42,-0.283887,1.61,-0.174,-0.227,1.396,0.611927,0.519446,-0.162,0.153453,1.446168,-0.067547,0.488954,0.293379,1.590635,-0.048627,-0.021567
156,144.6,-0.289595,1.61,-0.174,-0.227,1.396,0.631588,0.533705,-0.162,0.148874,1.441512,-0.087828,0.483372,0.290504,1.590391,-0.073613,-0.029063
157,144.93,-0.29939,1.61,-0.174,-0.227,1.396,0.63736,0.549804,-0.162,0.139792,1.425544,-0.107617,0.49168,0.28317,1.579861,-0.089128,-0.050448
158,145.25,-0.30223,1.61,-0.174,-0.227,1.396,0.629244,0.553984,-0.162,0.137483,1.414844,-0.113517,0.488051,0.280252,1.572177,-0.082655,-0.079314
159,145.43,-0.302262,1.61,-0.174,-0.227,1.396,0.607238,0.555584,-0.162,0.138453,1.415239,-0.105528,0.498311,0.283007,1.565611,-0.076543,-0.094291
160,145.39,-0.297923,1.61,-0.174,-0.227,1.396,0.599121,0.55046,-0.162,0.130531,1.418299,-0.08365,0.494681,0.287773,1.563222,-0.063505,-0.095379
161,145.24,-0.294573,1.61,-0.174,-0.227,1.396,0.604894,0.549497,-0.162,0.136498,1.422747,-0.064196,0.477163,0.290554,1.564121,-0.054602,-0.082578
162,145.42,-0.286938,1.61,-0.174,-0.227,1.396,0.596777,0.546503,-0.162,0.128576,1.426667,-0.063152,0.473534,0.298138,1.565268,-0.045819,-0.083666
163,145.75,-0.283297,1.61,-0.174,-0.227,1.396,0.59186,0.543713,-0.162,0.11878,1.430498,-0.061698,0.483794,0.301008,1.569082,-0.043812,-0.070865
164,146.66,-0.274828,1.61,-0.174,-0.227,1.396,0.573054,0.533608,-0.162,0.122873,1.438134,-0.060634,0.480165,0.306617,1.570956,-0.028142,-0.064948
165,147.74,-0.271899,1.61,-0.174,-0.227,1.396,0.568136,0.512287,-0.162,0.140855,1.444786,-0.058963,0.483421,0.307567,1.579299,-0.032268,-0.045141
166,148.1,-0.26583,1.61,-0.174,-0.227,1.396,0.5606,0.49321,-0.162,0.172291,1.449635,-0.057226,0.476314,0.311027,1.589292,-0.022351,-0.039223
167,148.14,-0.275687,1.61,-0.174,-0.227,1.396,0.566952,0.508304,-0.162,0.162846,1.441085,-0.069379,0.483096,0.302599,1.590691,-0.045352,-0.047194
168,148.33,-0.278739,1.61,-0.174,-0.227,1.396,0.587193,0.51677,-0.162,0.159985,1.435217,-0.09542,0.476756,0.299927,1.590134,-0.06032,-0.064786
169,149.56,-0.291842,1.61,-0.174,-0.227,1.396,0.6164,0.522575,-0.162,0.146546,1.431139,-0.107573,0.456527,0.28652,1.586464,-0.06155,-0.068489
170,150.24,-0.289433,1.61,-0.174,-0.227,1.396,0.631718,0.533056,-0.162,0.149729,1.438503,-0.105836,0.450187,0.289503,1.58912,-0.064725,-0.080344
171,150.67,-0.303961,1.61,-0.174,-0.227,1.396,0.633147,0.548463,-0.162,0.135702,1.435685,-0.090211,0.457736,0.278346,1.580987,-0.078001,-0.07831
172,150.87,-0.295044,1.61,-0.174,-0.227,1.396,0.620687,0.56263,-0.162,0.128368,1.42941,-0.068892,0.479174,0.289423,1.577762,-0.069157,-0.090165
173,151.29,-0.294699,1.61,-0.174,-0.227,1.396,0.594338,0.561658,-0.162,0.108947,1.427933,-0.069724,0.486723,0.290693,1.574635,-0.064453,-0.105034
174,151.42,-0.289019,1.61,-0.174,-0.227,1.396,0.581878,0.559259,-0.162,0.100781,1.429155,-0.073487,0.480383,0.297438,1.572396,-0.053581,-0.106013
175,151.57,-0.2807,1.61,-0.174,-0.227,1.396,0.583307,0.55728,-0.162,0.100502,1.438034,-0.082034,0.460154,0.305295,1.572626,-0.0387,-0.093104
176,152.25,-0.273928,1.61,-0.174,-0.227,1.396,0.570847,0.551608,-0.162,0.086335,1.444952,-0.082611,0.453814,0.310672,1.57558,-0.031465,-0.066306
177,154.19,-0.261089,1.61,-0.174,-0.227,1.396,0.572276,0.545629,-0.162,0.086057,1.435598,-0.059882,0.461363,0.319846,1.577037,-0.0253,-0.053397
178,155.76,-0.255919,1.61,-0.174,-0.227,1.396,0.587594,0.55748,-0.162,0.099668,1.424474,-0.061613,0.456625,0.329098,1.570547,-0.036406,-0.041478
179,155.8,-0.262117,1.61,-0.174,-0.227,1.396,0.589023,0.547345,-0.162,0.09939,1.429723,-0.066662,0.458914,0.320857,1.579183,-0.044288,-0.043448
180,156.18,-0.266461,1.61,-0.174,-0.227,1.396,0.576564,0.538668,-0.162,0.108649,1.439968,-0.077956,0.447313,0.315581,1.590251,-0.059486,-0.059306
181,156.71,-0.275834,1.61,-0.174,-0.227,1.396,0.577993,0.543203,-0.162,0.131798,1.436087,-0.103139,0.449602,0.307859,1.592374,-0.082214,-0.089054
182,157.31,-0.288817,1.61,-0.174,-0.227,1.396,0.593311,0.54893,-0.162,0.141057,1.428937,-0.114433,0.438001,0.294638,1.588159,-0.082961,-0.104912
183,157.05,-0.288545,1.61,-0.174,-0.227,1.396,0.600922,0.556608,-0.162,0.149931,1.426055,-0.111838,0.423406,0.296385,1.585008,-0.080547,-0.106882
184,156.78,-0.288736,1.61,-0.174,-0.227,1.396,0.594645,0.549739,-0.162,0.144916,1.427092,-0.095354,0.422699,0.295148,1.583559,-0.070203,-0.094962
185,156.23,-0.28715,1.61,-0.174,-0.227,1.396,0.574479,0.547537,-0.162,0.126011,1.43158,-0.064981,0.435881,0.295697,1.588778,-0.067835,-0.096932
186,156.4,-0.270777,1.61,-0.174,-0.227,1.396,0.568201,0.565494,-0.162,0.098837,1.4278,-0.055868,0.435174,0.313892,1.583967,-0.059899,-0.112791
187,156.4,-0.279322,1.61,-0.174,-0.227,1.396,0.575813,0.571381,-0.162,0.085551,1.418346,-0.056086,0.448356,0.308083,1.575015,-0.065037,-0.11476
188,156.47,-0.26698,1.61,-0.174,-0.227,1.396,0.569782,0.566665,-0.162,0.086154,1.423856,-0.055321,0.447649,0.318203,1.574342,-0.04233,-0.102841
189,157.56,-0.255752,1.61,-0.174,-0.227,1.396,0.577639,0.562125,-0.162,0.084593,1.434763,-0.063383,0.433054,0.32872,1.57596,-0.029579,-0.077033
190,158.49,-0.252844,1.61,-0.174,-0.227,1.396,0.571608,0.534747,-0.162,0.075963,1.445016,-0.065889,0.414585,0.328887,1.58439,-0.017417,-0.065113
191,159.0,-0.253381,1.61,-0.174,-0.227,1.396,0.571952,0.533236,-0.162,0.081222,1.441566,-0.054924,0.410006,0.328198,1.593832,-0.034974,-0.040399
192,159.21,-0.246811,1.61,-0.174,-0.227,1.396,0.558407,0.516341,-0.162,0.100369,1.440816,-0.056901,0.419316,0.330391,1.59795,-0.029395,-0.029573
193,159.56,-0.236506,1.61,-0.174,-0.227,1.396,0.54893,0.504507,-0.162,0.133406,1.448322,-0.062667,0.441033,0.337295,1.607703,-0.025515,-0.00987
194,159.75,-0.223861,1.61,-0.174,-0.227,1.396,0.525563,0.482888,-0.162,0.175511,1.459822,-0.082322,0.460869,0.345926,1.61,-0.027693,-0.004057
195,159.64,-0.230349,1.61,-0.174,-0.227,1.396,0.516085,0.472762,-0.162,0.206385,1.468935,-0.114497,0.467495,0.339008,1.61,-0.040055,-0.012132
196,159.57,-0.233827,1.61,-0.174,-0.227,1.396,0.520496,0.473984,-0.162,0.202843,1.467832,-0.15299,0.460232,0.335447,1.61,-0.053337,-0.034096
197,159.37,-0.246587,1.61,-0.174,-0.227,1.396,0.538796,0.47315,-0.162,0.189115,1.468694,-0.174,0.43908,0.323106,1.60847,-0.064021,-0.042171
198,159.7,-0.245807,1.60647,-0.174,-0.227,1.396,0.570985,0.487353,-0.162,0.191218,1.462836,-0.174,0.425885,0.325258,1.596365,-0.066751,-0.064135
199,163.08,-0.258605,1.61,-0.174,-0.227,1.396,0.597528,0.510915,-0.162,0.180151,1.457202,-0.174,0.415945,0.318101,1.571915,-0.07994,-0.07221
200,163.58,-0.248521,1.61,-0.174,-0.227,1.396,0.610182,0.535205,-0.162,0.190515,1.456,-0.163488,0.402227,0.329611,1.561354,-0.093585,-0.094174
201,163.72,-0.252733,1.61,-0.174,-0.227,1.396,0.608947,0.556886,-0.162,0.186301,1.450939,-0.139087,0.402399,0.323294,1.564681,-0.093342,-0.102249
202,163.82,-0.251389,1.61,-0.174,-0.227,1.396,0.593824,0.552869,-0.162,0.168888,1.449628,-0.103417,0.416459,0.32263,1.581898,-0.079209,-0.096436
203,163.87,-0.245275,1.61,-0.174,-0.227,1.396,0.564811,0.547791,-0.162,0.137585,1.448037,-0.068172,0.427548,0.329963,1.601636,-0.051187,-0.076733
204,164.22,-0.233671,1.61,-0.174,-0.227,1.396,0.549687,0.550679,-0.162,0.105935,1.453271,-0.052712,0.424748,0.342101,1.605188,-0.032761,-0.070919
205,164.79,-0.235345,1.61,-0.174,-0.227,1.396,0.548452,0.539307,-0.162,0.079051,1.459855,-0.055111,0.408058,0.340472,1.606547,-0.016344,-0.078994
206,166.02,-0.232062,1.61,-0.174,-0.227,1.396,0.561106,0.542443,-0.162,0.0544,1.46082,-0.054524,0.405258,0.343096,1.607872,-0.016991,-0.07318
207,166.56,-0.234445,1.61,-0.174,-0.227,1.396,0.577058,0.542705,-0.162,0.043637,1.460565,-0.047948,0.416347,0.339633,1.61,-0.025537,-0.053478
208,167.61,-0.231235,1.61,-0.174,-0.227,1.396,0.581395,0.535567,-0.162,0.046764,1.456076,-0.040345,0.437428,0.341752,1.61,-0.032334,-0.019886
209,167.78,-0.234899,1.61,-0.174,-0.227,1.396,0.584214,0.525552,-0.162,0.06378,1.46022,-0.041361,0.444621,0.337023,1.61,-0.037957,-0.000183
210,167.81,-0.234275,1.61,-0.174,-0.227,1.396,0.573143,0.515808,-0.162,0.079418,1.467917,-0.046602,0.437924,0.337206,1.61,-0.048659,0.005631
211,167.73,-0.232948,1.61,-0.174,-0.227,1.396,0.575962,0.512782,-0.162,0.081166,1.473689,-0.057604,0.417339,0.335977,1.61,-0.052251,-0.002445
212,167.93,-0.240838,1.61,-0.174,-0.227,1.396,0.585595,0.518848,-0.162,0.069025,1.468849,-0.054718,0.398572,0.328308,1.61,-0.065365,-0.024409
213,168.69,-0.249964,1.61,-0.174,-0.227,1.396,0.581339,0.514178,-0.162,0.042996,1.460097,-0.05315,0.378075,0.323119,1.61,-0.081787,-0.032484
214,168.58,-0.24999,1.61,-0.174,-0.227,1.396,0.563194,0.503419,-0.162,0.005964,1.462333,-0.038607,0.371467,0.321753,1.61,-0.077184,-0.02667
215,168.38,-0.255396,1.61,-0.174,-0.227,1.396,0.533879,0.49164,-0.162,-0.017179,1.475198,-0.035932,0.372592,0.315807,1.61,-0.080331,-0.034745
216,168.38,-0.248499,1.61,-0.174,-0.227,1.396,0.518454,0.495717,-0.162,-0.026434,1.476846,-0.041683,0.387607,0.322463,1.61,-0.083496,-0.056709
217,168.6,-0.248782,1.61,-0.174,-0.227,1.396,0.516917,0.499676,-0.162,-0.021799,1.473512,-0.045721,0.41651,0.324022,1.61,-0.084738,-0.064784
218,168.67,-0.244907,1.61,-0.174,-0.227,1.396,0.52927,0.500375,-0.162,-0.003275,1.469845,-0.047599,0.431525,0.328787,1.61,-0.072517,-0.063885
219,168.65,-0.239629,1.61,-0.174,-0.227,1.396,0.530165,0.504816,-0.162,0.015449,1.468327,-0.054558,0.432651,0.335177,1.61,-0.062158,-0.061714
220,168.77,-0.238782,1.61,-0.174,-0.227,1.396,0.5372,0.504589,-0.162,0.020284,1.471357,-0.061532,0.419888,0.336092,1.61,-0.052852,-0.045655
221,169.1,-0.243769,1.61,-0.174,-0.227,1.396,0.552254,0.496372,-0.162,0.039008,1.475919,-0.061165,0.401744,0.331259,1.61,-0.060023,-0.031813
222,169.74,-0.240686,1.61,-0.174,-0.227,1.396,0.572653,0.499249,-0.162,0.071621,1.472913,-0.063902,0.397489,0.3337,1.61,-0.064547,-0.004082
223,169.66,-0.236135,1.61,-0.174,-0.227,1.396,0.579164,0.489186,-0.162,0.093787,1.47217,-0.044059,0.407123,0.334807,1.61,-0.056945,0.024466
224,169.54,-0.23323,1.61,-0.174,-0.227,1.396,0.571786,0.470711,-0.162,0.107876,1.482188,-0.038787,0.427591,0.335173,1.61,-0.062231,0.039124
225,169.58,-0.240145,1.61,-0.174,-0.227,1.396,0.550518,0.47478,-0.162,0.108075,1.480374,-0.045587,0.43417,0.329017,1.61,-0.084546,0.039893
226,169.74,-0.250283,1.61,-0.174,-0.227,1.396,0.54314,0.481034,-0.162,0.119119,1.472214,-0.043301,0.447322,0.319909,1.61,-0.096468,0.026774
227,170.09,-0.242788,1.61,-0.174,-0.227,1.396,0.529815,0.487611,-0.162,0.135063,1.467199,-0.047215,0.446585,0.328546,1.61,-0.093094,-0.000235
228,170.37,-0.240082,1.61,-0.174,-0.227,1.396,0.530378,0.496006,-0.162,0.137119,1.466335,-0.060445,0.431959,0.334226,1.61,-0.088389,-0.015576
229,170.59,-0.239432,1.61,-0.174,-0.227,1.396,0.526443,0.496963,-0.162,0.125286,1.466025,-0.064899,0.408606,0.335592,1.61,-0.084663,-0.025449
230,170.79,-0.237098,1.61,-0.174,-0.227,1.396,0.52759,0.494543,-0.162,0.101328,1.463259,-0.057564,0.399143,0.337395,1.61,-0.078036,-0.021434
231,170.74,-0.235929,1.61,-0.174,-0.227,1.396,0.537306,0.497286,-0.162,0.081917,1.460515,-0.054021,0.403568,0.339265,1.61,-0.074871,-0.00353
232,170.72,-0.233585,1.61,-0.174,-0.227,1.396,0.533134,0.492403,-0.162,0.076395,1.466121,-0.054084,0.402513,0.340948,1.61,-0.070077,0.000486
233,170.93,-0.232544,1.61,-0.174,-0.227,1.396,0.515073,0.480491,-0.162,0.056984,1.469933,-0.046757,0.415346,0.340216,1.61,-0.071714,-0.009388
234,170.84,-0.234787,1.61,-0.174,-0.227,1.396,0.5109,0.489492,-0.162,0.051462,1.463006,-0.042483,0.442069,0.338132,1.61,-0.076534,-0.005373
235,171.12,-0.234642,1.61,-0.174,-0.227,1.396,0.520389,0.499733,-0.162,0.059829,1.455605,-0.043199,0.454902,0.341383,1.61,-0.072737,0.008541
236,171.44,-0.234061,1.61,-0.174,-0.227,1.396,0.515989,0.486525,-0.162,0.082085,1.462421,-0.051172,0.453847,0.340878,1.61,-0.071791,0.008567
237,171.63,-0.229461,1.61,-0.174,-0.227,1.396,0.519078,0.471846,-0.162,0.098364,1.476497,-0.063102,0.438902,0.342562,1.61,-0.065443,-0.005297
238,171.99,-0.224788,1.61,-0.174,-0.227,1.396,0.536055,0.481113,-0.162,0.10364,1.471701,-0.062175,0.437847,0.348027,1.61,-0.072007,-0.005272
239,172.52,-0.227315,1.61,-0.174,-0.227,1.396,0.539144,0.483308,-0.162,0.122805,1.475163,-0.069953,0.438841,0.345527,1.61,-0.064507,0.008642
240,172.87,-0.21854,1.61,-0.174,-0.227,1.396,0.556121,0.470114,-0.162,0.151931,1.468419,-0.046365,0.442728,0.35105,1.61,-0.04414,0.036445
241,172.93,-0.219968,1.61,-0.174,-0.227,1.396,0.564865,0.463818,-0.162,0.167168,1.473999,-0.048629,0.447089,0.348312,1.61,-0.044159,0.050359
242,172.72,-0.228248,1.61,-0.174,-0.227,1.396,0.559721,0.466981,-0.162,0.17885,1.471123,-0.047551,0.455903,0.339683,1.61,-0.058005,0.050384
243,172.66,-0.238151,1.61,-0.174,-0.227,1.396,0.540687,0.466856,-0.162,0.188251,1.467237,-0.05069,0.465084,0.330886,1.61,-0.071532,0.036521
244,173.55,-0.230722,1.61,-0.174,-0.227,1.396,0.535542,0.483043,-0.162,0.207505,1.463446,-0.0574,0.460376,0.339931,1.61,-0.068991,0.011947
245,174.05,-0.242689,1.61,-0.174,-0.227,1.396,0.544286,0.503801,-0.162,0.19541,1.454776,-0.058426,0.441779,0.329293,1.61,-0.071759,0.001263
246,174.51,-0.233436,1.61,-0.174,-0.227,1.396,0.539142,0.511777,-0.162,0.206565,1.451558,-0.056968,0.419773,0.341159,1.609788,-0.060607,0.004468
247,174.39,-0.225306,1.61,-0.174,-0.227,1.396,0.520108,0.507886,-0.162,0.213785,1.459771,-0.058439,0.404796,0.347176,1.61,-0.051677,0.001364
248,174.33,-0.222743,1.61,-0.174,-0.227,1.396,0.514963,0.501431,-0.162,0.208326,1.464429,-0.053215,0.403707,0.348072,1.61,-0.049194,0.01215
249,174.49,-0.219518,1.61,-0.174,-0.227,1.396,0.523708,0.504009,-0.162,0.19477,1.463475,-0.054247,0.416508,0.353074,1.61,-0.050555,0.036824
250,175.08,-0.210514,1.61,-0.174,-0.227,1.396,0.525601,0.503249,-0.162,0.187879,1.468623,-0.06263,0.415419,0.362145,1.61,-0.031593,0.04761
251,175.53,-0.209169,1.61,-0.174,-0.227,1.396,0.518259,0.495637,-0.162,0.174537,1.473103,-0.065243,0.400442,0.36289,1.61,-0.032222,0.044507
252,175.99,-0.213504,1.61,-0.174,-0.227,1.396,0.524806,0.494422,-0.162,0.175084,1.47088,-0.052126,0.399353,0.358092,1.61,-0.044459,0.055292
253,177.07,-0.204719,1.61,-0.174,-0.227,1.396,0.535835,0.490825,-0.162,0.188266,1.476333,-0.056952,0.396428,0.365336,1.61,-0.036074,0.052189
254,177.48,-0.212732,1.61,-0.174,-0.227,1.396,0.560753,0.496515,-0.162,0.18756,1.46918,-0.051864,0.407392,0.359891,1.61,-0.053543,0.062974
255,177.61,-0.208908,1.61,-0.174,-0.227,1.396,0.571782,0.488784,-0.162,0.182979,1.474036,-0.050274,0.413048,0.361961,1.61,-0.044554,0.065355
256,177.7,-0.215179,1.61,-0.174,-0.227,1.396,0.568921,0.481395,-0.162,0.177398,1.473043,-0.042414,0.432594,0.35519,1.61,-0.05853,0.054128
257,177.72,-0.218187,1.61,-0.174,-0.227,1.396,0.552172,0.47807,-0.162,0.175562,1.4774,-0.05146,0.438251,0.351568,1.61,-0.063363,0.029012
258,177.73,-0.221646,1.61,-0.174,-0.227,1.396,0.549312,0.480514,-0.162,0.184778,1.475296,-0.055396,0.430018,0.349055,1.61,-0.063961,0.017785
259,177.77,-0.226372,1.61,-0.174,-0.227,1.396,0.548328,0.485312,-0.162,0.188218,1.468321,-0.046749,0.435675,0.343678,1.61,-0.055007,0.020446
260,177.8,-0.224501,1.61,-0.174,-0.227,1.396,0.546483,0.482042,-0.162,0.205546,1.469881,-0.053588,0.427443,0.346409,1.61,-0.047972,0.036997
261,177.82,-0.223244,1.61,-0.174,-0.227,1.396,0.558526,0.483165,-0.162,0.214336,1.466121,-0.042315,0.433099,0.346367,1.61,-0.045566,0.055744
262,177.79,-0.228513,1.61,-0.174,-0.227,1.396,0.556681,0.481455,-0.162,0.208314,1.465279,-0.035086,0.4365,0.339752,1.61,-0.045023,0.060602
263,177.69,-0.232372,1.61,-0.174,-0.227,1.396,0.561989,0.482391,-0.162,0.204541,1.464081,-0.03791,0.431413,0.336484,1.61,-0.053112,0.051571
264,177.76,-0.234109,1.61,-0.174,-0.227,1.396,0.553408,0.481336,-0.162,0.203015,1.461219,-0.037524,0.428938,0.33531,1.61,-0.057527,0.034948
265,178.12,-0.23337,1.61,-0.174,-0.227,1.396,0.556764,0.479209,-0.162,0.203955,1.461338,-0.039914,0.438484,0.336676,1.61,-0.054785,0.032213
266,178.39,-0.231582,1.61,-0.174,-0.227,1.396,0.552922,0.482489,-0.162,0.206077,1.459876,-0.041192,0.43414,0.338799,1.61,-0.052147,0.043367
267,178.45,-0.229121,1.61,-0.174,-0.227,1.396,0.542496,0.47436,-0.162,0.208064,1.465387,-0.043803,0.415908,0.340109,1.61,-0.047278,0.040633
268,178.68,-0.227763,1.61,-0.174,-0.227,1.396,0.545959,0.462163,-0.162,0.208486,1.47275,-0.042501,0.411565,0.339606,1.61,-0.043772,0.024035
269,178.69,-0.226474,1.61,-0.174,-0.227,1.396,0.563311,0.465043,-0.162,0.210075,1.473495,-0.043948,0.421111,0.341274,1.61,-0.045181,0.021327
270,178.88,-0.224698,1.61,-0.174,-0.227,1.396,0.566774,0.469689,-0.162,0.212598,1.470608,-0.043417,0.422197,0.344508,1.61,-0.039649,0.032507
271,179.19,-0.222755,1.61,-0.174,-0.227,1.396,0.556348,0.461499,-0.162,0.214038,1.478166,-0.047061,0.409395,0.34546,1.61,-0.033165,0.029799
272,179.4,-0.219723,1.61,-0.174,-0.227,1.396,0.559811,0.452372,-0.162,0.216392,1.483031,-0.043172,0.410481,0.346658,1.61,-0.030681,0.034597
273,179.57,-0.219865,1.61,-0.174,-0.227,1.396,0.577163,0.454089,-0.162,0.216047,1.481807,-0.038484,0.425457,0.346056,1.61,-0.03282,0.053283
274,179.6,-0.221097,1.61,-0.174,-0.227,1.396,0.580626,0.451096,-0.162,0.214439,1.483826,-0.039756,0.426543,0.344105,1.61,-0.036235,0.058081
275,179.58,-0.221463,1.61,-0.174,-0.227,1.396,0.5702,0.441586,-0.162,0.213354,1.488406,-0.042319,0.413741,0.34247,1.61,-0.040164,0.04899
276,179.73,-0.221557,1.61,-0.174,-0.227,1.396,0.573663,0.435285,-0.162,0.212448,1.494649,-0.042139,0.408729,0.340954,1.61,-0.041459,0.053788
277,179.5,-0.224576,1.61,-0.174,-0.227,1.396,0.591015,0.441677,-0.162,0.20975,1.489692,-0.038494,0.417606,0.338467,1.61,-0.051544,0.059362
278,179.22,-0.22648,1.61,-0.174,-0.227,1.396,0.594478,0.445336,-0.162,0.208287,1.484718,-0.036648,0.423994,0.337899,1.61,-0.053232,0.072894
279,179.01,-0.226924,1.61,-0.174,-0.227,1.396,0.597975,0.447089,-0.162,0.207968,1.483835,-0.037342,0.416604,0.337783,1.61,-0.053929,0.072537
280,178.77,-0.227499,1.61,-0.174,-0.227,1.396,0.602075,0.450823,-0.162,0.207451,1.480349,-0.032881,0.423102,0.337353,1.61,-0.05723,0.075696
281,178.36,-0.228427,1.61,-0.174,-0.227,1.396,0.596426,0.448398,-0.162,0.206176,1.482602,-0.033359,0.415711,0.335925,1.61,-0.058711,0.064966
282,177.82,-0.230837,1.61,-0.174,-0.227,1.396,0.604665,0.448799,-0.162,0.203564,1.482143,-0.030289,0.42221,0.333154,1.61,-0.063168,0.066696
283,177.01,-0.234716,1.61,-0.174,-0.227,1.396,0.613014,0.452294,-0.162,0.199776,1.479748,-0.028075,0.430042,0.329567,1.61,-0.068589,0.059789
284,176.96,-0.230194,1.61,-0.174,-0.227,1.396,0.607473,0.463891,-0.162,0.205004,1.474299,-0.028557,0.423985,0.33524,1.61,-0.063316,0.051355
285,176.45,-0.234607,1.61,-0.174,-0.227,1.396,0.615822,0.473338,-0.162,0.201273,1.468287,-0.028711,0.431817,0.331716,1.61,-0.068818,0.051383
286,176.34,-0.236821,1.61,-0.174,-0.227,1.396,0.610282,0.472075,-0.162,0.199022,1.467004,-0.031079,0.425761,0.330379,1.61,-0.064805,0.062167
287,176.32,-0.239903,1.61,-0.174,-0.227,1.396,0.605949,0.478398,-0.162,0.196058,1.467126,-0.03548,0.433593,0.327775,1.61,-0.070053,0.059063
288,176.22,-0.241037,1.61,-0.174,-0.227,1.396,0.615504,0.485385,-0.162,0.195481,1.461929,-0.036949,0.427536,0.327731,1.61,-0.072631,0.051197
289,176.28,-0.241145,1.61,-0.174,-0.227,1.396,0.611171,0.48627,-0.162,0.195924,1.460792,-0.040495,0.40759,0.328717,1.61,-0.070934,0.052179
290,176.28,-0.237052,1.61,-0.174,-0.227,1.396,0.614887,0.492246,-0.162,0.200501,1.458429,-0.036089,0.401534,0.333202,1.61,-0.066437,0.06705
291,176.28,-0.225359,1.61,-0.174,-0.227,1.396,0.604715,0.491283,-0.162,0.204691,1.469124,-0.036973,0.393846,0.343288,1.61,-0.049783,0.08832
292,176.4,-0.223963,1.61,-0.174,-0.227,1.396,0.580653,0.472633,-0.162,0.211447,1.481455,-0.029889,0.399898,0.342074,1.61,-0.053939,0.0957
293,176.67,-0.224162,1.61,-0.174,-0.227,1.396,0.57048,0.463233,-0.162,0.210972,1.49138,-0.040048,0.392061,0.341266,1.61,-0.060627,0.089191
294,176.8,-0.223275,1.61,-0.174,-0.227,1.396,0.574197,0.462977,-0.162,0.211544,1.486245,-0.028366,0.398113,0.34124,1.61,-0.070854,0.080876
295,176.69,-0.224005,1.61,-0.174,-0.227,1.396,0.573942,0.460683,-0.162,0.210259,1.48517,-0.02153,0.40309,0.33963,1.61,-0.06887,0.080084
296,175.66,-0.22943,1.61,-0.174,-0.227,1.396,0.587576,0.457663,-0.162,0.204273,1.485028,-0.020013,0.40116,0.333533,1.61,-0.071265,0.065404
297,173.83,-0.237699,1.61,-0.174,-0.227,1.396,0.590595,0.455677,-0.162,0.195603,1.483365,-0.017306,0.413119,0.325159,1.61,-0.076268,0.064613
298,172.92,-0.233737,1.61,-0.174,-0.227,1.396,0.607502,0.475457,-0.162,0.201638,1.474568,-0.02812,0.423636,0.332425,1.61,-0.083741,0.072085
299,172.93,-0.240437,1.61,-0.174,-0.227,1.396,0.610521,0.487074,-0.162,0.195367,1.467119,-0.02884,0.420263,0.32718,1.61,-0.081298,0.065669
300,173.31,-0.238329,1.61,-0.174,-0.227,1.396,0.599651,0.476239,-0.162,0.19724,1.471624,-0.032084,0.403002,0.328712,1.61,-0.074899,0.045364
301,173.39,-0.231938,1.61,-0.174,-0.227,1.396,0.602669,0.486043,-0.162,0.20474,1.466775,-0.032209,0.399629,0.33668,1.61,-0.068762,0.038948
302,173.48,-0.229292,1.61,-0.174,-0.227,1.396,0.591799,0.486534,-0.162,0.207594,1.466301,-0.031197,0.410145,0.339335,1.61,-0.061811,0.044462
303,173.41,-0.228872,1.61,-0.174,-0.227,1.396,0.594817,0.492183,-0.162,0.208873,1.466765,-0.040164,0.425543,0.341616,1.61,-0.057675,0.047439
304,173.36,-0.224389,1.61,-0.174,-0.227,1.396,0.601772,0.494754,-0.162,0.213526,1.466897,-0.043282,0.427051,0.346444,1.61,-0.05426,0.036527
305,173.46,-0.217703,1.61,-0.174,-0.227,1.396,0.599031,0.497835,-0.162,0.219046,1.471137,-0.05107,0.41467,0.353323,1.61,-0.048382,0.018977
306,173.86,-0.220974,1.61,-0.174,-0.227,1.396,0.597057,0.499022,-0.162,0.217656,1.477297,-0.063017,0.403341,0.352089,1.61,-0.042268,0.015316
307,174.53,-0.203648,1.61,-0.174,-0.227,1.396,0.595373,0.507816,-0.162,0.235626,1.477267,-0.07172,0.378123,0.370249,1.61,-0.029279,0.019171
308,174.56,-0.213142,1.61,-0.174,-0.227,1.396,0.586163,0.5,-0.162,0.226096,1.483742,-0.078298,0.366794,0.360068,1.61,-0.039785,0.03509
309,174.66,-0.210582,1.61,-0.174,-0.227,1.396,0.590842,0.498482,-0.162,0.22797,1.483804,-0.066668,0.369354,0.361764,1.61,-0.041884,0.044803
310,174.76,-0.212877,1.61,-0.174,-0.227,1.396,0.600913,0.494735,-0.162,0.225375,1.486471,-0.063746,0.384575,0.35886,1.61,-0.045836,0.04681
311,174.74,-0.215188,1.61,-0.174,-0.227,1.396,0.597095,0.487387,-0.162,0.222057,1.484749,-0.053174,0.385908,0.354601,1.61,-0.050656,0.034928
312,174.76,-0.220511,1.61,-0.174,-0.227,1.396,0.590231,0.482315,-0.162,0.216459,1.484119,-0.050915,0.38349,0.348764,1.61,-0.056111,0.025996
313,175.09,-0.222205,1.61,-0.174,-0.227,1.396,0.579854,0.469241,-0.162,0.214039,1.489541,-0.050224,0.381297,0.345664,1.61,-0.054373,0.030952
