step,cap_deg,ix_j0,ix_j1,ix_j2,ix_j3,th_j0,th_j1,th_j2,th_j3,mi_j0,mi_j1,mi_j2,mi_j3,ri_j0,ri_j1,ri_j2,ri_j3
35,64.49,-0.232037,1.61,-0.174,-0.227,1.28912,0.741452,0.656788,-0.162,0.204821,1.498003,-0.172016,0.532213,0.335967,1.509226,0.037754,0.162096
36,64.45,-0.224964,1.61,-0.174,-0.227,1.2642,0.710198,0.666592,-0.162,0.211496,1.505454,-0.156144,0.50945,0.341123,1.507202,0.061718,0.159329
37,64.41,-0.226692,1.61,-0.174,-0.227,1.23935,0.688001,0.688309,-0.162,0.211383,1.491774,-0.134087,0.500575,0.342017,1.505746,0.055403,0.170451
38,64.34,-0.228263,1.61,-0.174,-0.227,1.229635,0.679693,0.709834,-0.162,0.211336,1.474878,-0.12592,0.505589,0.343572,1.498666,0.046391,0.195462
39,64.3,-0.239385,1.61,-0.174,-0.227,1.241892,0.685275,0.730229,-0.162,0.202236,1.454638,-0.131642,0.524493,0.337094,1.487226,0.030321,0.210954
40,64.79,-0.242184,1.61,-0.174,-0.227,1.274916,0.704745,0.736287,-0.162,0.201848,1.440992,-0.1282,0.529507,0.338076,1.47444,0.024223,0.212556
41,69.0,-0.252325,1.61,-0.174,-0.227,1.303715,0.710326,0.747575,-0.162,0.193644,1.421865,-0.110868,0.54841,0.33389,1.459037,0.012468,0.20027
42,69.55,-0.245368,1.602587,-0.174,-0.227,1.33655,0.702018,0.740085,-0.162,0.20213,1.414842,-0.088871,0.553425,0.342817,1.451472,0.015546,0.174095
43,69.7,-0.243632,1.608156,-0.174,-0.227,1.341288,0.689869,0.722844,-0.162,0.20314,1.422605,-0.083899,0.54455,0.343462,1.441766,0.0494,0.148342
44,69.67,-0.240782,1.61,-0.174,-0.227,1.335001,0.663831,0.704076,-0.162,0.204718,1.436296,-0.085039,0.521787,0.344164,1.438039,0.088182,0.136477
45,69.41,-0.23473,1.61,-0.174,-0.227,1.324741,0.627903,0.696445,-0.162,0.208989,1.450243,-0.084713,0.493574,0.346369,1.435012,0.117104,0.130179
46,69.47,-0.231489,1.61,-0.174,-0.227,1.313577,0.605864,0.693504,-0.162,0.211563,1.44902,-0.075911,0.479251,0.347218,1.422627,0.119603,0.13777
47,69.49,-0.232906,1.61,-0.174,-0.227,1.306644,0.597713,0.696404,-0.162,0.210638,1.441522,-0.06616,0.478817,0.346749,1.423948,0.119857,0.15925
48,69.47,-0.239176,1.61,-0.174,-0.227,1.316438,0.603452,0.700407,-0.162,0.205537,1.431801,-0.065306,0.492271,0.342937,1.432989,0.106676,0.166841
49,69.52,-0.242433,1.61,-0.174,-0.227,1.345474,0.62308,0.695881,-0.162,0.203051,1.426021,-0.07834,0.49347,0.341023,1.433188,0.092331,0.169911
50,70.43,-0.249012,1.60381,-0.174,-0.227,1.384809,0.656596,0.685731,-0.162,0.196938,1.42446,-0.079401,0.480779,0.337045,1.435774,0.070276,0.159092
51,75.17,-0.259545,1.588482,-0.174,-0.227,1.396,0.676224,0.693334,-0.162,0.187838,1.40175,-0.081891,0.481978,0.33087,1.436476,0.024186,0.134384
52,79.94,-0.260237,1.571707,-0.174,-0.227,1.396,0.681963,0.700874,-0.162,0.189352,1.395879,-0.086044,0.496834,0.335265,1.430132,0.012792,0.095787
53,80.15,-0.249605,1.586155,-0.174,-0.227,1.396,0.673812,0.683894,-0.162,0.19943,1.402991,-0.080267,0.497801,0.342417,1.419006,0.055458,0.055684
54,80.2,-0.244776,1.605648,-0.174,-0.227,1.396,0.651773,0.669809,-0.162,0.202722,1.422384,-0.089304,0.48488,0.345352,1.413567,0.104414,0.019638
