step,cap_deg,raw_th_c_d,raw_th_c_p,raw_th_ny_d,raw_th_ny_p,raw_th_py_d,raw_th_py_p,raw_ix_c_d,raw_ix_c_p,raw_ix_ny_d,raw_ix_ny_p,raw_ix_py_d,raw_ix_py_p,raw_mi_c_d,raw_mi_c_p,raw_mi_ny_d,raw_mi_ny_p,raw_mi_py_d,raw_mi_py_p,raw_ri_c_d,raw_ri_c_p,raw_ri_ny_d,raw_ri_ny_p,raw_ri_py_d,raw_ri_py_p,filt_th_c_d,filt_th_c_p,filt_th_ny_d,filt_th_ny_p,filt_th_py_d,filt_th_py_p,filt_ix_c_d,filt_ix_c_p,filt_ix_ny_d,filt_ix_ny_p,filt_ix_py_d,filt_ix_py_p,filt_mi_c_d,filt_mi_c_p,filt_mi_ny_d,filt_mi_ny_p,filt_mi_py_d,filt_mi_py_p,filt_ri_c_d,filt_ri_c_p,filt_ri_ny_d,filt_ri_ny_p,filt_ri_py_d,filt_ri_py_p,lvl_th_c_d,lvl_th_c_p,lvl_th_ny_d,lvl_th_ny_p,lvl_th_py_d,lvl_th_py_p,lvl_ix_c_d,lvl_ix_c_p,lvl_ix_ny_d,lvl_ix_ny_p,lvl_ix_py_d,lvl_ix_py_p,lvl_mi_c_d,lvl_mi_c_p,lvl_mi_ny_d,lvl_mi_ny_p,lvl_mi_py_d,lvl_mi_py_p,lvl_ri_c_d,lvl_ri_c_p,lvl_ri_ny_d,lvl_ri_ny_p,lvl_ri_py_d,lvl_ri_py_p,tot_th,tot_ix,tot_mi,tot_ri
0,0.000,0.00000,0.88442,0.00000,1.08508,0.00000,4.60558,0.50479,0.00000,0.21067,0.00116,0.47523,0.00558,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00369,7.57858,0.00000,0.26533,0.00000,0.32552,0.00000,1.38167,0.15144,0.00000,0.06320,0.00035,0.14257,0.00167,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00111,2.27357,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.57507,1.19743,0.00000,7.58227
1,0.003,0.00000,0.39125,0.00000,0.29115,0.00000,1.60401,0.22577,0.00000,0.15002,0.00022,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.11809,3.88869,0.00000,0.30310,0.00000,0.31521,0.00000,1.44837,0.17374,0.00000,0.08924,0.00031,0.09980,0.00117,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.63620,2.75811,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.28642,0.37600,0.00000,6.00678
2,0.237,0.00000,0.61047,0.00000,0.99108,0.00000,3.86911,0.24426,0.00000,0.16594,0.00008,0.00000,0.00000,0.45278,0.00027,0.00000,0.00000,0.22758,0.00036,0.00000,0.00000,0.00000,0.00000,2.24486,4.51030,0.00000,0.39531,0.00000,0.51797,0.00000,2.17459,0.19490,0.00000,0.11225,0.00024,0.06986,0.00082,0.13583,0.00008,0.00000,0.00000,0.06828,0.00011,0.00000,0.00000,0.00000,0.00000,1.11880,3.28377,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5.47065,0.41029,0.68099,6.75517
3,0.209,0.00000,2.50759,0.00000,7.35306,0.00000,21.54135,1.25171,0.00000,0.88230,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.64182,2.72950,0.00000,1.02900,0.00000,2.56850,0.00000,7.98462,0.51194,0.00000,0.34327,0.00032,0.04890,0.00057,0.09508,0.00006,0.00000,0.00000,0.04779,0.00007,0.00000,0.00000,0.00000,0.00000,1.27571,3.11749,0,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,31.40199,2.13450,0.00000,4.37132
4,0.425,0.00000,1.94493,0.00000,0.00000,0.00000,22.46250,0.96278,0.00008,0.72503,0.00112,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.26848,0.00000,1.30378,0.00000,1.79795,0.00000,12.32798,0.64719,0.00002,0.45780,0.00056,0.03423,0.00040,0.06656,0.00004,0.00000,0.00000,0.03345,0.00005,0.00000,0.00000,0.00000,0.00000,0.89299,3.76278,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24.40743,1.68900,0.00000,5.26848
5,0.333,0.00000,1.06055,0.00000,0.00000,0.00000,13.53611,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05863,0.00000,0.00000,0.03074,0.12481,0.00185,0.00000,3.16219,0.00000,0.00000,0.00000,2.29832,0.00000,1.23081,0.00000,1.25856,0.00000,12.69042,0.45303,0.00002,0.32046,0.00039,0.02396,0.00028,0.06418,0.00003,0.00000,0.00922,0.06086,0.00059,0.00000,0.94866,0.00000,0.00000,0.62510,3.32344,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.59665,0.00000,0.21602,5.46050
6,1.357,0.00000,0.95855,0.00000,0.00000,0.00000,17.08312,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.05401,0.00000,0.00000,0.00000,1.86896,0.00000,1.14913,0.00000,0.88099,0.00000,14.00823,0.31712,0.00001,0.22432,0.00027,0.01677,0.00020,0.04492,0.00002,0.00000,0.00646,0.04260,0.00041,0.00000,1.58026,0.00000,0.00000,0.43757,2.88710,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,18.04167,0.00000,0.00000,4.92296
7,3.899,0.00000,0.25803,0.00000,0.00000,0.00000,15.75699,0.28285,0.00088,0.00000,0.00008,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.59026,0.00000,0.00000,0.00000,1.76582,0.00000,0.88180,0.00000,0.61670,0.00000,14.53286,0.30684,0.00027,0.15702,0.00022,0.01174,0.00014,0.03145,0.00001,0.00000,0.00452,0.02982,0.00029,0.00000,1.28326,0.00000,0.00000,0.30630,2.55071,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,16.01502,0.28382,0.00000,2.35607
8,4.339,0.00000,0.05358,0.00000,0.00000,0.00000,2.28482,1.69971,0.00313,0.00000,0.00032,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.27533,0.00000,0.00000,0.00000,1.08474,0.00000,0.63334,0.00000,0.43169,0.00000,10.85845,0.72470,0.00113,0.10992,0.00025,0.00822,0.00010,0.02201,0.00001,0.00000,0.00316,0.02088,0.00020,0.00000,0.98088,0.00000,0.00000,0.21441,2.11092,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.33840,1.70316,0.00000,1.36007
9,4.263,0.00000,0.00676,0.00000,1.06040,0.00000,0.50633,4.18228,0.00606,0.00000,0.00136,0.00000,0.00000,0.17226,0.00023,0.00000,0.24057,0.24799,0.17730,0.00000,0.16543,0.00000,0.00000,0.00000,1.63020,0.00000,0.44536,0.00000,0.62030,0.00000,7.75281,1.76197,0.00261,0.07694,0.00058,0.00575,0.00007,0.06709,0.00008,0.00000,0.07438,0.08901,0.05333,0.00000,0.73625,0.00000,0.00000,0.15009,1.96671,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.57350,4.18969,0.83834,1.79563
