step,cap_deg,raw_th_c_d,raw_th_c_p,raw_th_ny_d,raw_th_ny_p,raw_th_py_d,raw_th_py_p,raw_ix_c_d,raw_ix_c_p,raw_ix_ny_d,raw_ix_ny_p,raw_ix_py_d,raw_ix_py_p,raw_mi_c_d,raw_mi_c_p,raw_mi_ny_d,raw_mi_ny_p,raw_mi_py_d,raw_mi_py_p,raw_ri_c_d,raw_ri_c_p,raw_ri_ny_d,raw_ri_ny_p,raw_ri_py_d,raw_ri_py_p,filt_th_c_d,filt_th_c_p,filt_th_ny_d,filt_th_ny_p,filt_th_py_d,filt_th_py_p,filt_ix_c_d,filt_ix_c_p,filt_ix_ny_d,filt_ix_ny_p,filt_ix_py_d,filt_ix_py_p,filt_mi_c_d,filt_mi_c_p,filt_mi_ny_d,filt_mi_ny_p,filt_mi_py_d,filt_mi_py_p,filt_ri_c_d,filt_ri_c_p,filt_ri_ny_d,filt_ri_ny_p,filt_ri_py_d,filt_ri_py_p,lvl_th_c_d,lvl_th_c_p,lvl_th_ny_d,lvl_th_ny_p,lvl_th_py_d,lvl_th_py_p,lvl_ix_c_d,lvl_ix_c_p,lvl_ix_ny_d,lvl_ix_ny_p,lvl_ix_py_d,lvl_ix_py_p,lvl_mi_c_d,lvl_mi_c_p,lvl_mi_ny_d,lvl_mi_ny_p,lvl_mi_py_d,lvl_mi_py_p,lvl_ri_c_d,lvl_ri_c_p,lvl_ri_ny_d,lvl_ri_ny_p,lvl_ri_py_d,lvl_ri_py_p,tot_th,tot_ix,tot_mi,tot_ri
10,4.253,0.00000,0.00869,0.00000,1.21266,0.00000,0.73589,4.51825,0.00244,0.00000,0.00092,0.00000,0.00000,0.10641,0.00012,0.00000,0.12921,0.12926,0.06134,0.00000,0.01939,0.00000,0.00000,0.00000,0.58981,0.00000,0.31436,0.00000,0.79801,0.00000,5.64774,2.58886,0.00256,0.05386,0.00068,0.00403,0.00005,0.07888,0.00009,0.00000,0.09083,0.10108,0.05573,0.00000,0.52119,0.00000,0.00000,0.10506,1.55364,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.95724,4.52161,0.42633,0.60921
11,4.191,0.19724,0.00605,0.60923,0.77546,0.00000,0.55666,2.97079,0.00147,0.00000,0.00145,0.00000,0.00000,0.18771,0.00019,0.00000,0.31643,0.38454,0.08549,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05917,0.22187,0.18277,0.79124,0.00000,4.12041,2.70344,0.00223,0.03770,0.00091,0.00282,0.00003,0.11153,0.00012,0.00000,0.15851,0.18612,0.06466,0.00000,0.36483,0.00000,0.00000,0.07354,1.08755,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.14464,2.97372,0.97435,0.00000
12,3.662,0.14754,0.00231,0.61842,0.57708,0.00000,0.46182,3.80207,0.00217,0.00000,0.00548,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08568,0.15600,0.31346,0.72700,0.00000,3.02284,3.03303,0.00221,0.02639,0.00228,0.00197,0.00002,0.07807,0.00008,0.00000,0.11096,0.13028,0.04526,0.00000,0.25538,0.00000,0.00000,0.05148,0.76128,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80716,3.80971,0.00000,0.00000
13,3.339,0.00087,0.00097,0.44594,0.31655,0.46920,0.37024,0.56158,0.00106,2.93594,0.00808,0.00000,0.00000,0.00029,0.00002,0.61484,0.43142,0.19267,0.00770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06024,0.10949,0.35321,0.60386,0.14076,2.22706,2.29159,0.00187,0.89925,0.00402,0.00138,0.00002,0.05474,0.00006,0.18445,0.20710,0.14900,0.03399,0.00000,0.17877,0.00000,0.00000,0.03604,0.53290,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60377,3.50666,1.24694,0.00000
14,3.358,0.00118,0.00092,1.26962,0.57060,0.65844,1.23919,0.66542,0.00263,1.36901,0.08488,0.00000,0.00000,0.00019,0.00014,0.49147,0.00000,0.08247,0.01077,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04252,0.07692,0.62813,0.59388,0.29606,1.93070,1.80374,0.00209,1.04018,0.02828,0.00097,0.00001,0.03837,0.00008,0.27656,0.14497,0.12904,0.02703,0.00000,0.12514,0.00000,0.00000,0.02522,0.37303,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73994,2.12194,0.58504,0.00000
15,3.669,0.00035,0.00034,0.60009,0.00000,0.53500,1.01344,0.37807,0.00478,1.87842,0.52579,0.00000,0.00000,0.00036,0.00141,0.44005,0.00000,0.06373,0.02444,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02987,0.05395,0.61972,0.41572,0.36775,1.65552,1.37604,0.00290,1.29165,0.17753,0.00068,0.00001,0.02697,0.00048,0.32561,0.10148,0.10945,0.02625,0.00000,0.08760,0.00000,0.00000,0.01766,0.26112,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14922,2.78706,0.53000,0.00000
16,3.606,0.00040,0.00041,0.72040,0.00000,1.00734,1.85064,0.07024,0.00391,0.67386,0.54364,0.00000,0.00000,0.00071,0.00697,0.91606,0.00000,0.10005,0.06812,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02103,0.03788,0.64992,0.29100,0.55962,1.71406,0.98430,0.00320,1.10632,0.28737,0.00047,0.00001,0.01909,0.00243,0.50274,0.07103,0.10663,0.03881,0.00000,0.06132,0.00000,0.00000,0.01236,0.18278,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57919,1.29165,1.09190,0.00000
17,3.547,0.00000,0.00000,0.00002,0.00000,0.00154,0.00000,0.01365,0.00235,0.18565,0.29647,0.00000,0.00000,0.00117,0.01863,2.91461,0.00000,0.21773,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01472,0.02652,0.45495,0.20370,0.39220,1.19984,0.69311,0.00295,0.83012,0.29010,0.00033,0.00000,0.01371,0.00729,1.22630,0.04972,0.13996,0.02717,0.00000,0.04292,0.00000,0.00000,0.00865,0.12795,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00157,0.49812,3.15214,0.00000
18,3.372,0.00000,0.00000,0.00055,0.00000,0.05436,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00079,0.00492,4.63788,0.00000,0.41214,0.16489,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01030,0.01856,0.31863,0.14259,0.29085,0.83989,0.48518,0.00206,0.58108,0.20307,0.00023,0.00000,0.00984,0.00658,2.24977,0.03481,0.22161,0.06848,0.00000,0.03005,0.00000,0.00000,0.00606,0.08956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.05491,0.00000,5.22061,0.00000
19,3.351,0.00000,0.00000,0.00115,0.00000,0.06936,0.00000,0.00012,0.00003,0.00048,0.00068,0.00000,0.00000,0.00115,0.00145,5.07041,0.00000,0.85698,0.14598,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00721,0.01299,0.22339,0.09981,0.22440,0.58792,0.33966,0.00145,0.40690,0.14235,0.00016,0.00000,0.00723,0.00504,3.09596,0.02436,0.41222,0.09173,0.00000,0.02103,0.00000,0.00000,0.00424,0.06269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.07051,0.00132,6.07596,0.00000
20,3.320,0.00000,0.00000,0.01680,0.00000,0.69522,0.00000,0.00105,0.00036,0.00248,0.00350,0.00000,0.00000,0.00041,0.00015,2.84868,3.03998,0.54178,0.04835,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00505,0.00910,0.16141,0.06987,0.36565,0.41154,0.23808,0.00113,0.28558,0.10070,0.00011,0.00000,0.00518,0.00357,3.02178,0.92905,0.45109,0.07872,0.00000,0.01472,0.00000,0.00000,0.00297,0.04389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.71202,0.00740,6.47934,0.00000
21,3.396,0.00000,0.00000,0.00717,0.00128,0.05416,0.29659,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00050,0.00005,4.19828,2.11131,0.92929,0.05666,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00353,0.00637,0.11514,0.04929,0.27220,0.37706,0.16665,0.00079,0.19990,0.07049,0.00008,0.00000,0.00378,0.00252,3.37473,1.28373,0.59455,0.07210,0.00000,0.01031,0.00000,0.00000,0.00208,0.03072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.35920,0.00000,7.29610,0.00000
22,3.140,0.00000,0.00000,0.14225,0.02096,0.30479,1.66233,0.00029,0.00016,0.00294,0.00092,0.00000,0.00000,0.41204,0.00013,0.00000,8.07935,3.65389,0.18391,0.12157,0.49535,0.00000,0.00000,0.01676,0.41144,0.00247,0.00446,0.12327,0.04079,0.28198,0.76264,0.11675,0.00060,0.14081,0.04962,0.00006,0.00000,0.12626,0.00180,2.36231,3.32241,1.51235,0.10564,0.03647,0.15582,0.00000,0.00000,0.00648,0.14494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,2.13033,0.00431,12.32932,1.04512
23,3.056,0.00001,0.00000,2.87990,0.31992,1.09333,2.87275,0.00072,0.00017,0.00000,0.00041,0.00000,0.00000,0.00000,0.00024,0.00000,2.58305,4.30180,0.28800,0.97113,2.59118,0.00000,0.00000,0.08276,1.21475,0.00174,0.00312,0.95026,0.12453,0.52538,1.39567,0.08194,0.00047,0.09857,0.03486,0.00004,0.00000,0.08838,0.00133,1.65362,3.10060,2.34919,0.16035,0.31687,0.88643,0.00000,0.00000,0.02937,0.46588,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,7.16591,0.00130,7.17309,4.85981
24,3.308,0.00101,0.00012,3.45111,0.88312,1.24800,1.29350,0.00000,0.00428,0.00000,0.01068,0.00000,0.00000,0.00000,0.00026,0.00000,5.06625,11.47036,0.56494,1.56026,3.60740,0.00000,0.00000,0.01906,0.77166,0.00152,0.00222,1.70051,0.35211,0.74217,1.36502,0.05736,0.00161,0.06900,0.02760,0.00003,0.00000,0.06187,0.00101,1.15753,3.69030,5.08554,0.28173,0.68989,1.70272,0.00000,0.00000,0.02627,0.55761,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,4,0,0,1,0,0,0,0,6.87685,0.01496,17.10181,5.95839
25,4.534,0.00194,0.00008,4.68732,1.01553,3.36143,0.77506,0.00000,0.00203,0.00000,0.00427,0.00000,0.00000,0.00000,0.00238,0.00000,25.02712,0.00000,3.10369,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00164,0.00158,2.59656,0.55113,1.52795,1.18803,0.04015,0.00174,0.04830,0.02060,0.00002,0.00000,0.04331,0.00142,0.81027,10.09134,3.55988,1.12832,0.48292,1.19190,0.00000,0.00000,0.01839,0.39033,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,6,3,1,0,1,0,0,0,0,9.84136,0.00630,28.13318,0.00000
26,6.535,0.02179,0.00006,2.39953,0.72401,2.35293,0.28728,0.00000,2.38585,0.00000,10.20416,0.00000,0.00000,0.00000,0.67379,0.00000,0.00000,0.00000,47.01310,0.00000,2.52495,0.00000,0.00000,0.00000,0.91522,0.00769,0.00112,2.53745,0.60300,1.77544,0.91781,0.02810,0.71697,0.03381,3.07567,0.00001,0.00000,0.03031,0.20313,0.56719,7.06394,2.49191,14.89375,0.33804,1.59182,0.00000,0.00000,0.01287,0.54780,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,5,2,7,0,1,0,0,0,0,5.78560,12.59002,47.68690,3.44017
27,7.158,0.32733,0.00011,2.15691,0.94861,0.00000,0.28806,0.00000,1.12953,0.00000,3.32750,0.00000,0.00000,0.00000,1.45943,0.00000,0.00000,0.00000,11.20693,0.00000,62.03482,0.00000,0.00000,0.00000,13.67750,0.10358,0.00082,2.42329,0.70668,1.24281,0.72888,0.01967,0.84074,0.02367,3.15122,0.00001,0.00000,0.02122,0.58002,0.39703,4.94476,1.74434,13.78771,0.23663,19.72472,0.00000,0.00000,0.00901,4.48671,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,3,1,7,0,8,0,0,0,3,3.72103,4.45702,12.66636,75.71232
28,7.825,0.28470,0.00019,2.65256,1.25398,0.00000,0.42075,0.00000,0.86435,0.00000,1.06459,0.00000,0.00000,0.00000,0.82670,0.00000,0.00000,0.00000,7.04540,0.00000,66.30656,0.00000,0.00000,0.00000,9.22886,0.15792,0.00063,2.49207,0.87087,0.86997,0.63644,0.01377,0.84782,0.01657,2.52523,0.00001,0.00000,0.01485,0.65403,0.27792,3.46133,1.22104,11.76501,0.16564,33.69927,0.00000,0.00000,0.00631,5.90935,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,1,7,0,9,0,0,0,4,4.61217,1.92893,7.87211,75.53542
29,8.203,0.51459,0.00022,4.31616,2.18725,0.00000,0.43534,0.00000,0.09099,0.00000,0.10748,0.00000,0.00000,0.00000,0.09997,0.00000,0.00000,0.00000,0.65510,0.00000,64.36748,0.00000,0.00000,0.00000,7.27685,0.26492,0.00051,3.03930,1.26578,0.60898,0.57611,0.00964,0.62077,0.01160,1.79990,0.00000,0.00000,0.01040,0.48781,0.19455,2.42293,0.85473,8.43204,0.11595,42.89973,0.00000,0.00000,0.00442,6.31960,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,5,0,9,0,0,0,4,7.45356,0.19847,0.75507,71.64433
30,8.137,0.56758,0.00023,2.50392,1.52310,0.00000,0.30794,0.00000,0.30733,0.00000,0.37486,0.00000,0.00000,0.00000,0.15051,0.00000,0.00000,0.00000,0.40762,0.00000,19.72436,0.00000,0.00000,0.00000,3.00220,0.35572,0.00042,2.87869,1.34298,0.42628,0.49566,0.00675,0.52674,0.00812,1.37239,0.00000,0.00000,0.00728,0.38662,0.13618,1.69605,0.59831,6.02471,0.08116,35.94712,0.00000,0.00000,0.00309,5.32438,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,9,0,0,0,4,4.90276,0.68219,0.55814,22.72656
31,8.113,0.00562,0.00020,0.00000,1.02479,1.44546,0.20392,0.00000,0.02567,0.00000,0.04257,0.00000,0.00000,0.00000,0.00711,0.00000,0.15096,0.00000,0.41724,0.00000,1.18379,0.00000,0.00000,0.00000,0.84723,0.25069,0.00036,2.01508,1.24752,0.73204,0.40814,0.00472,0.37642,0.00568,0.97344,0.00000,0.00000,0.00509,0.27277,0.09533,1.23252,0.41882,4.34247,0.05682,25.51812,0.00000,0.00000,0.00216,3.98124,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,9,0,0,0,3,2.67999,0.06824,0.57531,2.03102
32,8.049,0.00087,0.00011,0.59775,0.33449,0.24076,0.14131,0.23235,0.09765,0.00000,0.21303,0.00000,0.00000,0.00000,0.01230,0.00000,0.30017,0.05902,0.33066,0.00000,0.46311,0.00000,0.00000,0.18258,0.50771,0.17574,0.00028,1.58988,0.97361,0.58465,0.32809,0.07301,0.29279,0.00398,0.74532,0.00000,0.00000,0.00357,0.19463,0.06673,0.95282,0.31088,3.13893,0.03977,18.00162,0.00000,0.00000,0.05629,2.93918,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,2,1.31528,0.54303,0.70215,1.15340
33,8.042,0.00052,0.00015,1.12111,0.47522,0.28967,0.45757,0.04166,0.15135,0.53648,0.50173,0.00000,0.00000,0.00000,0.02162,0.00000,0.09557,0.18010,0.21423,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12317,0.00024,1.44925,0.82409,0.49616,0.36693,0.06361,0.25036,0.16373,0.67224,0.00000,0.00000,0.00250,0.14272,0.04671,0.69564,0.27165,2.26152,0.02784,12.60113,0.00000,0.00000,0.03940,2.05743,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,2,2.34423,1.23123,0.51152,0.00000
34,8.210,0.00028,0.00025,0.72074,0.31682,0.44543,0.85602,0.10763,0.43503,2.46873,1.82817,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03767,0.01170,0.00000,0.00000,0.00621,0.03761,0.08630,0.00024,1.23070,0.67191,0.48094,0.51366,0.07681,0.30576,0.85523,1.01902,0.00000,0.00000,0.00175,0.09991,0.03270,0.48695,0.19015,1.58306,0.03079,8.82430,0.00000,0.00000,0.02944,1.45148,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,1,2.33953,4.83956,0.00000,0.09318
35,8.993,0.00015,0.00019,0.37424,0.15113,0.46980,0.86332,0.23918,1.05273,0.70429,4.22027,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06046,0.00023,0.97376,0.51567,0.47760,0.61856,0.12552,0.52985,0.80995,1.97940,0.00000,0.00000,0.00122,0.06993,0.02289,0.34087,0.13311,1.10814,0.02155,6.17701,0.00000,0.00000,0.02061,1.01604,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,1,1.85881,6.21647,0.00000,0.00000
36,10.233,0.00021,0.00031,0.36053,0.13337,1.03516,1.68138,0.19451,0.86426,0.42527,3.06613,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.40898,0.18912,0.00000,0.00000,0.07273,0.65522,0.04238,0.00025,0.78979,0.40098,0.64487,0.93740,0.14622,0.63017,0.69454,2.30542,0.00000,0.00000,0.00086,0.04895,0.01602,0.23861,0.09317,0.77570,0.13778,4.38064,0.00000,0.00000,0.03625,0.90779,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3.21096,4.55017,0.00000,1.32605
37,11.433,0.00039,0.00057,0.42821,0.13379,2.68429,0.00000,0.21748,0.96159,0.40409,3.12684,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.82263,0.52167,0.00000,0.00000,0.13928,1.47244,0.02978,0.00035,0.68132,0.32082,1.25669,0.65618,0.16760,0.72960,0.60741,2.55184,0.00000,0.00000,0.00060,0.03427,0.01122,0.16702,0.06522,0.54299,0.34323,3.22295,0.00000,0.00000,0.06716,1.07719,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3.24725,4.71000,0.00000,2.95602
38,12.854,0.00011,0.00041,0.03400,0.01926,0.42495,0.00000,0.23646,1.11208,0.45557,4.51346,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.71061,0.60774,0.00000,0.00000,0.11807,1.31035,0.02088,0.00037,0.48712,0.23036,1.00717,0.45933,0.18826,0.84434,0.56185,3.14033,0.00000,0.00000,0.00042,0.02399,0.00785,0.11692,0.04566,0.38009,0.45345,2.43839,0.00000,0.00000,0.08243,1.14713,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0.47874,6.31757,0.00000,2.74677
