step,cap_deg,priv_0,priv_1,priv_2,priv_3,priv_4,priv_5,priv_6,priv_7,priv_8,priv_9,priv_10,priv_11,priv_12,priv_13,priv_14,priv_15,priv_16,priv_17,priv_18,priv_19,priv_20,priv_21,priv_22,priv_23,priv_24,priv_25,priv_26,priv_27,priv_28,priv_29,priv_30,priv_31,priv_32,priv_33,priv_34,priv_35,priv_36,priv_37,priv_38,priv_39,priv_40,priv_41,priv_42,priv_43,priv_44,priv_45,priv_46,priv_47,priv_48,priv_49,priv_50,priv_51,priv_52,priv_53,priv_54,priv_55,priv_56,priv_57,priv_58,priv_59,prop_0,prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7,prop_8,prop_9,prop_10,prop_11,prop_12,prop_13,prop_14,prop_15,prop_16,prop_17,prop_18,prop_19,prop_20,prop_21,prop_22,prop_23,prop_24,prop_25,prop_26,prop_27,prop_28,prop_29,prop_30,prop_31,prop_32,prop_33,prop_34,prop_35,prop_36,prop_37,prop_38,prop_39,prop_40,prop_41,prop_42,prop_43,prop_44,prop_45,prop_46,prop_47,prop_48,prop_49,prop_50,prop_51,prop_52,prop_53,prop_54,prop_55,prop_56,prop_57,prop_58,prop_59,prop_60,prop_61,prop_62,prop_63,prop_64,prop_65,prop_66,prop_67,prop_68,prop_69,prop_70,prop_71,prop_72,prop_73,prop_74,prop_75,targ_0,targ_1,targ_2,targ_3,targ_4,targ_5,targ_6,targ_7,targ_8,targ_9,targ_10,targ_11,targ_12,targ_13,targ_14,targ_15,targ_16,targ_17,targ_18,targ_19,targ_20,targ_21,targ_22,targ_23,targ_24,targ_25,targ_26,targ_27,targ_28,targ_29,targ_30,targ_31,targ_32,targ_33,targ_34,targ_35,targ_36,targ_37,targ_38,targ_39,targ_40,targ_41,targ_42,targ_43,targ_44,targ_45,targ_46,targ_47,targ_48,targ_49,targ_50,targ_51,targ_52,targ_53,targ_54,targ_55,targ_56,targ_57,targ_58,targ_59,targ_60,targ_61,targ_62,targ_63,targ_64
0,0.0000,0.244996,0.113920,0.158923,0.132731,0.261420,-0.219552,-0.173705,0.130462,0.105992,-0.000000,0.316010,-0.236113,0.249652,-0.003827,0.213311,-0.158770,-0.156038,-0.013140,-2.483200,-1.459306,1.703736,-0.126308,0.013515,0.003420,-0.143141,0.000009,-0.000000,0.000017,1.000000,-0.086860,0.022288,0.000200,-0.004389,-0.000066,-0.001620,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013483,0.003371,-0.250532,2.940000,3.333333,2.971124,0.195714,-1.833779,0.086264,-1.344860,-2.012223,0.038173,0.805665,0.783310,-0.227000,1.343574,0.391337,0.505665,-0.161870,0.114219,0.918692,0.494178,-0.226985,0.212166,1.431489,-0.071742,-0.218974,-0.985505,0.980909,-0.259962,0.996282,0.224019,-0.427230,0.999272,0.692632,0.708582,0.974346,0.225272,0.924400,0.874852,0.986928,0.993484,0.606860,0.880359,0.974349,0.977577,0.138857,0.997428,0.976121,0.169645,0.194467,-0.965619,0.086157,-0.974585,-0.904143,0.038164,0.721291,0.705629,-0.225056,0.974296,0.381424,0.484390,-0.161164,0.113971,0.794809,0.474308,-0.225041,0.210578,0.990312,-0.071681,-0.217228,0.676548,0.384180,-0.569459,0.265340,0.020145,0.145984,0.116040,0.201496,-0.396207,0.036334,-0.001908,-0.009370,0.003930,-0.020145,-0.145984,-0.116040,-0.117758,0.029277,0.239776,-0.963215,-0.201496,0.396207,-0.036334,0.143790,0.144525,0.143266,0.111028,0.077456,0.057456,0.172269,0.151235,0.138373,0.090436,0.056115,0.143695,0.142442,0.103952,0.071423,0.056869,0.156125,0.155330,0.104131,0.071297,0.053334,0.000000,0.000000,1.000000,0.000000,-0.013169,-0.003583,0.143140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.0019,0.528265,0.396759,0.106762,0.190305,0.155383,-0.087041,-0.076956,-0.240398,-0.805150,-0.000001,0.492967,-0.433424,-0.409315,-0.047481,0.419561,-0.184826,-0.099746,0.018695,0.817389,0.183089,-1.100533,-0.139086,0.014207,0.000914,-0.145280,0.000016,0.000000,0.000277,1.000000,0.040899,0.085352,0.003035,0.002428,0.000035,0.080483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014175,0.000867,-0.252671,2.940000,3.333333,2.978764,0.200287,-1.833146,0.089486,-1.342170,-2.014883,0.036143,0.804741,0.761044,-0.227000,1.352860,0.382548,0.498190,-0.162081,0.122283,0.915069,0.491423,-0.226755,0.212420,1.427735,-0.105329,-0.221217,-0.986773,0.980009,-0.259350,0.995999,0.226640,-0.429633,0.999347,0.693298,0.724116,0.974346,0.216215,0.927716,0.878449,0.986894,0.992533,0.609736,0.881662,0.974401,0.977524,0.142574,0.994458,0.975631,0.162111,0.198951,-0.965783,0.089367,-0.973979,-0.903004,0.036135,0.720651,0.689678,-0.225056,0.976346,0.373286,0.477836,-0.161372,0.121978,0.792604,0.471881,-0.224817,0.210826,0.989784,-0.105134,-0.219417,0.678074,0.385222,-0.565736,0.267886,-0.036830,0.240883,0.208384,0.046543,-0.690677,0.447856,-0.001460,-0.012978,0.001762,0.036830,-0.240883,-0.208384,-0.119492,0.032745,0.236851,-0.963613,-0.046543,0.690677,-0.447856,0.145944,0.146189,0.144476,0.110743,0.076691,0.055673,0.175066,0.154707,0.141914,0.094241,0.059969,0.145832,0.144144,0.104550,0.071224,0.054806,0.158633,0.157453,0.106162,0.073460,0.055314,0.002778,0.017452,0.999848,0.000000,-0.013617,0.000025,0.145308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.0318,0.739465,0.583634,-0.125736,-0.110831,-0.127827,0.164160,3.380883,0.409182,-0.396077,0.000000,0.534033,-0.862830,-0.841161,0.140279,0.907616,-0.232064,-0.056991,0.171883,1.202012,0.794183,-0.478928,0.079420,0.016277,-0.002635,-0.147504,0.000013,0.000000,0.003354,0.999994,0.097832,0.026780,0.003058,0.005565,0.000104,0.306584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016245,-0.002682,-0.254895,2.940000,3.333333,2.990436,0.208592,-1.835386,0.088929,-1.346041,-2.011170,0.048004,0.808209,0.724065,-0.227000,1.363347,0.366974,0.480332,-0.158842,0.137112,0.912717,0.483086,-0.222982,0.232667,1.439421,-0.136899,-0.219908,-0.988598,0.978323,-0.261514,0.996048,0.222868,-0.426278,0.998848,0.690794,0.749119,0.974346,0.205965,0.933417,0.886842,0.987411,0.990615,0.611598,0.885566,0.975242,0.973055,0.130998,0.990644,0.975918,0.150581,0.207083,-0.965200,0.088812,-0.974849,-0.904592,0.047985,0.723051,0.662436,-0.225056,0.978559,0.358792,0.462073,-0.158175,0.136683,0.791169,0.464514,-0.221138,0.230573,0.991383,-0.136471,-0.218140,0.676064,0.388204,-0.562719,0.274922,-0.165424,0.280199,0.159619,-0.189043,-0.359929,0.894674,0.000732,-0.016995,-0.000471,0.165424,-0.280199,-0.159619,-0.118034,0.035138,0.229115,-0.965577,0.189043,0.359929,-0.894674,0.148441,0.147764,0.145748,0.110803,0.076647,0.055506,0.177637,0.157587,0.144736,0.097363,0.063204,0.148318,0.146368,0.106070,0.072341,0.054527,0.161825,0.160433,0.108805,0.075715,0.056228,0.005556,0.034899,0.999391,0.000000,-0.015809,0.004043,0.147541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.3843,0.831092,0.507951,-0.368291,-0.392183,-0.455665,0.396496,3.654916,0.791524,-0.280464,0.000001,0.431504,-1.134120,-1.319659,0.499618,1.241946,-0.405404,0.505193,0.475516,1.503672,1.931668,-3.426564,0.428706,0.019173,-0.007013,-0.147921,-0.000005,-0.000000,0.006420,0.999979,0.009885,-0.065147,0.000842,0.000565,0.000083,0.344456,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019141,-0.007064,-0.255312,2.940000,3.333333,3.003994,0.216901,-1.841246,0.082899,-1.356365,-2.001930,0.070083,0.819062,0.680726,-0.227000,1.372073,0.345717,0.452909,-0.148742,0.159802,0.913466,0.469571,-0.213551,0.258890,1.464804,-0.165773,-0.212091,-0.990548,0.976569,-0.267164,0.996566,0.212792,-0.417901,0.997545,0.682907,0.777116,0.974346,0.197418,0.940833,0.899178,0.988958,0.987259,0.611006,0.891762,0.977285,0.966675,0.105794,0.986291,0.977593,0.137165,0.215204,-0.963651,0.082804,-0.977098,-0.908492,0.070026,0.730506,0.629357,-0.225056,0.980319,0.338872,0.437583,-0.148195,0.159122,0.791626,0.452504,-0.211931,0.256008,0.994388,-0.165015,-0.210504,0.669417,0.393231,-0.562650,0.284034,-0.234071,0.253953,0.009869,-0.439188,0.230316,1.204467,0.004309,-0.020532,-0.000872,0.234071,-0.253953,-0.009869,-0.113108,0.033513,0.218357,-0.968712,0.439188,-0.230316,-1.204467,0.149399,0.147374,0.145313,0.109699,0.075866,0.055923,0.177940,0.157840,0.144849,0.097928,0.064436,0.149277,0.147346,0.107026,0.073550,0.055742,0.163930,0.162601,0.110790,0.077517,0.057057,0.008333,0.052336,0.998630,0.000000,-0.019386,0.007579,0.147942,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.7356,0.934447,0.300673,-0.534138,-0.584521,-0.705647,0.384080,3.552312,0.644476,-0.440720,-0.002313,0.425151,-1.449304,-1.780211,1.010178,1.634146,-0.277221,-0.221540,0.843678,1.548683,1.607903,0.458596,0.846812,0.022698,-0.011716,-0.145951,-0.000029,-0.000001,0.005322,0.999986,-0.022393,-0.199204,-0.000154,-0.001007,-0.000039,-0.064665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022665,-0.011772,-0.253342,2.940000,3.333333,3.019308,0.222413,-1.849826,0.072843,-1.370801,-1.993874,0.099376,0.831372,0.634628,-0.227000,1.379321,0.318769,0.418514,-0.130470,0.188383,0.916974,0.457795,-0.196548,0.289848,1.490489,-0.182574,-0.195964,-0.992533,0.975368,-0.275423,0.997348,0.198664,-0.410569,0.995066,0.673863,0.805292,0.974346,0.190308,0.949622,0.913694,0.991501,0.982308,0.608225,0.897029,0.980747,0.958287,0.080221,0.983380,0.980860,0.121980,0.220584,-0.961323,0.072779,-0.980068,-0.911830,0.099212,0.738857,0.592878,-0.225056,0.981725,0.313398,0.406404,-0.130100,0.187271,0.793765,0.441971,-0.195285,0.285807,0.996777,-0.181562,-0.194712,0.659271,0.399067,-0.566337,0.292180,-0.260907,0.246097,-0.145238,-0.615414,0.822663,1.299081,0.008675,-0.024075,0.001120,0.260907,-0.246097,0.145238,-0.105733,0.027212,0.207790,-0.972061,0.615414,-0.822663,-1.299081,0.148288,0.144383,0.142428,0.106649,0.073588,0.056290,0.175620,0.155450,0.142340,0.096227,0.064359,0.148174,0.146434,0.106564,0.073771,0.056855,0.164538,0.163452,0.111720,0.078622,0.057843,0.011111,0.069756,0.997564,0.000000,-0.023752,0.011122,0.145950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.6099,0.865243,0.135420,-0.535744,-0.595103,-0.781088,0.485345,3.602572,0.363380,-2.135069,-0.004319,0.332103,-1.693364,-2.018967,1.375360,1.785331,-0.629782,1.286748,1.258318,1.721136,1.128327,-1.484015,1.240884,0.025817,-0.015565,-0.142650,-0.000048,-0.000001,0.000234,1.000000,0.013646,-0.247461,-0.000625,0.001369,0.000063,-0.618914,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025786,-0.015626,-0.250041,2.940000,3.333333,3.034252,0.225218,-1.859296,0.062542,-1.386214,-1.983224,0.130624,0.841597,0.592569,-0.227000,1.385433,0.286768,0.380316,-0.104767,0.220936,0.921858,0.443146,-0.171835,0.322473,1.504946,-0.188364,-0.172637,-0.994245,0.974745,-0.284515,0.998045,0.183536,-0.400834,0.991481,0.666273,0.829509,0.974346,0.184303,0.959163,0.928547,0.994517,0.975693,0.604341,0.903407,0.985273,0.948454,0.065803,0.982312,0.985135,0.107135,0.223319,-0.958672,0.062501,-0.983013,-0.916151,0.130253,0.745708,0.558494,-0.225056,0.982869,0.282853,0.371214,-0.104575,0.219143,0.796726,0.428784,-0.170991,0.316913,0.997833,-0.187252,-0.171780,0.647436,0.405896,-0.570770,0.300493,-0.220313,0.192662,-0.200906,-0.678749,0.984524,1.342777,0.012470,-0.027035,0.004459,0.220313,-0.192662,0.200906,-0.097688,0.019222,0.196168,-0.975503,0.678749,-0.984524,-1.342777,0.145929,0.140198,0.138388,0.102782,0.070883,0.057056,0.172026,0.151947,0.138814,0.093937,0.064508,0.145823,0.144308,0.104990,0.073125,0.057459,0.163895,0.163078,0.111495,0.078740,0.058062,0.013889,0.087156,0.996195,0.000000,-0.027548,0.014083,0.142611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.0269,0.569144,0.171903,-0.353121,-0.273415,-0.787465,0.524724,2.906027,0.994444,-0.357592,-0.001733,0.185334,-1.901806,-2.143211,1.679037,1.880839,0.266427,0.322649,1.545915,-0.131931,1.259741,0.334927,1.364304,0.028936,-0.016430,-0.140301,-0.000028,-0.000000,0.000282,1.000000,-0.034246,-0.127716,-0.005809,-0.001574,-0.000027,-0.099156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028904,-0.016487,-0.247692,2.940000,3.333333,3.044977,0.227696,-1.867124,0.056450,-1.400937,-1.969670,0.149444,0.859037,0.572336,-0.227000,1.389820,0.251804,0.342652,-0.074886,0.254481,0.930786,0.435525,-0.141130,0.343626,1.517357,-0.180549,-0.148056,-0.995336,0.974189,-0.292010,0.998407,0.169044,-0.388381,0.988854,0.653167,0.840638,0.974346,0.179990,0.968464,0.941867,0.997197,0.967794,0.597204,0.906649,0.990058,0.941539,0.053414,0.983745,0.989060,0.096466,0.225734,-0.956415,0.056420,-0.985609,-0.921499,0.148888,0.757214,0.541597,-0.225056,0.983668,0.249152,0.335986,-0.074816,0.251743,0.802089,0.421887,-0.140662,0.336903,0.998572,-0.179569,-0.147516,0.637417,0.411357,-0.573243,0.309641,-0.129824,0.069124,-0.076554,-0.741896,0.440144,1.096672,0.014846,-0.028231,0.006852,0.129824,-0.069124,0.076554,-0.090228,0.014259,0.184744,-0.978532,0.741896,-0.440144,-1.096672,0.144187,0.137459,0.135840,0.100161,0.068857,0.056869,0.169392,0.149229,0.136063,0.092329,0.064656,0.144091,0.142802,0.103759,0.072362,0.056729,0.163090,0.162508,0.110954,0.078183,0.056885,0.016667,0.104528,0.994522,0.000000,-0.029923,0.015278,0.140218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.0323,0.587597,0.252331,-0.404394,-0.248151,-0.756791,0.743031,0.812330,1.673720,0.687461,-0.000000,0.139512,-1.802432,-1.839633,1.668861,1.656795,0.608586,0.884202,1.781720,-1.529219,1.523543,1.583645,1.185452,0.032220,-0.016435,-0.138707,0.000000,-0.000000,0.004548,0.999990,-0.068798,0.025834,-0.007833,-0.003692,-0.000050,0.037148,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032188,-0.016485,-0.246098,2.940000,3.333333,3.054943,0.231332,-1.874576,0.051323,-1.417197,-1.954924,0.174932,0.880444,0.560180,-0.227000,1.392689,0.216427,0.304006,-0.041643,0.287732,0.943710,0.433125,-0.106852,0.360516,1.530113,-0.173259,-0.125075,-0.996248,0.973362,-0.299129,0.998683,0.152996,-0.374750,0.984738,0.636809,0.847159,0.974346,0.177168,0.976671,0.954145,0.999133,0.958890,0.586788,0.907659,0.994297,0.935715,0.040672,0.985028,0.992188,0.086541,0.229275,-0.954213,0.051300,-0.988227,-0.927126,0.174041,0.771022,0.531339,-0.225056,0.984181,0.214741,0.299345,-0.041631,0.283778,0.809741,0.419709,-0.106648,0.352757,0.999173,-0.172393,-0.124749,0.627576,0.416051,-0.575047,0.319954,-0.132345,0.072818,-0.070069,-0.714319,0.349160,1.337624,0.017114,-0.028816,0.008445,0.132345,-0.072818,0.070069,-0.082146,0.010640,0.172846,-0.981459,0.714319,-0.349160,-1.337624,0.143195,0.135699,0.134316,0.098537,0.067679,0.056867,0.167508,0.147072,0.133825,0.091156,0.064623,0.143109,0.142079,0.103161,0.071929,0.055463,0.162772,0.162441,0.110867,0.078008,0.055960,0.019444,0.121869,0.992546,0.000000,-0.032191,0.015863,0.138625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.111111,0.111111,0.000000,0.000000,0.000000,0.000000
8,0.5212,0.787091,0.098726,-0.190496,-0.484333,-0.841326,0.766996,1.726645,0.820205,-1.984707,-0.000001,0.054527,-1.886999,-1.899445,1.621377,-2.268238,0.144742,0.731040,1.745947,1.137567,0.686282,-0.067808,1.275741,0.034503,-0.017587,-0.137545,0.000005,0.000000,0.006213,0.999981,-0.037466,-0.042363,-0.000894,-0.002049,-0.000059,0.096478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034471,-0.017636,-0.244936,2.940000,3.333333,3.068208,0.233269,-1.879094,0.041373,-1.434151,-1.939541,0.203620,0.897900,0.544950,-0.227000,1.394954,0.181387,0.267086,-0.010139,0.296342,0.951538,0.426389,-0.073043,0.379940,1.543079,-0.179620,-0.100403,-0.997309,0.972916,-0.303437,0.999144,0.136221,-0.360445,0.979341,0.623254,0.855153,0.974346,0.174937,0.983594,0.964544,0.999949,0.956411,0.580431,0.910465,0.997334,0.928687,0.027714,0.983912,0.994964,0.073318,0.231160,-0.952851,0.041361,-0.990679,-0.932781,0.202216,0.782020,0.518376,-0.225056,0.984580,0.180394,0.263922,-0.010139,0.292023,0.814309,0.413585,-0.072978,0.370865,0.999616,-0.178656,-0.100234,0.615621,0.422424,-0.577224,0.330728,-0.096887,0.126827,-0.035761,-0.778577,0.530197,1.576159,0.019217,-0.030444,0.009553,0.096887,-0.126827,0.035761,-0.073603,0.005112,0.159010,-0.984516,0.778577,-0.530197,-1.576159,0.142804,0.134312,0.133030,0.096913,0.066390,0.056557,0.166353,0.145912,0.132652,0.091250,0.065889,0.142724,0.141830,0.102997,0.072068,0.054891,0.163213,0.163028,0.111423,0.078536,0.055734,0.022222,0.139173,0.990268,0.000000,-0.034294,0.017492,0.137517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222,0.000000,0.111111,0.111111,0.000000,0.000000,0.000000,0.000000
9,0.7120,0.657400,-0.215042,0.149955,-0.526615,-0.913682,0.570668,3.155881,1.075867,-0.589499,-0.002409,0.030513,-1.891207,-1.984221,1.438721,-2.334401,0.279822,1.022696,1.853068,-1.049557,0.913514,0.605720,1.169169,0.036409,-0.018688,-0.137269,0.000035,0.000001,0.006766,0.999977,0.027198,-0.021276,0.003584,0.001606,0.000054,-0.131287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036377,-0.018730,-0.244660,2.940000,3.333333,3.080836,0.230873,-1.878101,0.028659,-1.451594,-1.928130,0.225969,0.914418,0.531616,-0.227000,1.396128,0.146087,0.229662,0.017260,0.326812,0.958986,0.414491,-0.037176,0.392721,1.551892,-0.177040,-0.077926,-0.998155,0.973467,-0.302491,0.999589,0.118920,-0.349778,0.974577,0.610252,0.861989,0.974346,0.173781,0.989348,0.973743,0.999851,0.947070,0.574350,0.915321,0.999309,0.923871,0.018904,0.984369,0.996965,0.060719,0.228828,-0.953152,0.028656,-0.992904,-0.936833,0.224051,0.792207,0.506927,-0.225056,0.984784,0.145568,0.227648,0.017259,0.321026,0.818610,0.402724,-0.037167,0.382703,0.999821,-0.176116,-0.077847,0.603702,0.427590,-0.580707,0.339839,0.017780,0.066991,0.013902,-0.852999,0.576296,1.268160,0.020054,-0.031800,0.009760,-0.017780,-0.066991,-0.013902,-0.064646,-0.001294,0.147323,-0.986973,0.852999,-0.576296,-1.268160,0.142980,0.133828,0.132642,0.096157,0.065831,0.056485,0.165940,0.145393,0.132092,0.091895,0.067460,0.142905,0.142128,0.103213,0.072473,0.054247,0.163898,0.163833,0.112185,0.079151,0.055386,0.025000,0.156434,0.987688,0.000000,-0.035131,0.018848,0.137310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222,0.000000,0.111111,0.111111,0.000000,0.000000,0.000000,0.000000
