step,cap_deg,priv_0,priv_1,priv_2,priv_3,priv_4,priv_5,priv_6,priv_7,priv_8,priv_9,priv_10,priv_11,priv_12,priv_13,priv_14,priv_15,priv_16,priv_17,priv_18,priv_19,priv_20,priv_21,priv_22,priv_23,priv_24,priv_25,priv_26,priv_27,priv_28,priv_29,priv_30,priv_31,priv_32,priv_33,priv_34,priv_35,priv_36,priv_37,priv_38,priv_39,priv_40,priv_41,priv_42,priv_43,priv_44,priv_45,priv_46,priv_47,priv_48,priv_49,priv_50,priv_51,priv_52,priv_53,priv_54,priv_55,priv_56,priv_57,priv_58,priv_59,prop_0,prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7,prop_8,prop_9,prop_10,prop_11,prop_12,prop_13,prop_14,prop_15,prop_16,prop_17,prop_18,prop_19,prop_20,prop_21,prop_22,prop_23,prop_24,prop_25,prop_26,prop_27,prop_28,prop_29,prop_30,prop_31,prop_32,prop_33,prop_34,prop_35,prop_36,prop_37,prop_38,prop_39,prop_40,prop_41,prop_42,prop_43,prop_44,prop_45,prop_46,prop_47,prop_48,prop_49,prop_50,prop_51,prop_52,prop_53,prop_54,prop_55,prop_56,prop_57,prop_58,prop_59,prop_60,prop_61,prop_62,prop_63,prop_64,prop_65,prop_66,prop_67,prop_68,prop_69,prop_70,prop_71,prop_72,prop_73,prop_74,prop_75,targ_0,targ_1,targ_2,targ_3,targ_4,targ_5,targ_6,targ_7,targ_8,targ_9,targ_10,targ_11,targ_12,targ_13,targ_14,targ_15,targ_16,targ_17,targ_18,targ_19,targ_20,targ_21,targ_22,targ_23,targ_24,targ_25,targ_26,targ_27,targ_28,targ_29,targ_30,targ_31,targ_32,targ_33,targ_34,targ_35,targ_36,targ_37,targ_38,targ_39,targ_40,targ_41,targ_42,targ_43,targ_44,targ_45,targ_46,targ_47,targ_48,targ_49,targ_50,targ_51,targ_52,targ_53,targ_54,targ_55,targ_56,targ_57,targ_58,targ_59,targ_60,targ_61,targ_62,targ_63,targ_64
0,0.0000,-0.183771,-0.166815,0.404679,-0.025981,0.066208,0.195842,0.167845,0.443383,1.613084,0.174708,1.549845,-0.236534,-0.478278,0.004923,0.498655,-0.042909,-2.103567,-0.105604,-2.683563,-0.761294,3.753735,0.175130,0.044172,-0.043906,-0.130343,0.000006,0.000000,0.000029,1.000000,-0.089225,-0.195206,0.003348,-0.004918,-0.000074,0.009155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044269,-0.043993,-0.244431,0.000000,3.333333,3.187703,0.223959,-1.932095,0.209693,-1.626427,-2.226626,0.096029,1.236909,-0.039483,-0.166061,1.273482,0.007578,0.445469,-0.161335,0.207243,1.258751,0.034491,-0.147516,0.366416,1.604504,-0.043732,-0.222797,-0.998937,0.975026,-0.353489,0.978095,-0.055602,-0.609817,0.995393,0.327719,0.999221,0.986243,0.292953,0.999971,0.902409,0.987014,0.978602,0.307006,0.999405,0.989139,0.933617,-0.033702,0.999044,0.975283,-0.046094,0.222091,-0.935439,0.208159,-0.998453,-0.792542,0.095882,0.944775,-0.039473,-0.165299,0.956127,0.007577,0.430881,-0.160636,0.205762,0.951708,0.034484,-0.146982,0.358272,0.999432,-0.043718,-0.220958,-0.641619,-0.297306,0.611782,-0.354481,0.136398,-0.060636,0.117847,0.061233,-0.197884,0.015254,0.028870,-0.056139,0.007704,-0.136398,0.060636,-0.117847,-0.011728,-0.070585,-0.238172,0.968584,-0.061233,0.197884,-0.015254,0.144193,0.135960,0.135491,0.087399,0.060952,0.058597,0.166101,0.143493,0.129871,0.082339,0.050878,0.144146,0.144005,0.096127,0.066956,0.057007,0.164164,0.164623,0.112873,0.078161,0.052386,0.000000,0.000000,1.000000,0.000000,-0.043947,0.043186,0.130366,0.000000,0.000000,0.000000,0.555556,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222
1,0.0033,-0.425420,-0.123093,0.188244,0.366868,-0.100442,0.371792,0.501596,0.518173,0.946607,0.477860,2.195193,-0.211135,-0.455180,-0.010621,0.306095,-0.299706,-0.041839,-0.096278,-3.174364,-0.139944,3.717004,0.125322,0.041098,-0.042742,-0.131563,-0.000009,-0.000000,0.003971,0.999992,-0.097906,-0.128472,-0.002475,-0.005496,-0.000106,0.671472,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041195,-0.042833,-0.245651,0.001531,3.333333,3.181777,0.222273,-1.928567,0.214521,-1.625110,-2.219764,0.105089,1.244635,-0.048074,-0.156842,1.303795,0.003380,0.441186,-0.161365,0.218470,1.250391,0.010653,-0.149866,0.321360,1.600269,-0.104068,-0.220031,-0.999193,0.975399,-0.350187,0.977079,-0.054287,-0.604364,0.994483,0.320409,0.998845,0.987725,0.263841,0.999994,0.904246,0.987009,0.976230,0.314952,0.999943,0.988791,0.948807,-0.029469,0.994590,0.975891,-0.040174,0.220447,-0.936680,0.212879,-0.998525,-0.796708,0.104895,0.947279,-0.048055,-0.156200,0.964566,0.003380,0.427012,-0.160666,0.216737,0.949108,0.010653,-0.149305,0.315857,0.999566,-0.103880,-0.218260,-0.643568,-0.296845,0.609436,-0.355374,0.165198,-0.183226,0.076770,-0.112312,-0.416919,-0.062981,0.026298,-0.053929,0.006449,-0.165198,0.183226,-0.076770,-0.010432,-0.073492,-0.237758,0.968484,0.112312,0.416919,0.062981,0.143927,0.136988,0.136528,0.088450,0.062145,0.059175,0.166553,0.143867,0.130207,0.082677,0.051136,0.143878,0.143701,0.095643,0.066892,0.058035,0.162843,0.163238,0.111895,0.078271,0.055617,0.002778,0.017452,0.999848,0.000000,-0.041375,0.040977,0.131621,0.000000,0.000000,0.000000,0.555556,0.000000,0.555556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222
2,0.4550,-0.443677,0.136539,-0.025400,0.307600,0.078734,0.700784,0.917515,0.750877,0.554328,0.880738,1.587544,-0.290825,-0.817168,0.002724,0.873133,0.526840,0.535310,0.143659,-3.083648,0.434381,1.800949,-0.157411,0.039511,-0.039970,-0.131980,-0.000012,-0.000000,0.017786,0.999842,-0.106809,0.028134,-0.004629,-0.006190,-0.000342,1.207806,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039605,-0.040064,-0.246068,0.003063,3.333333,3.174000,0.223598,-1.929121,0.220282,-1.621823,-2.210098,0.121977,1.255822,-0.059275,-0.139821,1.324671,-0.002310,0.436403,-0.161225,0.236515,1.252045,0.005553,-0.148767,0.293607,1.603835,-0.118530,-0.220989,-0.999475,0.975106,-0.350706,0.975836,-0.051005,-0.596635,0.992570,0.309792,0.998244,0.990241,0.243648,0.999997,0.906278,0.987031,0.972160,0.313381,0.999985,0.988955,0.957206,-0.033032,0.992984,0.975681,-0.032401,0.221740,-0.936486,0.218505,-0.998698,-0.802512,0.121675,0.950804,-0.059240,-0.139366,0.969864,-0.002310,0.422682,-0.160527,0.234316,0.949627,0.005553,-0.148218,0.289407,0.999454,-0.118253,-0.219194,-0.645536,-0.297292,0.606749,-0.356028,0.083096,-0.185162,0.058119,0.032288,-0.383559,0.260786,0.024772,-0.051133,0.006029,-0.083096,0.185162,-0.058119,-0.008342,-0.076053,-0.236864,0.968525,-0.032288,0.383559,-0.260786,0.143110,0.137189,0.136831,0.089005,0.063344,0.060262,0.166109,0.143238,0.129534,0.082063,0.050858,0.143064,0.142950,0.094740,0.065979,0.057441,0.161216,0.161642,0.110496,0.077334,0.055945,0.005556,0.034899,0.999391,0.000000,-0.039849,0.038181,0.132041,0.000000,0.000000,0.000000,0.666667,0.000000,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222
3,2.0383,-0.349285,0.439078,-0.249939,0.177262,0.330577,0.468665,1.295362,0.752636,0.214404,1.289552,1.289919,-0.166399,-0.411162,0.017784,1.125745,0.236728,0.791370,0.436293,-1.880903,0.625503,2.310655,-0.089220,0.039980,-0.038026,-0.132354,-0.000009,-0.000000,0.031893,0.999491,-0.063980,-0.084685,-0.003149,-0.004110,-0.000360,1.872259,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040071,-0.038122,-0.246441,0.004594,3.333333,3.167162,0.229518,-1.932641,0.226055,-1.615540,-2.203201,0.146292,1.272574,-0.069130,-0.114879,1.334446,-0.006669,0.428284,-0.161028,0.259646,1.252359,0.007122,-0.141671,0.289683,1.605083,-0.126909,-0.221581,-0.999673,0.973776,-0.354000,0.974558,-0.044729,-0.591086,0.989318,0.293821,0.997612,0.993409,0.234156,0.999978,0.909680,0.987063,0.966481,0.313083,0.999975,0.989981,0.958335,-0.034280,0.991958,0.975551,-0.025567,0.227508,-0.935245,0.224135,-0.998999,-0.806609,0.145771,0.955860,-0.069075,-0.114627,0.972199,-0.006668,0.415311,-0.160333,0.256739,0.949726,0.007122,-0.141198,0.285648,0.999412,-0.126569,-0.219772,-0.648814,-0.297892,0.603288,-0.355449,-0.067192,-0.102870,0.033386,0.293388,-0.338804,0.147971,0.025073,-0.049237,0.005566,0.067192,0.102870,-0.033386,-0.004570,-0.079077,-0.236832,0.968316,-0.293388,0.338804,-0.147971,0.143129,0.137608,0.137321,0.089556,0.064152,0.060209,0.166191,0.143138,0.129378,0.081982,0.051041,0.143084,0.143025,0.094799,0.065962,0.057066,0.160882,0.161345,0.110114,0.076934,0.055754,0.008333,0.052336,0.998630,0.000000,-0.040150,0.036285,0.132504,0.000000,0.000000,0.000000,0.777778,0.000000,0.777778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222
4,3.6553,-0.287797,0.597401,-0.299132,0.312583,0.385987,0.126900,1.506504,1.507367,1.144192,1.600383,0.382563,0.585732,-2.545882,0.007734,1.544101,0.397943,1.307409,0.821236,-2.707237,0.903310,3.568896,-0.044676,0.041938,-0.036543,-0.132832,0.000004,0.000000,0.036616,0.999329,0.016871,0.147284,-0.003590,0.001454,0.000159,-0.134502,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042029,-0.036637,-0.246919,0.006125,3.333333,3.161309,0.238789,-1.938134,0.232922,-1.606014,-2.200299,0.176028,1.289854,-0.074169,-0.083936,1.344573,-0.006953,0.392665,-0.160683,0.287376,1.245928,0.015237,-0.125297,0.300646,1.602674,-0.129538,-0.223068,-0.999806,0.971625,-0.359132,0.972996,-0.035210,-0.588743,0.984547,0.277261,0.997251,0.996479,0.224298,0.999976,0.923893,0.987118,0.958991,0.319184,0.999884,0.992161,0.955145,-0.031872,0.991622,0.975223,-0.019715,0.236526,-0.933287,0.230822,-0.999380,-0.808320,0.175120,0.960795,-0.074101,-0.083837,0.974521,-0.006953,0.382652,-0.159993,0.283437,0.947693,0.015237,-0.124969,0.296137,0.999492,-0.129176,-0.221223,-0.653889,-0.298237,0.598881,-0.353307,-0.118491,-0.052483,0.068749,0.381769,-0.600039,-0.120562,0.026649,-0.048410,0.005028,0.118491,0.052483,-0.068749,0.001137,-0.082950,-0.238203,0.967666,-0.381769,0.600039,0.120562,0.143869,0.138268,0.137962,0.090096,0.064516,0.059004,0.166898,0.143794,0.129977,0.083194,0.054065,0.143825,0.143750,0.095642,0.066669,0.056703,0.161639,0.162089,0.110637,0.077150,0.055462,0.011111,0.069756,0.997564,0.000000,-0.041726,0.035457,0.133042,0.000000,0.000000,0.000000,0.555556,0.000000,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111
5,4.1968,-0.295579,0.775810,-0.475926,0.297581,0.531222,-0.219129,1.513596,1.063419,-0.182448,1.834850,-2.423503,0.316180,0.128079,0.005306,1.868183,-0.142800,1.092057,1.260510,-0.953144,0.430096,2.529138,-0.041501,0.044959,-0.035280,-0.132992,0.000007,0.000000,0.036265,0.999342,0.025812,0.048613,0.003047,0.001497,0.000147,-0.028343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045050,-0.035373,-0.247080,0.007656,3.333333,3.155554,0.250654,-1.946371,0.241413,-1.596077,-2.204966,0.206120,1.307855,-0.080349,-0.048428,1.350428,-0.001345,0.378731,-0.160431,0.318661,1.241816,0.035724,-0.101153,0.311584,1.602481,-0.117911,-0.224250,-0.999903,0.968750,-0.366807,0.971001,-0.025278,-0.592509,0.978832,0.259922,0.996774,0.998828,0.218589,0.999999,0.929135,0.987158,0.949656,0.323078,0.999362,0.994888,0.951849,-0.031680,0.993057,0.974961,-0.013961,0.248038,-0.930297,0.239075,-0.999680,-0.805564,0.204664,0.965630,-0.080263,-0.048409,0.975817,-0.001345,0.369742,-0.159744,0.313295,0.946372,0.035716,-0.100980,0.306567,0.999498,-0.117638,-0.222375,-0.660737,-0.296223,0.594967,-0.348846,-0.218286,-0.012622,0.033276,0.561040,-0.595281,-0.451018,0.029650,-0.048113,0.004824,0.218286,0.012622,-0.033276,0.007317,-0.087536,-0.243123,0.966010,-0.561040,0.595281,0.451018,0.144883,0.138765,0.138489,0.090489,0.064733,0.057641,0.167521,0.144270,0.130361,0.083580,0.054490,0.144841,0.144811,0.096895,0.067501,0.055573,0.163010,0.163512,0.111988,0.078261,0.055839,0.013889,0.087156,0.996195,0.000000,-0.044727,0.035160,0.133246,0.000000,0.000000,0.000000,0.444444,0.000000,0.555556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111
6,4.1566,-0.286254,0.911508,-0.567284,0.499624,0.313390,-0.425291,1.371673,0.787934,0.721650,1.864560,-0.733318,0.405163,0.737435,-0.002920,1.810085,-0.481950,1.522258,1.529756,-1.191228,0.271074,2.241576,-0.048362,0.048757,-0.034845,-0.133553,0.000002,0.000000,0.035852,0.999357,0.097642,-0.150293,-0.005152,0.004879,0.000422,0.033391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048848,-0.034940,-0.247640,0.009188,3.333333,3.149853,0.265243,-1.956866,0.253207,-1.589887,-2.214996,0.233053,1.327036,-0.086928,-0.012365,1.355767,0.003594,0.363526,-0.160345,0.349928,1.232336,0.062916,-0.072113,0.334634,1.598486,-0.108233,-0.225070,-0.999966,0.965029,-0.376550,0.968114,-0.019089,-0.600559,0.972966,0.241354,0.996224,0.999924,0.213377,0.999994,0.934649,0.987172,0.939397,0.332035,0.998021,0.997401,0.944531,-0.027686,0.994148,0.974778,-0.008260,0.262144,-0.926396,0.250510,-0.999818,-0.799581,0.230949,0.970437,-0.086819,-0.012365,0.976970,0.003594,0.355572,-0.159658,0.342830,0.943267,0.062875,-0.072051,0.328423,0.999617,-0.108022,-0.223175,-0.668984,-0.290742,0.591107,-0.344270,-0.251742,-0.028957,0.065181,0.374215,-0.848818,-0.666047,0.033602,-0.047590,0.004250,0.251742,0.028957,-0.065181,0.012267,-0.094406,-0.250568,0.963407,-0.374215,0.848818,0.666047,0.146551,0.139985,0.139866,0.091856,0.066042,0.057288,0.168522,0.144776,0.130682,0.083741,0.054194,0.146516,0.146651,0.099335,0.069814,0.055907,0.164910,0.165565,0.113722,0.079489,0.056077,0.016667,0.104528,0.994522,0.000000,-0.048679,0.034637,0.133820,0.000000,0.000000,0.000000,0.333333,0.000000,0.444444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111
7,4.1092,-0.267767,1.003797,-0.646988,0.631060,0.298360,-0.483114,1.083706,0.646731,-0.615125,1.863113,0.440546,0.221926,0.667745,0.002298,1.577891,-1.004343,1.802660,1.664467,-0.733800,0.336954,2.032279,-0.036142,0.052889,-0.034284,-0.134219,-0.000001,-0.000000,0.035761,0.999360,0.132236,-0.052105,-0.005485,0.007279,0.000629,0.019178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052980,-0.034379,-0.248307,0.010719,3.333333,3.144324,0.281640,-1.968777,0.267566,-1.583753,-2.225839,0.254506,1.348226,-0.097759,0.023693,1.364019,0.005230,0.347974,-0.160205,0.377081,1.214811,0.095246,-0.040323,0.355675,1.596900,-0.103255,-0.225875,-0.999996,0.960601,-0.387557,0.964417,-0.012956,-0.609193,0.967788,0.220737,0.995225,0.999719,0.205307,0.999986,0.940066,0.987195,0.929743,0.348514,0.995467,0.999187,0.937412,-0.026101,0.994674,0.974599,-0.002731,0.277931,-0.921846,0.264385,-0.999916,-0.793022,0.251767,0.975333,-0.097603,0.023691,0.978698,0.005230,0.340993,-0.159521,0.368208,0.937304,0.095102,-0.040312,0.348223,0.999659,-0.103071,-0.223959,-0.678102,-0.284581,0.586241,-0.339872,-0.271211,-0.018372,0.066332,0.370990,-0.993047,-0.699533,0.037878,-0.047220,0.003575,0.271211,0.018372,-0.066332,0.017630,-0.102668,-0.258210,0.960456,-0.370990,0.993047,0.699533,0.148551,0.141588,0.141610,0.093444,0.067421,0.056809,0.169905,0.145677,0.131397,0.084303,0.054176,0.148523,0.148804,0.102341,0.072812,0.056951,0.167081,0.167872,0.115741,0.081058,0.056706,0.019444,0.121869,0.992546,0.000000,-0.052955,0.034268,0.134495,0.000000,0.000000,0.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111
8,4.0987,-0.382981,1.047097,-0.653464,0.688785,0.367719,-0.266897,0.700592,1.035962,-1.439943,1.862201,0.309612,-0.029959,1.094861,0.014634,1.197380,-1.391657,2.027651,1.722148,-1.177715,0.407926,2.314705,-0.043980,0.056940,-0.033379,-0.134975,-0.000002,-0.000000,0.035891,0.999356,0.159001,0.124459,-0.004489,0.009527,0.000828,0.038525,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.057030,-0.033475,-0.249062,0.012250,3.333333,3.137245,0.299107,-1.981073,0.282484,-1.575854,-2.232616,0.268380,1.368376,-0.114435,0.059745,1.372298,0.001417,0.336495,-0.159959,0.398000,1.190248,0.131547,-0.007499,0.376617,1.597322,-0.102133,-0.226587,-0.999991,0.955600,-0.398863,0.960366,-0.005057,-0.614554,0.964202,0.201041,0.993459,0.998216,0.197197,0.999999,0.943918,0.987234,0.921838,0.371430,0.991360,0.999972,0.929914,-0.026523,0.994789,0.974439,0.004347,0.294667,-0.917010,0.278742,-0.999987,-0.788875,0.265170,0.979583,-0.114185,0.059710,0.980364,0.001417,0.330181,-0.159277,0.387576,0.928461,0.131168,-0.007499,0.367777,0.999648,-0.101955,-0.224653,0.687242,0.279494,-0.580222,0.336042,-0.251024,-0.056062,0.075813,0.403085,-1.085645,-0.581910,0.041971,-0.046420,0.002818,0.251024,0.056062,-0.075813,-0.023848,0.111305,0.264469,-0.957653,-0.403085,1.085645,0.581910,0.150557,0.143371,0.143517,0.095144,0.068971,0.056605,0.171427,0.146748,0.132302,0.085021,0.054108,0.150535,0.150941,0.105569,0.076145,0.058529,0.169118,0.170021,0.117578,0.082433,0.057136,0.022222,0.139173,0.990268,0.000000,-0.057048,0.033467,0.135251,0.000000,0.000000,0.000000,0.222222,0.000000,0.222222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111
9,4.1136,-0.342866,0.977712,-0.626117,0.471828,0.509106,0.045582,1.052193,0.963180,-0.805688,1.862869,0.272776,-0.476535,0.872520,0.003649,0.804872,-1.503366,2.010777,1.581828,1.211859,0.322393,1.764312,0.028114,0.060412,-0.032348,-0.135514,-0.000010,-0.000000,0.036251,0.999343,0.115651,0.049115,-0.001375,0.006870,0.000602,0.165095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060502,-0.032445,-0.249602,0.013781,3.333333,3.130441,0.315936,-1.992669,0.293960,-1.566636,-2.232179,0.273351,1.384875,-0.142248,0.095785,1.379400,-0.009835,0.328149,-0.159326,0.410010,1.162939,0.167893,0.022516,0.396302,1.600931,-0.108726,-0.226170,-0.999938,0.950506,-0.409469,0.957104,0.004161,-0.614209,0.962872,0.184852,0.989900,0.995416,0.190230,0.999952,0.946641,0.987334,0.917117,0.396643,0.985939,0.999747,0.922495,-0.030130,0.994095,0.974532,0.011151,0.310706,-0.912324,0.289744,-0.999991,-0.789144,0.269960,0.982766,-0.141769,0.095638,0.981740,-0.009835,0.322291,-0.158653,0.398619,0.917973,0.167106,0.022514,0.386010,0.999546,-0.108512,-0.224247,0.694226,0.277609,-0.573985,0.333954,-0.237531,-0.034971,0.037757,0.481159,-0.829484,-0.202113,0.045730,-0.045562,0.002286,0.237531,0.034971,-0.037757,-0.030046,0.118217,0.267013,-0.955942,-0.481159,0.829484,0.202113,0.152309,0.144862,0.145087,0.096368,0.070175,0.056358,0.172782,0.147791,0.133223,0.085800,0.054192,0.152291,0.152780,0.108516,0.079146,0.059950,0.170961,0.171941,0.119236,0.083760,0.057759,0.025000,0.156434,0.987688,0.000000,-0.060807,0.032610,0.135784,0.000000,0.000000,0.000000,0.222222,0.000000,0.222222,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111
