step,cap_deg,raw_th_c_d,raw_th_c_p,raw_th_ny_d,raw_th_ny_p,raw_th_py_d,raw_th_py_p,raw_ix_c_d,raw_ix_c_p,raw_ix_ny_d,raw_ix_ny_p,raw_ix_py_d,raw_ix_py_p,raw_mi_c_d,raw_mi_c_p,raw_mi_ny_d,raw_mi_ny_p,raw_mi_py_d,raw_mi_py_p,raw_ri_c_d,raw_ri_c_p,raw_ri_ny_d,raw_ri_ny_p,raw_ri_py_d,raw_ri_py_p,filt_th_c_d,filt_th_c_p,filt_th_ny_d,filt_th_ny_p,filt_th_py_d,filt_th_py_p,filt_ix_c_d,filt_ix_c_p,filt_ix_ny_d,filt_ix_ny_p,filt_ix_py_d,filt_ix_py_p,filt_mi_c_d,filt_mi_c_p,filt_mi_ny_d,filt_mi_ny_p,filt_mi_py_d,filt_mi_py_p,filt_ri_c_d,filt_ri_c_p,filt_ri_ny_d,filt_ri_ny_p,filt_ri_py_d,filt_ri_py_p,lvl_th_c_d,lvl_th_c_p,lvl_th_ny_d,lvl_th_ny_p,lvl_th_py_d,lvl_th_py_p,lvl_ix_c_d,lvl_ix_c_p,lvl_ix_ny_d,lvl_ix_ny_p,lvl_ix_py_d,lvl_ix_py_p,lvl_mi_c_d,lvl_mi_c_p,lvl_mi_ny_d,lvl_mi_ny_p,lvl_mi_py_d,lvl_mi_py_p,lvl_ri_c_d,lvl_ri_c_p,lvl_ri_ny_d,lvl_ri_ny_p,lvl_ri_py_d,lvl_ri_py_p,tot_th,tot_ix,tot_mi,tot_ri
0,0.000,0.18728,0.05680,0.80399,0.85933,0.00000,0.67803,0.04790,0.00139,1.02512,0.03960,0.00000,0.00000,0.09465,0.28504,0.06496,0.00000,0.31363,0.00000,0.00000,0.26365,0.00000,0.00000,0.13712,0.45214,0.05618,0.01704,0.24120,0.25780,0.00000,0.20341,0.01437,0.00042,0.30754,0.01188,0.00000,0.00000,0.02840,0.08551,0.01949,0.00000,0.09409,0.00000,0.00000,0.07910,0.00000,0.00000,0.04114,0.13564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58543,1.11401,0.75828,0.85291
0,0.000,0.00000,0.44397,0.00000,22.40014,0.00000,23.21931,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.65237,3.57065,0.03933,0.14512,0.16884,6.90050,0.00000,7.10818,0.01006,0.00029,0.21528,0.00832,0.00000,0.00000,0.01988,0.05986,0.01364,0.00000,0.06586,0.00000,0.00000,0.05537,0.00000,0.00000,0.52451,1.16615,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46.06342,0.00000,0.00000,5.22302
1,0.635,0.00000,0.36418,0.00000,23.96005,0.00000,16.60566,0.00000,0.00000,0.00000,0.00660,0.15812,0.00546,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.21825,0.32278,0.02753,0.21084,0.11819,12.01837,0.00000,9.95742,0.00704,0.00020,0.15069,0.00780,0.04744,0.00164,0.01391,0.04190,0.00955,0.00000,0.04610,0.00000,0.00000,0.03876,0.00000,0.00000,0.43263,0.91313,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.92989,0.17019,0.00000,0.54103
2,0.930,0.00000,0.97481,0.00000,1.13596,0.00000,3.30068,0.00000,0.00000,0.00000,0.00160,0.25843,0.00204,0.00000,0.01620,0.00000,0.00000,0.19973,0.00071,0.00000,0.00000,0.00000,0.00000,0.08916,1.94392,0.01927,0.44003,0.08273,8.75364,0.00000,7.96040,0.00493,0.00014,0.10548,0.00594,0.11073,0.00176,0.00974,0.03419,0.00668,0.00000,0.09219,0.00021,0.00000,0.02713,0.00000,0.00000,0.32959,1.22237,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.41144,0.26207,0.21664,2.03308
3,0.979,0.00000,0.13624,0.28537,1.04331,0.00000,1.39273,0.68682,0.00000,0.51371,0.01115,0.60052,0.06493,0.00000,0.00321,0.00000,0.00000,0.02055,0.00051,0.00000,0.00000,0.00000,0.00000,0.07230,1.48354,0.01349,0.34889,0.14352,6.44055,0.00000,5.99010,0.20950,0.00010,0.22795,0.00750,0.25767,0.02071,0.00682,0.02490,0.00468,0.00000,0.07070,0.00030,0.00000,0.01899,0.00000,0.00000,0.25240,1.30072,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.85765,1.87712,0.02427,1.55584
4,0.971,0.00000,0.11222,0.64121,1.41806,0.00000,1.25393,0.61503,0.00000,0.60262,0.00722,0.00000,0.00000,1.08284,0.06027,0.00000,0.00000,0.19693,0.02707,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00944,0.27789,0.29283,4.93380,0.00000,4.56925,0.33116,0.00007,0.34035,0.00742,0.18037,0.01450,0.32963,0.03551,0.00328,0.00000,0.10857,0.00833,0.00000,0.01329,0.00000,0.00000,0.17668,0.91051,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42543,1.22487,1.36711,0.00000
5,1.012,0.00000,0.07777,1.02842,1.24226,0.00000,0.86290,0.31563,0.00000,0.49302,0.00173,0.00000,0.00000,1.37807,0.08932,0.00000,0.00000,0.29755,0.10650,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00661,0.21786,0.51351,3.82634,0.00000,3.45734,0.32650,0.00005,0.38615,0.00571,0.12626,0.01015,0.64416,0.05165,0.00229,0.00000,0.16526,0.03778,0.00000,0.00931,0.00000,0.00000,0.12368,0.63735,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21135,0.81038,1.87143,0.00000
6,1.211,0.15968,0.05513,0.60209,0.86949,0.00000,0.58669,0.08419,0.00000,1.33801,0.00558,0.00000,0.00000,0.03914,0.16036,0.00000,0.00000,0.61755,0.42025,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05253,0.16904,0.54008,2.93928,0.00000,2.59615,0.25381,0.00004,0.67171,0.00567,0.08838,0.00710,0.46265,0.08426,0.00160,0.00000,0.30095,0.15252,0.00000,0.00651,0.00000,0.00000,0.08657,0.44615,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27308,1.42779,1.23729,0.00000
7,1.483,0.48405,0.12670,0.62167,1.05521,0.00000,0.00000,0.01973,0.00000,0.81438,0.00369,0.00000,0.00000,0.01751,0.16733,0.00000,0.00000,0.49633,0.57844,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18199,0.15633,0.56456,2.37406,0.00000,1.81730,0.18358,0.00003,0.71451,0.00508,0.06187,0.00497,0.32911,0.10918,0.00112,0.00000,0.35956,0.28030,0.00000,0.00456,0.00000,0.00000,0.06060,0.31230,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28763,0.83780,1.25960,0.00000
8,1.668,0.10920,0.11050,0.24627,0.45164,0.00000,0.00000,0.04782,0.00001,1.61313,0.00973,0.00000,0.00000,0.03045,0.44349,0.00000,0.00000,1.14331,1.70212,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.16015,0.14258,0.46907,1.79733,0.00000,1.27211,0.14285,0.00002,0.98410,0.00647,0.04331,0.00348,0.23951,0.20948,0.00079,0.00000,0.59469,0.70684,0.00000,0.00319,0.00000,0.00000,0.04242,0.21861,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91760,1.67069,3.31938,0.00000
9,1.702,0.39054,0.19351,0.34317,0.66401,0.00000,0.00000,0.38328,0.00002,1.32696,0.01029,0.00000,0.00000,0.04154,0.66427,0.00000,0.00000,1.81588,2.96140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22927,0.15786,0.43130,1.45734,0.00000,0.89048,0.21498,0.00002,1.08695,0.00762,0.03031,0.00244,0.18012,0.34591,0.00055,0.00000,0.96105,1.38321,0.00000,0.00223,0.00000,0.00000,0.02969,0.15303,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.59123,1.72055,5.48310,0.00000
10,1.692,0.04959,0.02929,0.05346,0.09982,0.00000,0.00000,5.36586,0.00021,0.00000,0.08010,0.00000,0.00000,0.13106,0.48791,0.00000,0.00000,2.00411,3.11240,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.17537,0.11929,0.31795,1.05008,0.00000,0.62333,1.76025,0.00008,0.76087,0.02936,0.02122,0.00171,0.16540,0.38851,0.00039,0.00000,1.27396,1.90197,0.00000,0.00156,0.00000,0.00000,0.02079,0.10712,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.23216,5.44618,5.73548,0.00000
11,2.024,0.40168,0.18043,0.44226,0.81382,0.00000,0.00000,6.03342,0.00109,0.00000,0.13775,0.00000,0.00000,0.84730,0.14673,0.00000,0.00000,1.06955,1.47680,1.89304,0.49930,0.00000,0.00000,0.02963,1.96174,0.24326,0.13763,0.35524,0.97920,0.00000,0.43633,3.04220,0.00038,0.53261,0.06188,0.01485,0.00119,0.36997,0.31598,0.00027,0.00000,1.21264,1.77442,0.56791,0.15088,0.00000,0.00000,0.02344,0.66351,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.83820,6.17226,3.54038,4.38371
12,3.788,0.56949,0.21931,1.21561,2.13536,0.00000,0.00000,0.00000,0.07747,0.00000,4.19973,0.00000,0.00000,0.50872,0.14246,0.00000,0.00000,1.43611,1.89744,3.29127,1.07096,0.00000,0.00000,0.04066,2.15422,0.34113,0.16213,0.61335,1.32605,0.00000,0.30543,2.12954,0.02351,0.37283,1.30323,0.01040,0.00084,0.41160,0.26392,0.00019,0.00000,1.27968,1.81132,1.38492,0.42691,0.00000,0.00000,0.02861,1.11072,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,4.13976,4.27720,3.98472,6.55710
13,5.126,0.22049,0.08995,1.24322,1.32336,0.00000,0.75381,0.00000,0.17470,0.00000,4.62735,0.00000,0.00000,0.00000,0.03251,0.00000,0.00000,1.72220,0.63381,0.00000,2.81699,0.00000,0.00000,0.08220,2.70960,0.30494,0.14048,0.80231,1.32524,0.00000,0.43995,1.49068,0.06887,0.26098,2.30047,0.00728,0.00059,0.28812,0.19450,0.00013,0.00000,1.41244,1.45807,0.96944,1.14393,0.00000,0.00000,0.04468,1.59038,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,1,3.63084,4.80205,2.38852,5.60879
14,6.561,0.00000,0.07762,1.61370,1.71631,0.00000,1.30927,0.00000,0.38264,0.00000,4.61373,0.00000,0.00000,0.00000,0.02377,0.00000,0.00000,1.43632,0.57077,0.00000,3.69432,0.00000,0.00000,2.26208,2.20073,0.21346,0.12162,1.04573,1.44256,0.00000,0.70074,1.04347,0.16300,0.18268,2.99445,0.00509,0.00041,0.20168,0.14328,0.00009,0.00000,1.41960,1.19188,0.67861,1.90905,0.00000,0.00000,0.70990,1.77349,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,1,4.71689,4.99637,2.03087,8.15713
15,8.143,0.00000,0.06870,1.59954,2.03497,0.00000,1.80508,0.00000,0.41042,0.00000,3.61372,0.00000,0.00000,0.00000,0.00994,0.00000,0.52839,0.70903,0.29445,0.00000,5.88821,0.00000,0.00000,1.64543,1.97654,0.14942,0.10574,1.21187,1.62028,0.00000,1.03205,0.73043,0.23722,0.12788,3.18023,0.00357,0.00029,0.14118,0.10328,0.00006,0.15852,1.20643,0.92265,0.47503,3.10280,0.00000,0.00000,0.99056,1.83440,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,1,5.50830,4.02414,1.54181,9.51018
16,9.582,0.00000,0.02892,0.83397,1.01311,0.00000,0.94959,0.00000,0.26615,0.00000,3.39108,0.00000,0.00000,0.00000,0.34252,0.00000,0.00000,0.00000,6.34008,0.00000,4.04694,0.00000,0.00000,0.00000,2.24575,0.10459,0.08270,1.09850,1.43813,0.00000,1.00731,0.51130,0.24590,0.08952,3.24348,0.00250,0.00020,0.09882,0.17505,0.00005,0.11096,0.84450,2.54788,0.33252,3.38604,0.00000,0.00000,0.69339,1.95781,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,1,2.82559,3.65722,6.68259,6.29269
17,10.285,0.00000,0.02844,0.65902,0.94109,0.00000,0.87826,0.00000,0.00771,0.00000,0.09699,0.00000,0.00000,0.00000,0.35809,0.00000,0.00000,0.00000,4.88074,0.00000,2.08029,0.00000,0.00000,0.69982,0.84764,0.07322,0.06642,0.96666,1.28902,0.00000,0.96859,0.35791,0.17444,0.06266,2.29954,0.00175,0.00014,0.06918,0.22996,0.00003,0.07767,0.59115,3.24774,0.23276,2.99431,0.00000,0.00000,0.69532,1.62476,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,1,2.50680,0.10470,5.23883,3.62774
18,10.576,0.00000,0.02699,1.27084,1.63621,0.00000,1.78590,0.00000,0.00412,0.00000,0.04499,0.00000,0.00000,0.00000,0.31250,0.00000,0.00000,1.81660,1.71220,0.00000,0.78438,0.00000,0.00000,0.98859,1.25431,0.05125,0.05459,1.05791,1.39318,0.00000,1.21379,0.25054,0.12335,0.04386,1.62317,0.00122,0.00010,0.04842,0.25472,0.00002,0.05437,0.95878,2.78707,0.16293,2.33134,0.00000,0.00000,0.78330,1.51362,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,1,4.71994,0.04911,3.84129,3.02728
19,10.843,0.11367,0.02018,0.99932,0.87735,0.00000,0.91744,0.00000,0.00131,0.00000,0.03479,0.00000,0.00000,0.00000,0.60751,0.00000,0.00000,1.80393,1.80680,0.00000,0.05991,0.00000,0.00000,0.19541,0.21490,0.06998,0.04427,1.04033,1.23843,0.00000,1.12488,0.17538,0.08674,0.03070,1.14666,0.00086,0.00007,0.03390,0.36056,0.00002,0.03806,1.21233,2.49299,0.11405,1.64991,0.00000,0.00000,0.60693,1.12401,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,1,2.92797,0.03610,4.21824,0.47022
20,10.851,0.08717,0.01818,0.52556,0.61458,0.00000,0.59695,1.51523,0.02179,0.00000,1.18880,0.00000,0.00000,0.37969,0.63771,0.00000,0.00000,0.61854,1.23583,0.00000,0.02138,0.00000,0.00000,0.00929,0.12885,0.07514,0.03644,0.88590,1.05127,0.00000,0.96650,0.57733,0.06725,0.02149,1.15930,0.00060,0.00005,0.13764,0.44370,0.00001,0.02664,1.03419,2.11584,0.07984,1.16135,0.00000,0.00000,0.42764,0.82546,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1.84244,2.72582,2.87177,0.15953
21,11.027,0.00209,0.02119,0.67727,0.82069,0.83508,0.95635,0.04663,0.01351,0.00000,0.69914,0.00000,1.74381,0.06517,0.14737,0.00000,0.00000,0.11595,0.16383,0.12651,0.02467,0.00000,0.00000,0.00587,0.14217,0.05322,0.03187,0.82331,0.98210,0.25052,0.96346,0.41812,0.05113,0.01504,1.02125,0.00042,0.52318,0.11589,0.35481,0.00001,0.01865,0.75872,1.53024,0.09384,0.82035,0.00000,0.00000,0.30111,0.62047,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.31267,2.50311,0.49232,0.29922
