step,cap_deg,raw_th_c_d,raw_th_c_p,raw_th_ny_d,raw_th_ny_p,raw_th_py_d,raw_th_py_p,raw_ix_c_d,raw_ix_c_p,raw_ix_ny_d,raw_ix_ny_p,raw_ix_py_d,raw_ix_py_p,raw_mi_c_d,raw_mi_c_p,raw_mi_ny_d,raw_mi_ny_p,raw_mi_py_d,raw_mi_py_p,raw_ri_c_d,raw_ri_c_p,raw_ri_ny_d,raw_ri_ny_p,raw_ri_py_d,raw_ri_py_p,filt_th_c_d,filt_th_c_p,filt_th_ny_d,filt_th_ny_p,filt_th_py_d,filt_th_py_p,filt_ix_c_d,filt_ix_c_p,filt_ix_ny_d,filt_ix_ny_p,filt_ix_py_d,filt_ix_py_p,filt_mi_c_d,filt_mi_c_p,filt_mi_ny_d,filt_mi_ny_p,filt_mi_py_d,filt_mi_py_p,filt_ri_c_d,filt_ri_c_p,filt_ri_ny_d,filt_ri_ny_p,filt_ri_py_d,filt_ri_py_p,lvl_th_c_d,lvl_th_c_p,lvl_th_ny_d,lvl_th_ny_p,lvl_th_py_d,lvl_th_py_p,lvl_ix_c_d,lvl_ix_c_p,lvl_ix_ny_d,lvl_ix_ny_p,lvl_ix_py_d,lvl_ix_py_p,lvl_mi_c_d,lvl_mi_c_p,lvl_mi_ny_d,lvl_mi_ny_p,lvl_mi_py_d,lvl_mi_py_p,lvl_ri_c_d,lvl_ri_c_p,lvl_ri_ny_d,lvl_ri_ny_p,lvl_ri_py_d,lvl_ri_py_p,tot_th,tot_ix,tot_mi,tot_ri
9,4.741,0.01189,0.14014,0.54694,0.38123,0.00000,0.40314,0.15801,0.00000,2.11341,0.00016,0.00000,0.00000,0.08883,0.01925,0.00000,0.00000,1.78021,0.14303,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11768,0.14125,0.34578,4.64017,0.00001,2.52871,0.87799,0.06173,0.81837,0.77268,0.00000,0.00000,0.02665,0.37967,0.00000,0.00000,1.72291,1.67654,0.00817,0.05197,0.00000,0.00000,0.04575,1.97374,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1.48335,2.27159,2.03131,0.00000
10,5.264,0.00262,0.07471,0.53879,0.56284,0.43945,0.35279,0.21280,0.00000,1.05118,0.00089,0.00000,0.00000,0.00057,0.00045,0.61576,0.00000,0.08607,0.00741,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08317,0.12129,0.40368,3.41697,0.13184,1.87593,0.67843,0.04321,0.88822,0.54114,0.00000,0.00000,0.01883,0.26590,0.18473,0.00000,1.23186,1.17580,0.00572,0.03638,0.00000,0.00000,0.03202,1.38162,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1.97121,1.26487,0.71026,0.00000
11,5.437,0.00307,0.09420,0.47442,0.62343,0.61875,0.24030,0.62108,0.00001,2.98912,0.00331,0.00000,0.00000,0.00026,0.00011,1.28505,0.00000,0.13062,0.00661,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05914,0.11316,0.42490,2.57891,0.27791,1.38524,0.66123,0.03025,1.51849,0.37979,0.00000,0.00000,0.01326,0.18617,0.51483,0.00000,0.90149,0.82505,0.00400,0.02547,0.00000,0.00000,0.02242,0.96713,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05416,3.61352,1.42266,0.00000
12,5.599,0.00183,0.06824,0.25353,0.41874,0.42644,0.12068,1.10846,0.00001,3.14985,0.00267,0.00000,0.00000,0.00049,0.00007,3.24987,0.00000,0.45410,0.01079,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04195,0.09969,0.37349,1.93086,0.32247,1.00588,0.79540,0.02118,2.00790,0.26666,0.00000,0.00000,0.00943,0.13034,1.33534,0.00000,0.76727,0.58077,0.00280,0.01783,0.00000,0.00000,0.01569,0.67699,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.28947,4.26100,3.71533,0.00000
13,5.526,0.00127,0.04889,0.13152,0.21933,0.06012,0.04084,3.15742,0.00008,2.36411,0.00146,0.00000,0.00000,0.00026,0.00000,3.93737,0.78260,0.54795,0.00243,4.23322,1.05190,0.00000,0.00000,0.04583,3.34551,0.02974,0.08445,0.30090,1.41740,0.24377,0.71637,1.50401,0.01485,2.11476,0.18710,0.00000,0.00000,0.00668,0.09124,2.11595,0.23478,0.70148,0.40727,1.27193,0.32805,0.00000,0.00000,0.02473,1.47755,0,0,0,1,0,0,1,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0.50198,5.52308,5.27061,8.67647
14,5.581,0.01390,0.38521,1.13154,1.75714,0.63903,0.32693,1.52712,0.00034,6.47847,0.00045,0.00000,0.00000,0.00376,0.00000,3.87353,0.34965,2.25264,0.01104,0.00000,4.53016,0.00000,0.00000,0.12940,5.41314,0.02499,0.17468,0.55009,1.51932,0.36235,0.59953,1.51094,0.01050,3.42387,0.13110,0.00000,0.00000,0.00580,0.06387,2.64322,0.26924,1.16683,0.28840,0.89035,1.58868,0.00000,0.00000,0.05613,2.65823,0,0,0,1,0,0,1,0,2,0,0,0,0,0,2,0,1,0,0,1,0,0,0,2,4.25374,8.00638,6.49062,10.07269
15,6.392,0.67935,0.34116,1.71137,2.43673,0.00000,0.85927,4.75194,0.00225,0.00000,0.00114,0.00000,0.00000,1.14672,0.00001,0.00000,0.21581,2.74416,0.08791,0.00000,7.16065,0.00000,0.00000,0.00000,2.61524,0.22130,0.22462,0.89847,1.79454,0.25364,0.67745,2.48324,0.00802,2.39671,0.09211,0.00000,0.00000,0.34808,0.04471,1.85026,0.25321,1.64003,0.22825,0.62325,3.26027,0.00000,0.00000,0.03929,2.64533,0,0,0,1,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,6.02788,4.75533,4.19460,9.77589
16,7.141,0.45579,0.18989,4.09368,4.07493,0.00000,3.39195,0.01127,0.00081,0.00000,0.00023,0.00000,0.00000,0.00000,0.00029,0.00000,0.50894,1.31432,1.38782,0.00000,9.23972,0.00000,0.00000,0.00000,1.23014,0.29165,0.21420,1.85704,2.47866,0.17755,1.49180,1.74165,0.00586,1.67770,0.06455,0.00000,0.00000,0.24365,0.03138,1.29518,0.32993,1.54231,0.57612,0.43627,5.05411,0.00000,0.00000,0.02750,2.22077,0,0,1,2,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,4,0,0,0,2,12.20625,0.01231,3.21137,10.46985
17,9.262,0.70306,0.23982,1.51967,2.37097,0.00000,2.10457,0.00000,0.72512,0.00000,0.13537,0.00000,0.00000,0.00000,0.00117,0.00000,9.86067,0.00000,7.04251,0.00000,0.00000,0.00000,0.00000,0.00000,33.04588,0.41507,0.22189,1.75583,2.44635,0.12428,1.67563,1.21915,0.22164,1.17439,0.08580,0.00000,0.00000,0.17056,0.02232,0.90663,3.18915,1.07962,2.51604,0.30539,3.53787,0.00000,0.00000,0.01925,11.46831,0,0,1,2,0,1,1,0,1,0,0,0,0,0,0,2,1,2,0,3,0,0,0,7,6.93808,0.86049,16.90435,33.04588
18,9.000,0.27761,0.06551,0.55926,0.48871,0.00000,0.55723,0.00000,0.66801,0.00000,0.13875,0.00000,0.00000,0.00000,0.00280,0.00000,8.47357,0.00000,6.44735,0.00000,0.00000,0.00000,0.00000,0.00000,42.27604,0.37383,0.17498,1.39686,1.85906,0.08700,1.34011,0.85341,0.35555,0.82207,0.10168,0.00000,0.00000,0.11939,0.01646,0.63464,4.77448,0.75573,3.69543,0.21377,2.47651,0.00000,0.00000,0.01348,20.71063,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,2,0,0,0,8,1.94831,0.80676,14.92371,42.27604
