step,cap_deg,priv_0,priv_1,priv_2,priv_3,priv_4,priv_5,priv_6,priv_7,priv_8,priv_9,priv_10,priv_11,priv_12,priv_13,priv_14,priv_15,priv_16,priv_17,priv_18,priv_19,priv_20,priv_21,priv_22,priv_23,priv_24,priv_25,priv_26,priv_27,priv_28,priv_29,priv_30,priv_31,priv_32,priv_33,priv_34,priv_35,priv_36,priv_37,priv_38,priv_39,priv_40,priv_41,priv_42,priv_43,priv_44,priv_45,priv_46,priv_47,priv_48,priv_49,priv_50,priv_51,priv_52,priv_53,priv_54,priv_55,priv_56,priv_57,priv_58,priv_59,prop_0,prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7,prop_8,prop_9,prop_10,prop_11,prop_12,prop_13,prop_14,prop_15,prop_16,prop_17,prop_18,prop_19,prop_20,prop_21,prop_22,prop_23,prop_24,prop_25,prop_26,prop_27,prop_28,prop_29,prop_30,prop_31,prop_32,prop_33,prop_34,prop_35,prop_36,prop_37,prop_38,prop_39,prop_40,prop_41,prop_42,prop_43,prop_44,prop_45,prop_46,prop_47,prop_48,prop_49,prop_50,prop_51,prop_52,prop_53,prop_54,prop_55,prop_56,prop_57,prop_58,prop_59,prop_60,prop_61,prop_62,prop_63,prop_64,prop_65,prop_66,prop_67,prop_68,prop_69,prop_70,prop_71,prop_72,prop_73,prop_74,prop_75,targ_0,targ_1,targ_2,targ_3,targ_4,targ_5,targ_6,targ_7,targ_8,targ_9,targ_10,targ_11,targ_12,targ_13,targ_14,targ_15,targ_16,targ_17,targ_18,targ_19,targ_20,targ_21,targ_22,targ_23,targ_24,targ_25,targ_26,targ_27,targ_28,targ_29,targ_30,targ_31,targ_32,targ_33,targ_34,targ_35,targ_36,targ_37,targ_38,targ_39,targ_40,targ_41,targ_42,targ_43,targ_44,targ_45,targ_46,targ_47,targ_48,targ_49,targ_50,targ_51,targ_52,targ_53,targ_54,targ_55,targ_56,targ_57,targ_58,targ_59,targ_60,targ_61,targ_62,targ_63,targ_64
0,0.0000,-0.218830,-0.239470,0.258781,-0.297355,0.358664,-0.146911,-0.178317,-0.116924,1.001722,-0.171857,0.012315,-0.104314,1.155118,0.049315,0.310447,0.020735,-0.088052,-0.120252,-2.196537,-0.611137,2.747981,-0.042761,0.045231,-0.044924,-0.129870,-0.000018,-0.000000,0.000021,1.000000,-0.141714,0.086847,-0.007517,-0.007911,-0.000121,0.002581,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045200,-0.044979,-0.237262,2.940000,3.333333,3.187021,0.222067,-1.942764,0.211986,-1.618522,-2.231418,0.089781,1.232704,-0.034684,-0.172750,1.267764,0.004503,0.416138,-0.161341,0.205026,1.258846,0.036626,-0.146632,0.371536,1.606853,-0.045764,-0.227079,-0.998968,0.975444,-0.363450,0.977615,-0.047707,-0.613608,0.995972,0.331688,0.999399,0.985116,0.298416,0.999990,0.914657,0.987013,0.979056,0.306916,0.999329,0.989269,0.931771,-0.036049,0.998953,0.974328,-0.045413,0.220246,-0.931614,0.210402,-0.998861,-0.789611,0.089661,0.943389,-0.034677,-0.171892,0.954436,0.004503,0.404231,-0.160641,0.203593,0.951737,0.036617,-0.146107,0.363047,0.999350,-0.045748,-0.225132,-0.640531,-0.299928,0.614821,-0.348939,0.056531,-0.011788,-0.017736,0.354076,0.287807,-0.343028,0.030780,-0.057378,0.017244,-0.056531,0.011788,0.017736,-0.009389,-0.064604,-0.240764,0.968386,-0.354076,-0.287807,0.343028,0.144676,0.135153,0.134680,0.086601,0.060128,0.058318,0.165836,0.143265,0.129598,0.082525,0.052786,0.144631,0.144530,0.097069,0.068396,0.058782,0.165668,0.166192,0.114784,0.080546,0.055548,0.000000,0.000000,1.000000,0.000000,-0.045857,0.044425,0.129826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111
1,0.0024,-0.526034,-0.213669,0.548193,-0.474458,0.278396,-0.190967,-0.565659,1.691152,0.798524,-0.475968,1.005597,-0.409883,-0.553441,0.003998,1.041069,0.470494,0.025585,-0.126215,-1.618146,0.136532,4.380249,0.045229,0.044955,-0.042978,-0.130923,0.000011,0.000000,0.007715,0.999970,0.537037,0.425686,0.009869,0.030740,0.000791,1.452624,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044923,-0.043026,-0.238314,2.940000,3.333333,3.179579,0.218251,-1.935384,0.204436,-1.613001,-2.234463,0.080602,1.241955,-0.029370,-0.181973,1.277748,-0.000321,0.407432,-0.161511,0.213836,1.268623,0.035405,-0.148868,0.358011,1.608490,-0.056307,-0.227051,-0.999279,0.976278,-0.356564,0.979176,-0.042192,-0.616010,0.996753,0.322947,0.999569,0.983489,0.288872,1.000000,0.918141,0.986986,0.977224,0.297596,0.999373,0.988940,0.936596,-0.037685,0.998415,0.974335,-0.037977,0.216522,-0.934271,0.203015,-0.999110,-0.787739,0.080515,0.946417,-0.029366,-0.180970,0.957368,-0.000321,0.396253,-0.160809,0.212210,0.954692,0.035398,-0.148319,0.350412,0.999290,-0.056277,-0.225105,-0.641750,-0.299084,0.617059,-0.343430,0.094293,-0.130297,0.117054,0.284014,0.142500,-0.700612,0.029507,-0.055801,0.016226,-0.094293,0.130297,-0.117054,-0.007532,-0.061912,-0.245832,0.967304,-0.284014,-0.142500,0.700612,0.144720,0.135527,0.135174,0.087015,0.060188,0.058120,0.165806,0.142951,0.129198,0.082147,0.052605,0.144679,0.144680,0.096907,0.067816,0.057752,0.165422,0.166026,0.114752,0.080791,0.056570,0.002778,0.017452,0.999848,0.000000,-0.044584,0.042849,0.130844,0.000000,0.000000,0.000000,0.222222,0.000000,0.222222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111
2,0.8841,-0.662536,-0.305026,0.920086,-0.602384,0.225917,0.342049,-0.016726,0.357841,1.801202,-0.558467,2.556604,0.042411,0.565445,0.057867,-0.176879,1.656796,-1.169556,0.171799,-3.120564,0.064730,1.685869,0.076760,0.043355,-0.040099,-0.133520,0.000044,0.000001,0.000865,1.000000,-0.015708,-0.029797,0.003558,-0.000997,-0.000048,-0.106072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043323,-0.040140,-0.240911,2.940000,3.333333,3.169688,0.213433,-1.923840,0.196204,-1.609807,-2.231660,0.065950,1.257205,-0.017024,-0.192806,1.299019,-0.002483,0.390602,-0.161587,0.215386,1.287086,0.027219,-0.147047,0.334161,1.610905,-0.035434,-0.224173,-0.999605,0.977309,-0.345755,0.980814,-0.039001,-0.613799,0.997826,0.308477,0.999855,0.981471,0.268444,0.999997,0.924680,0.986973,0.976894,0.279920,0.999630,0.989208,0.944686,-0.040098,0.999372,0.974978,-0.028092,0.211816,-0.938325,0.194948,-0.999239,-0.789463,0.065902,0.951232,-0.017023,-0.191613,0.963295,-0.002482,0.380745,-0.160885,0.213725,0.960023,0.027216,-0.146518,0.327977,0.999196,-0.035427,-0.222300,-0.642759,-0.298077,0.618348,-0.340084,0.214690,-0.217014,0.250793,0.208007,0.006471,-0.308968,0.026737,-0.052677,0.013509,-0.214690,0.217014,-0.250793,-0.006519,-0.060689,-0.249259,0.966511,-0.208007,-0.006471,0.308968,0.145481,0.137527,0.137351,0.089011,0.061273,0.057688,0.166850,0.143434,0.129521,0.082535,0.053038,0.145446,0.145572,0.097141,0.067267,0.055946,0.165086,0.165768,0.114441,0.080289,0.055424,0.005556,0.034899,0.999391,0.000000,-0.041814,0.039724,0.133561,0.000000,0.000000,0.000000,0.555556,0.000000,0.555556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222
3,0.0992,-0.842519,-0.534444,0.703587,-0.455384,0.203906,0.498617,-1.585997,2.661462,-1.093238,-0.426345,2.908818,0.168893,-0.231275,-0.074965,-2.133816,0.091732,1.904529,0.485642,-3.211147,0.537647,3.499975,0.430287,0.039760,-0.036052,-0.135193,0.000049,0.000000,-0.008599,0.999963,-0.029872,0.091491,-0.002272,-0.001661,-0.000045,-0.742640,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039729,-0.036092,-0.242584,2.940000,3.333333,3.156084,0.206112,-1.912488,0.187633,-1.605690,-2.222448,0.054695,1.272435,-0.010340,-0.201026,1.328683,-0.000249,0.359629,-0.161032,0.201865,1.308987,0.003762,-0.138506,0.295646,1.612098,-0.028884,-0.215863,-0.999895,0.978834,-0.335082,0.982449,-0.034886,-0.606501,0.998505,0.293954,0.999947,0.979862,0.239755,1.000000,0.936027,0.987062,0.979694,0.258829,0.999993,0.990423,0.956614,-0.041290,0.999583,0.976792,-0.014491,0.204655,-0.942189,0.186534,-0.999391,-0.795083,0.054668,0.955820,-0.010339,-0.199675,0.970833,-0.000249,0.351927,-0.160337,0.200496,0.965923,0.003762,-0.138063,0.291358,0.999147,-0.028880,-0.214190,-0.642443,-0.298655,0.620126,-0.336921,0.255463,-0.299064,0.081384,0.172637,0.307212,-0.333984,0.022946,-0.047948,0.011849,-0.255463,0.299064,-0.081384,-0.005569,-0.057843,-0.251371,0.966145,-0.172637,-0.307212,0.333984,0.144759,0.138353,0.138442,0.090193,0.062270,0.058292,0.166427,0.142426,0.128365,0.081835,0.053981,0.144732,0.145061,0.096201,0.066380,0.055191,0.163080,0.163905,0.112794,0.078989,0.054957,0.008333,0.052336,0.998630,0.000000,-0.038023,0.034995,0.135221,0.000000,0.000000,0.000000,0.444444,0.000000,0.555556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222
4,-0.9853,-0.972697,-0.526197,0.760594,-0.178943,0.046453,0.554270,-1.907111,2.451512,-1.085577,-0.323427,3.048882,0.836585,-0.301879,0.049127,-2.105494,0.504872,-0.374544,0.805214,-3.775128,0.329600,2.911136,0.887875,0.034337,-0.030276,-0.137091,0.000031,0.000000,-0.010402,0.999946,-0.036393,-0.007031,0.001024,-0.001846,0.000005,-0.560889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034306,-0.030321,-0.244482,2.940000,3.333333,3.141268,0.197880,-1.900012,0.181675,-1.600178,-2.210155,0.030536,1.286831,-0.030102,-0.207284,1.369156,0.012062,0.334649,-0.160548,0.179388,1.321498,-0.029238,-0.121868,0.255083,1.611185,-0.057519,-0.199311,-1.000000,0.980486,-0.323301,0.983542,-0.029378,-0.596681,0.999534,0.280164,0.999547,0.978593,0.200277,0.999927,0.944526,0.987140,0.983953,0.246724,0.999573,0.992583,0.967642,-0.040378,0.998346,0.980203,0.000324,0.196591,-0.946296,0.180677,-0.999568,-0.802479,0.030531,0.959952,-0.030097,-0.205803,0.979739,0.012061,0.328437,-0.159859,0.178427,0.969086,-0.029234,-0.121567,0.252325,0.999184,-0.057487,-0.197994,0.642932,0.299796,-0.620467,0.334337,0.311140,-0.381149,0.138001,0.017011,-0.039834,-0.416871,0.018125,-0.042728,0.009978,-0.311140,0.381149,-0.138001,0.003556,0.056190,0.252598,-0.965932,-0.017011,0.039834,0.416871,0.144163,0.139734,0.140012,0.091746,0.064244,0.060555,0.166503,0.142033,0.127843,0.081616,0.054797,0.144141,0.144592,0.095452,0.066182,0.055560,0.160811,0.161697,0.110674,0.077295,0.054616,0.011111,0.069756,0.997564,0.000000,-0.033202,0.029775,0.137092,0.000000,0.000000,0.000000,0.444444,0.000000,0.555556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.222222
5,-1.1459,-1.044032,-0.659357,0.766988,-0.046635,0.274650,0.604542,-1.934263,2.577254,-1.308838,-0.245428,3.464694,1.190432,-0.087186,0.055312,-2.154462,0.463866,0.460043,1.148345,-3.874521,-0.198433,4.221410,1.268818,0.028517,-0.024667,-0.138039,0.000014,0.000000,-0.010267,0.999947,-0.069335,0.018475,-0.001011,-0.003786,0.000050,-0.522052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028486,-0.024715,-0.245430,2.940000,3.333333,3.124746,0.188415,-1.887813,0.176207,-1.590277,-2.195940,0.006244,1.300879,-0.048581,-0.212026,1.396307,0.035074,0.324080,-0.159961,0.155722,1.332916,-0.066038,-0.098057,0.211204,1.602375,-0.077508,-0.175687,-0.999858,0.982302,-0.311733,0.984516,-0.019479,-0.585213,0.999981,0.266652,0.998820,0.977607,0.173605,0.999385,0.947944,0.987233,0.987900,0.235643,0.997820,0.995196,0.977779,-0.031574,0.996998,0.984607,0.016846,0.187302,-0.950170,0.175297,-0.999810,-0.810879,0.006243,0.963793,-0.048562,-0.210441,0.984815,0.035067,0.318437,-0.159280,0.155094,0.971840,-0.065990,-0.097900,0.209637,0.999501,-0.077430,-0.174785,0.643811,0.302561,-0.620351,0.330347,0.363121,-0.384861,0.079334,0.244600,-0.054641,-0.426934,0.012873,-0.037317,0.009036,-0.363121,0.384861,-0.079334,-0.000466,0.053572,0.253739,-0.965788,-0.244600,0.054641,0.426934,0.142928,0.140441,0.140840,0.092509,0.065375,0.062067,0.166069,0.141358,0.127145,0.081171,0.055223,0.142908,0.143419,0.094003,0.065483,0.055593,0.157954,0.158850,0.108078,0.075407,0.054443,0.013889,0.087156,0.996195,0.000000,-0.027950,0.024365,0.138034,0.000000,0.000000,0.000000,0.333333,0.000000,0.555556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222,0.222222
6,-1.1304,-1.091808,-0.561991,0.810701,-0.250545,0.485792,0.700438,-2.161800,2.802911,-1.742180,-0.186513,-0.014721,1.483815,0.551293,-0.081926,-2.702263,-0.031548,0.627989,1.341425,-3.477970,-0.769380,3.080791,1.367031,0.023309,-0.019531,-0.138871,0.000005,-0.000000,-0.009676,0.999953,-0.134297,0.006593,-0.002683,-0.007358,0.000044,-0.022384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023278,-0.019581,-0.246262,2.940000,3.333333,3.107726,0.179688,-1.875571,0.168298,-1.577509,-2.179285,-0.015627,1.318188,-0.073789,-0.215626,1.396523,0.065628,0.321181,-0.159612,0.134201,1.343246,-0.100316,-0.071289,0.172649,1.587605,-0.090988,-0.150160,-0.999427,0.983900,-0.300079,0.985871,-0.006712,-0.571628,0.999878,0.249931,0.997279,0.976843,0.173393,0.997847,0.948863,0.987289,0.991009,0.225591,0.994973,0.997460,0.985133,-0.016808,0.995863,0.988747,0.033860,0.178722,-0.953914,0.167504,-0.999977,-0.820513,-0.015627,0.968264,-0.073722,-0.213959,0.984853,0.065581,0.315688,-0.158935,0.133798,0.974222,-0.100148,-0.071228,0.171793,0.999859,-0.090863,-0.149596,0.644432,0.307086,-0.619860,0.325851,0.325071,-0.383734,0.103712,0.454196,-0.008242,-0.370401,0.007996,-0.031902,0.008211,-0.325071,0.383734,-0.103712,-0.005773,0.049954,0.253964,-0.965905,-0.454196,0.008242,0.370401,0.142033,0.141287,0.141788,0.093279,0.066513,0.063541,0.165870,0.140971,0.126822,0.081240,0.056244,0.142015,0.142577,0.092928,0.065150,0.055685,0.155560,0.156461,0.105939,0.073987,0.054567,0.016667,0.104528,0.994522,0.000000,-0.023073,0.018949,0.138859,0.000000,0.000000,0.000000,0.222222,0.000000,0.444444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.111111,0.111111
7,-1.0627,-1.057953,-0.263029,0.601817,-0.316797,0.445893,0.809659,-2.419244,3.181918,-1.875113,-0.142160,-0.048281,1.656854,0.559130,-0.105375,-2.870631,-0.385975,1.710956,1.268094,-3.337936,-0.695929,3.244986,1.284176,0.019936,-0.013614,-0.139802,0.000008,-0.000000,-0.007749,0.999970,0.014905,0.021712,-0.000792,0.000849,-0.000009,0.243132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019905,-0.013663,-0.247193,2.940000,3.333333,3.089923,0.174316,-1.865522,0.158697,-1.564300,-2.161868,-0.019941,1.341431,-0.094570,-0.218361,1.396011,0.098573,0.321954,-0.159712,0.129663,1.357555,-0.121965,-0.046414,0.137103,1.572683,-0.077837,-0.125938,-0.998665,0.984845,-0.290478,0.987434,0.006497,-0.557251,0.999801,0.227360,0.995532,0.976254,0.173897,0.995146,0.948619,0.987273,0.991606,0.211629,0.992571,0.998923,0.990616,-0.001887,0.996972,0.992080,0.051647,0.173434,-0.956882,0.158032,-0.999979,-0.830344,-0.019940,0.973811,-0.094430,-0.216630,0.984764,0.098413,0.316420,-0.159034,0.129300,0.977350,-0.121663,-0.046397,0.136674,0.999998,-0.077759,-0.125605,0.645104,0.311770,-0.619289,0.321125,0.209690,-0.385548,0.120063,0.413264,-0.050029,-0.231634,0.004544,-0.026162,0.007280,-0.209690,0.385548,-0.120063,-0.011347,0.046224,0.254222,-0.965974,-0.413264,0.050029,0.231634,0.141777,0.142448,0.143158,0.094615,0.068216,0.065327,0.165846,0.140507,0.126347,0.080837,0.056047,0.141766,0.142497,0.092692,0.065344,0.055625,0.153997,0.155018,0.104832,0.073424,0.054828,0.019444,0.121869,0.992546,0.000000,-0.019621,0.013209,0.139790,0.000000,0.000000,0.000000,0.111111,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222,0.000000,0.000000,0.111111,0.111111
8,-0.8419,-0.874931,0.121625,0.318074,-0.613475,0.680682,0.985023,0.078368,1.053881,1.068237,-0.105224,0.533688,1.536255,-1.164884,0.031839,-0.167459,1.275236,-0.290759,1.303955,-2.988623,-0.570021,3.503784,0.975944,0.018838,-0.008806,-0.140595,0.000007,-0.000000,-0.007239,0.999974,-0.011559,0.042351,-0.000374,-0.000607,-0.000000,-0.044780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018807,-0.008855,-0.247986,2.940000,3.333333,3.074056,0.174509,-1.860008,0.147289,-1.550251,-2.143546,-0.031652,1.367920,-0.105438,-0.220431,1.396610,0.130353,0.310942,-0.160100,0.115734,1.372617,-0.132048,-0.022274,0.125950,1.556305,-0.055153,-0.106257,-0.997720,0.984812,-0.285197,0.989173,0.020544,-0.541945,0.999499,0.201487,0.994447,0.975803,0.173306,0.991516,0.952046,0.987211,0.993310,0.196885,0.991294,0.999752,0.992079,0.014491,0.998479,0.994360,0.067485,0.173624,-0.958469,0.146757,-0.999789,-0.840414,-0.031647,0.979491,-0.105242,-0.218651,0.984868,0.129984,0.305956,-0.159417,0.115476,0.980427,-0.131665,-0.022272,0.125617,0.999895,-0.055125,-0.106057,0.645388,0.317696,-0.618164,0.316886,0.032740,-0.278725,0.100482,0.657353,0.108441,0.131753,0.003513,-0.021329,0.006483,-0.032740,0.278725,-0.100482,-0.017437,0.042221,0.253138,-0.966351,-0.657353,-0.108441,-0.131753,0.142057,0.143329,0.144286,0.095418,0.068700,0.065225,0.165827,0.139920,0.125657,0.080171,0.055712,0.142056,0.143019,0.093174,0.066027,0.055521,0.153655,0.154873,0.104894,0.073631,0.054998,0.022222,0.139173,0.990268,0.000000,-0.018590,0.008376,0.140586,0.000000,0.000000,0.000000,0.111111,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222,0.000000,0.000000,0.111111,0.000000
9,-0.7835,-0.889608,0.396555,0.264543,-0.699080,0.727664,0.941109,0.267995,1.659356,1.812131,-0.078808,0.080412,1.668078,-0.039914,0.019512,-0.147006,1.598689,0.884926,1.344798,0.113188,-0.610398,0.088397,0.641787,0.020089,-0.004422,-0.142061,0.000018,0.000000,-0.007042,0.999975,-0.124010,0.113362,-0.001453,-0.007143,-0.000012,0.103881,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020058,-0.004469,-0.249452,2.940000,3.333333,3.058710,0.179578,-1.856624,0.134058,-1.535167,-2.126025,-0.028055,1.392468,-0.104225,-0.221993,1.393054,0.161330,0.291712,-0.160252,0.115791,1.395547,-0.141050,0.002475,0.135321,1.541412,-0.026217,-0.093017,-0.996567,0.983919,-0.281952,0.991028,0.035622,-0.527138,0.999606,0.177384,0.994573,0.975461,0.176808,0.987014,0.957753,0.987187,0.993304,0.174353,0.990069,0.999997,0.990858,0.029380,0.999656,0.995677,0.082788,0.178614,-0.959429,0.133657,-0.999365,-0.849780,-0.028051,0.984142,-0.104037,-0.220175,0.984245,0.160631,0.287593,-0.159567,0.115532,0.984683,-0.140583,0.002475,0.134909,0.999568,-0.026214,-0.092883,0.646320,0.323617,-0.616402,0.312394,-0.057638,-0.264329,0.170939,0.699693,-0.055481,0.071038,0.004365,-0.017065,0.005005,0.057638,0.264329,-0.170939,-0.024254,0.038784,0.252207,-0.966591,-0.699693,0.055481,-0.071038,0.143448,0.144756,0.145975,0.096873,0.069570,0.064921,0.166539,0.139904,0.125460,0.079936,0.055529,0.143459,0.144686,0.094625,0.067220,0.054970,0.154849,0.156308,0.106327,0.074664,0.054857,0.025000,0.156434,0.987688,0.000000,-0.019442,0.004113,0.142065,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000
