step,unscrew_deg,arm_cmd_j1,arm_cmd_j2,arm_cmd_j3,arm_cmd_j4,arm_cmd_j5,arm_cmd_j6,hand_cmd_0,hand_cmd_1,hand_cmd_2,hand_cmd_3,hand_cmd_4,hand_cmd_5,hand_cmd_6,hand_cmd_7,hand_cmd_8,hand_cmd_9,hand_cmd_10,hand_cmd_11,hand_cmd_12,hand_cmd_13,hand_cmd_14,hand_cmd_15,arm_q_j1,arm_q_j2,arm_q_j3,arm_q_j4,arm_q_j5,arm_q_j6,hand_q_0,hand_q_1,hand_q_2,hand_q_3,hand_q_4,hand_q_5,hand_q_6,hand_q_7,hand_q_8,hand_q_9,hand_q_10,hand_q_11,hand_q_12,hand_q_13,hand_q_14,hand_q_15
11,11.42,2.970634,0.114201,-1.856528,0.284704,-1.39984,-2.035474,-0.197117,0.930934,0.524641,-0.227,1.396,0.78811,0.741396,-0.116027,0.04556,1.212407,0.194645,0.145749,0.008076,1.376535,-0.05148,0.117949,2.942528,0.093172,-1.875702,0.289216,-1.37096,-1.987164,-0.152775,0.938145,0.674641,-0.226662,1.388699,0.693867,0.72983,-0.065353,0.019892,1.062407,0.215894,-4.1e-05,-0.141924,1.226535,-0.20148,-0.002549
12,10.75,2.960526,0.107917,-1.846758,0.268211,-1.415584,-2.041767,-0.153818,0.924093,0.518734,-0.227,1.396,0.777461,0.7026,-0.138239,0.078636,1.230834,0.149639,0.185579,0.03619,1.391095,-0.066646,0.144823,2.949401,0.09457,-1.873684,0.287138,-1.380884,-2.003699,-0.151459,0.946975,0.668734,-0.226704,1.383196,0.721277,0.711124,-0.078197,0.023018,1.080834,0.18218,0.035579,-0.11381,1.241095,-0.216593,0.026178
13,10.18,2.953767,0.089358,-1.850877,0.253445,-1.429342,-2.04711,-0.124408,0.931141,0.510769,-0.227,1.396,0.752924,0.655402,-0.146561,0.105733,1.255128,0.105766,0.222048,0.061866,1.374102,-0.0957,0.185585,2.953436,0.095787,-1.868924,0.278887,-1.392184,-2.016624,-0.149624,0.95719,0.660769,-0.226739,1.386303,0.736721,0.707591,-0.092845,0.020977,1.105128,0.134623,0.072048,-0.088134,1.224102,-0.202082,0.054595
14,9.99,2.960896,0.084689,-1.84149,0.237461,-1.442243,-2.055653,-0.108887,0.952078,0.495939,-0.227,1.396,0.742276,0.609595,-0.140994,0.118941,1.284775,0.060227,0.258151,0.097377,1.378317,-0.127707,0.234941,2.954849,0.095021,-1.86406,0.26892,-1.404143,-2.027924,-0.143974,0.971771,0.645939,-0.226775,1.390164,0.741476,0.693767,-0.105383,0.024246,1.134775,0.08169,0.108151,-0.052623,1.228317,-0.1898,0.086226
15,9.9,2.95846,0.086595,-1.837347,0.219186,-1.460627,-2.071729,-0.107254,0.986904,0.470252,-0.224534,1.396,0.728226,0.576639,-0.121539,0.11826,1.313183,0.024345,0.294086,0.13351,1.386274,-0.145824,0.272166,2.956806,0.091431,-1.858671,0.256872,-1.416632,-2.038484,-0.13631,0.991519,0.620252,-0.226816,1.394382,0.742947,0.6693,-0.113314,0.028922,1.163183,0.029087,0.144086,-0.01649,1.23663,-0.186446,0.122166
16,9.58,2.969913,0.101624,-1.828028,0.199888,-1.474544,-2.08796,-0.119511,1.035619,0.45185,-0.208178,1.396,0.721282,0.530805,-0.088194,0.10369,1.348654,-0.013934,0.330365,0.156084,1.404109,-0.164662,0.308565,2.958034,0.088185,-1.853804,0.243034,-1.429957,-2.050803,-0.129841,1.012739,0.60185,-0.226244,1.397487,0.744458,0.62681,-0.114718,0.032304,1.198654,-0.026803,0.180365,0.006084,1.25411,-0.179135,0.158565
17,9.3,2.979385,0.109215,-1.832502,0.180141,-1.49333,-2.101915,-0.145657,1.085254,0.43289,-0.177934,1.396,0.728227,0.482495,-0.056003,0.075232,1.38289,-0.060375,0.364674,0.185106,1.417064,-0.174,0.344871,2.960822,0.087672,-1.848802,0.22766,-1.444004,-2.064277,-0.126753,1.03554,0.58289,-0.221874,1.396062,0.743874,0.583785,-0.107913,0.032299,1.23289,-0.077655,0.216552,0.035106,1.277233,-0.179627,0.194871
18,9.19,2.989351,0.124639,-1.836569,0.160366,-1.512349,-2.109304,-0.185691,1.134895,0.40263,-0.141381,1.392081,0.74906,0.433643,-0.029565,0.032884,1.420896,-0.106558,0.385095,0.221442,1.443908,-0.174,0.378304,2.965552,0.090242,-1.845738,0.212393,-1.460524,-2.077585,-0.128894,1.069399,0.55263,-0.211289,1.394788,0.746633,0.529669,-0.095034,0.025033,1.270896,-0.124037,0.252012,0.071442,1.301666,-0.178321,0.231159
19,9.17,3.004871,0.135238,-1.849516,0.140393,-1.528571,-2.117908,-0.235664,1.184701,0.38128,-0.118716,1.374274,0.764948,0.384037,-0.017017,0.000245,1.449001,-0.155671,0.406034,0.257407,1.480474,-0.174,0.397849,2.971905,0.096137,-1.845076,0.19613,-1.477958,-2.088308,-0.134298,1.098361,0.53128,-0.194442,1.388759,0.755138,0.467579,-0.079753,0.016676,1.299001,-0.150165,0.284071,0.107407,1.330564,-0.174304,0.266897
20,9.18,3.01506,0.145206,-1.857521,0.120438,-1.544542,-2.118873,-0.285608,1.234332,0.362219,-0.109941,1.363708,0.788013,0.335389,0.009421,-0.018505,1.480016,-0.174,0.435437,0.292798,1.510117,-0.174,0.403505,2.980585,0.104515,-1.847552,0.179208,-1.495689,-2.098565,-0.142026,1.126076,0.512219,-0.176192,1.376089,0.764955,0.403945,-0.065002,0.006096,1.330016,-0.178987,0.312857,0.142798,1.360117,-0.176074,0.298812
21,9.22,3.029609,0.141284,-1.85558,0.100577,-1.546624,-2.10652,-0.293912,1.28325,0.356635,-0.115054,1.36703,0.797188,0.294214,0.049748,-0.023367,1.509159,-0.174,0.455978,0.280974,1.535953,-0.174,0.42305,2.989767,0.113064,-1.851823,0.162287,-1.513531,-2.105229,-0.143912,1.158727,0.506635,-0.160207,1.360541,0.777895,0.335306,-0.047109,-0.000864,1.359159,-0.185458,0.341147,0.130974,1.385953,-0.181194,0.324276
22,9.34,3.03027,0.126477,-1.855312,0.087082,-1.534816,-2.08737,-0.290431,1.32833,0.331499,-0.106279,1.384242,0.792474,0.266929,0.099097,-0.014339,1.546825,-0.174,0.462631,0.276682,1.566649,-0.174,0.428706,2.999228,0.118333,-1.854041,0.144109,-1.527033,-2.106398,-0.140431,1.202404,0.481499,-0.149324,1.339926,0.787549,0.272234,-0.022434,0.001006,1.396825,-0.199463,0.366107,0.126682,1.416649,-0.186464,0.347652
23,9.71,3.017042,0.125558,-1.853,0.087475,-1.536898,-2.068064,-0.280254,1.367935,0.314444,-0.098324,1.396,0.773872,0.253533,0.148954,0.008577,1.573922,-0.174,0.455395,0.273631,1.59393,-0.174,0.420473,3.007274,0.119827,-1.854939,0.126724,-1.532055,-2.100649,-0.130254,1.244538,0.464444,-0.138939,1.315134,0.790955,0.237845,0.007492,-0.000835,1.423922,-0.192623,0.386568,0.123631,1.44393,-0.182925,0.366638
24,10.09,2.999284,0.126149,-1.858134,0.10132,-1.525091,-2.04955,-0.268567,1.409845,0.269724,-0.076481,1.396,0.74138,0.254025,0.192735,0.045383,1.583871,-0.174,0.445367,0.278396,1.603672,-0.174,0.398351,3.010882,0.120582,-1.855738,0.115009,-1.536228,-2.089806,-0.118567,1.276969,0.404469,-0.12919,1.314263,0.788784,0.200371,0.042735,0.006354,1.433871,-0.202006,0.40028,0.128396,1.453672,-0.18928,0.378961
25,9.92,2.995414,0.124622,-1.862304,0.114396,-1.505525,-2.032204,-0.256307,1.449755,0.222341,-0.040748,1.396,0.703615,0.268407,0.229581,0.095309,1.575778,-0.174,0.449229,0.28434,1.609238,-0.164249,0.36234,3.00828,0.121815,-1.857569,0.110918,-1.534486,-2.076497,-0.106307,1.299755,0.362022,-0.116513,1.301623,0.778875,0.179599,0.079581,0.013375,1.425778,-0.18444,0.408747,0.13434,1.459238,-0.189357,0.38311
26,10.07,2.984803,0.133713,-1.86966,0.131928,-1.486676,-2.013395,-0.253218,1.473465,0.176176,-0.000648,1.396,0.663322,0.293439,0.266707,0.139723,1.570066,-0.174,0.439202,0.291671,1.609946,-0.14061,0.314622,3.003952,0.12266,-1.85997,0.111273,-1.526078,-2.06282,-0.103218,1.323465,0.29196,-0.098316,1.305213,0.76242,0.156649,0.116707,0.019686,1.420066,-0.182824,0.41627,0.141671,1.459946,-0.185477,0.377457
27,10.65,2.982209,0.142762,-1.873757,0.150726,-1.467181,-1.99388,-0.26232,1.490101,0.12828,0.042878,1.396,0.628283,0.307138,0.303547,0.162181,1.561616,-0.174,0.428347,0.285946,1.600188,-0.114122,0.277379,2.99818,0.12475,-1.864364,0.117106,-1.513731,-2.047393,-0.11232,1.340101,0.227206,-0.074846,1.308229,0.740483,0.157138,0.153547,0.012181,1.411616,-0.194173,0.419691,0.135946,1.450188,-0.187344,0.36178
28,11.31,2.965725,0.150691,-1.886087,0.167332,-1.448053,-1.973982,-0.264304,1.497969,0.092014,0.084231,1.396,0.605735,0.304256,0.340725,0.162222,1.554729,-0.174,0.40643,0.288035,1.585415,-0.0822,0.243726,2.992673,0.128354,-1.86929,0.126364,-1.498416,-2.029941,-0.114304,1.347969,0.175627,-0.046537,1.313977,0.715778,0.154256,0.190725,0.012222,1.404729,-0.210613,0.420427,0.138035,1.435415,-0.183828,0.341013
29,11.95,2.960344,0.165459,-1.894032,0.186897,-1.42935,-1.954087,-0.27248,1.517462,0.043344,0.132265,1.396,0.581346,0.300781,0.376106,0.158562,1.54777,-0.174,0.398401,0.287342,1.570314,-0.040284,0.201392,2.98525,0.133272,-1.876345,0.138023,-1.481012,-2.011655,-0.12248,1.367462,0.093388,-0.015125,1.325397,0.69186,0.150781,0.227231,0.008562,1.39777,-0.231062,0.416202,0.137342,1.420314,-0.184014,0.317266
30,13.27,2.959842,0.177315,-1.902857,0.206709,-1.411802,-1.934152,-0.284532,1.514363,-0.006363,0.170321,1.396,0.570846,0.305767,0.397597,0.144556,1.501114,-0.174,0.404262,0.274624,1.549387,-0.030144,0.172946,2.977244,0.140227,-1.884127,0.151574,-1.463548,-1.992299,-0.134532,1.364363,0.048372,0.020321,1.33627,0.668794,0.155767,0.263818,-0.005444,1.351114,-0.183309,0.411996,0.124623,1.399387,-0.180144,0.288937
31,14.82,2.955051,0.193632,-1.913181,0.225154,-1.408143,-1.91436,-0.300037,1.513647,-0.056217,0.206389,1.396,0.574235,0.318201,0.4052,0.132257,1.468287,-0.174,0.407672,0.26642,1.521412,-0.026515,0.158389,2.970887,0.148695,-1.892172,0.166998,-1.446455,-1.972643,-0.150037,1.363647,-0.003007,0.056389,1.34714,0.648744,0.168201,0.296872,-0.017743,1.318287,-0.175101,0.410213,0.11642,1.371412,-0.176515,0.26057
32,16.59,2.951338,0.211027,-1.929853,0.229711,-1.418372,-1.895142,-0.299535,1.528139,-0.105453,0.242435,1.396,0.591513,0.312103,0.398913,0.107209,1.462826,-0.174,0.417527,0.270775,1.505177,-0.012928,0.157721,2.965464,0.158311,-1.901411,0.183636,-1.432182,-1.952356,-0.149535,1.378139,-0.0741,0.092435,1.357137,0.635047,0.162103,0.322685,-0.014394,1.312826,-0.193317,0.4109,0.120775,1.355177,-0.162928,0.23624
