step,unscrew_deg,arm_cmd_j1,arm_cmd_j2,arm_cmd_j3,arm_cmd_j4,arm_cmd_j5,arm_cmd_j6,hand_cmd_0,hand_cmd_1,hand_cmd_2,hand_cmd_3,hand_cmd_4,hand_cmd_5,hand_cmd_6,hand_cmd_7,hand_cmd_8,hand_cmd_9,hand_cmd_10,hand_cmd_11,hand_cmd_12,hand_cmd_13,hand_cmd_14,hand_cmd_15,arm_q_j1,arm_q_j2,arm_q_j3,arm_q_j4,arm_q_j5,arm_q_j6,hand_q_0,hand_q_1,hand_q_2,hand_q_3,hand_q_4,hand_q_5,hand_q_6,hand_q_7,hand_q_8,hand_q_9,hand_q_10,hand_q_11,hand_q_12,hand_q_13,hand_q_14,hand_q_15
0,0.0,2.980889,0.199189,-1.890911,0.170389,-1.359889,-2.016989,0.027511,0.793011,0.801289,-0.213111,1.354389,0.380811,0.521989,-0.162,0.097111,0.911111,0.512689,-0.227,0.238489,1.429211,-0.038289,-0.227,2.967,0.1853,-1.9048,0.1565,-1.346,-2.0031,0.0414,0.8069,0.7874,-0.227,1.3405,0.3947,0.5081,-0.162,0.111,0.925,0.4988,-0.227,0.2246,1.4431,-0.0244,-0.2165
1,0.0,2.992241,0.218757,-1.890911,0.170389,-1.363301,-2.016989,0.027511,0.793011,0.801289,-0.185333,1.382167,0.353033,0.549767,-0.162,0.097111,0.911111,0.540467,-0.227,0.266267,1.401433,-0.038289,-0.227,2.970314,0.186035,-1.904016,0.160061,-1.349822,-2.007866,0.038163,0.802032,0.789279,-0.223658,1.34241,0.392384,0.491524,-0.162004,0.107736,0.919221,0.503086,-0.226789,0.210663,1.4298,-0.053532,-0.219369
2,0.01,2.994964,0.23696,-1.9048,0.167497,-1.378753,-2.0031,0.0414,0.8069,0.7874,-0.171444,1.396,0.311366,0.591434,-0.157677,0.111,0.925,0.582134,-0.213111,0.307934,1.387544,-0.0244,-0.213111,2.97592,0.190946,-1.903376,0.162944,-1.354065,-2.011347,0.035715,0.798236,0.790122,-0.214435,1.350128,0.382544,0.496753,-0.162022,0.104926,0.915933,0.511674,-0.226768,0.203878,1.418861,-0.047261,-0.221213
3,1.53,3.00882,0.250987,-1.9248,0.154738,-1.386334,-1.983148,0.069178,0.834678,0.759622,-0.171444,1.396,0.283588,0.637003,-0.162,0.138778,0.952778,0.630397,-0.185333,0.35778,1.359766,0.003378,-0.185333,2.981258,0.20067,-1.906424,0.164855,-1.36164,-2.00875,0.037161,0.801074,0.79143,-0.204084,1.356153,0.366341,0.487003,-0.161352,0.105924,0.917732,0.529542,-0.223079,0.223197,1.409657,-0.035855,-0.219558
4,2.38,3.022616,0.267045,-1.944719,0.155867,-1.400019,-1.963161,0.110845,0.876345,0.717955,-0.185333,1.396,0.269699,0.623105,-0.162,0.180445,0.994445,0.677619,-0.143666,0.39239,1.345877,0.045045,-0.143666,2.988469,0.213027,-1.913661,0.162649,-1.369503,-1.99966,0.045289,0.809013,0.784028,-0.196226,1.358571,0.347966,0.473105,-0.162119,0.1118,0.92285,0.553488,-0.213112,0.24239,1.398723,-0.013578,-0.212011
5,3.53,3.03763,0.284431,-1.963057,0.170886,-1.417299,-1.943182,0.157717,0.923502,0.669586,-0.213111,1.396,0.269699,0.611279,-0.162,0.230406,1.043415,0.71128,-0.094097,0.414912,1.345877,0.094665,-0.093897,2.997223,0.225505,-1.924858,0.162495,-1.380402,-1.987027,0.061118,0.825622,0.768984,-0.193603,1.345104,0.32944,0.461279,-0.161994,0.127446,0.927213,0.56128,-0.195858,0.264912,1.391148,0.014291,-0.19595
6,4.65,3.053035,0.297478,-1.981833,0.189231,-1.435376,-1.923199,0.198936,0.971089,0.621803,-0.227,1.396,0.283588,0.596584,-0.162,0.280339,1.083334,0.712401,-0.044696,0.438659,1.359766,0.144047,-0.044286,3.008258,0.239848,-1.938997,0.166601,-1.393142,-1.972138,0.084433,0.849525,0.747363,-0.198296,1.326,0.314704,0.446584,-0.162006,0.151303,0.933334,0.562401,-0.170877,0.288659,1.38344,0.041629,-0.171667
7,5.72,3.068211,0.305036,-2.000267,0.206173,-1.453831,-1.903218,0.235285,1.018469,0.574349,-0.227,1.396,0.311366,0.586154,-0.162,0.330227,1.090793,0.698626,0.004255,0.459528,1.387544,0.193122,0.005055,3.020865,0.254539,-1.954406,0.174867,-1.407603,-1.956056,0.112193,0.877838,0.71688,-0.205206,1.312515,0.306742,0.436154,-0.16194,0.180597,0.940793,0.548626,-0.140067,0.309528,1.375877,0.058634,-0.140996
8,10.13,3.082242,0.305999,-2.018461,0.218929,-1.472645,-1.883239,0.257745,1.059501,0.529302,-0.227,1.396,0.331246,0.58366,-0.162,0.362142,1.105153,0.700044,0.044835,0.47,1.429211,0.227884,0.04474,3.034964,0.268716,-1.970687,0.185754,-1.423719,-1.939393,0.141722,0.909501,0.679302,-0.210457,1.304263,0.306933,0.43366,-0.161233,0.212142,0.955153,0.550044,-0.105165,0.345064,1.373878,0.077884,-0.10526
9,13.7,3.096206,0.316991,-2.031992,0.234584,-1.490123,-1.863302,0.294094,1.093183,0.489203,-0.227,1.396,0.337236,0.564711,-0.162,0.397185,1.112376,0.691905,0.081184,0.47,1.478451,0.224554,0.081189,3.048659,0.279142,-1.986106,0.19665,-1.44024,-1.921645,0.169663,0.943183,0.639203,-0.214444,1.301501,0.311216,0.414711,-0.161452,0.247185,0.962376,0.541905,-0.068816,0.371095,1.374304,0.074554,-0.068811
10,18.05,3.100908,0.331398,-2.046153,0.243026,-1.507041,-1.843366,0.341106,1.121643,0.45139,-0.227,1.396,0.329337,0.56197,-0.162,0.424515,1.109719,0.665878,0.117411,0.47,1.523014,0.186961,0.117788,3.063243,0.289603,-2.002127,0.208178,-1.457122,-1.903868,0.19962,0.977976,0.60139,-0.217469,1.302019,0.316451,0.41197,-0.161727,0.274515,0.959719,0.515878,-0.032589,0.39408,1.373014,0.036961,-0.032212
11,23.73,3.119346,0.331917,-2.057458,0.238125,-1.520573,-1.823448,0.383634,1.152493,0.416017,-0.227,1.396,0.307549,0.554012,-0.157852,0.454751,1.108685,0.644744,0.153657,0.47,1.52754,0.145278,0.154182,3.074229,0.299865,-2.017328,0.218418,-1.473769,-1.885045,0.233634,1.012675,0.566017,-0.219762,1.318819,0.31818,0.404012,-0.161996,0.304751,0.958685,0.494744,0.003657,0.412856,1.37754,-0.004722,0.004182
12,28.56,3.123895,0.321597,-2.058689,0.234457,-1.520216,-1.803486,0.419761,1.184019,0.376249,-0.227,1.396,0.298857,0.541903,-0.149939,0.47,1.111701,0.63526,0.179232,0.47,1.532863,0.113349,0.184183,3.087429,0.308996,-2.0313,0.224874,-1.490054,-1.865382,0.269761,1.04375,0.526249,-0.221509,1.330158,0.313855,0.391903,-0.161038,0.340062,0.961701,0.48526,0.03985,0.426277,1.382863,-0.036651,0.040539
13,29.71,3.114555,0.308529,-2.061016,0.236898,-1.50597,-1.783547,0.45587,1.217891,0.334947,-0.227,1.396,0.276276,0.539864,-0.141332,0.47,1.126268,0.63476,0.203741,0.47,1.537966,0.090727,0.205788,3.097826,0.312697,-2.040167,0.228011,-1.500859,-1.845712,0.30587,1.073701,0.484193,-0.222838,1.319641,0.308438,0.389864,-0.158191,0.370438,0.976268,0.48476,0.073363,0.436584,1.387967,-0.059273,0.075335
14,28.74,3.102999,0.309351,-2.058438,0.226864,-1.491232,-1.763791,0.47,1.249512,0.307534,-0.219948,1.396,0.239807,0.546932,-0.135942,0.47,1.132177,0.619571,0.214362,0.47,1.541881,0.070402,0.213503,3.104347,0.313786,-2.047235,0.23038,-1.503256,-1.826225,0.341971,1.10533,0.44308,-0.223847,1.303965,0.299215,0.396932,-0.154006,0.393533,0.982177,0.469571,0.10461,0.444796,1.391881,-0.079598,0.106791
15,32.96,3.089212,0.324061,-2.057587,0.218108,-1.478217,-1.744397,0.47,1.268527,0.275257,-0.199007,1.396,0.203831,0.575198,-0.144442,0.47,1.120721,0.577475,0.211093,0.47,1.526675,-0.014547,0.22275,3.104689,0.313298,-2.051892,0.228407,-1.500545,-1.806787,0.372779,1.138315,0.407486,-0.222912,1.317772,0.284561,0.425198,-0.149606,0.411915,0.970721,0.427475,0.130785,0.445622,1.376675,-0.164547,0.13229
16,34.25,3.082062,0.324882,-2.054939,0.222411,-1.476048,-1.72455,0.47,1.301432,0.236107,-0.164178,1.396,0.181744,0.572385,-0.139052,0.47,1.128107,0.581671,0.193935,0.47,1.52822,-0.029435,0.218107,3.100254,0.315043,-2.05565,0.224777,-1.49322,-1.786628,0.396167,1.169051,0.375137,-0.217158,1.325872,0.263887,0.422385,-0.148573,0.425155,0.978107,0.431671,0.150098,0.450178,1.37822,-0.179435,0.154332
17,34.62,3.068792,0.328157,-2.06618,0.215636,-1.459989,-1.704643,0.47,1.320447,0.193639,-0.120973,1.396,0.173545,0.580481,-0.14648,0.47,1.136061,0.580133,0.162889,0.47,1.518923,-0.052029,0.199576,3.095394,0.31746,-2.057386,0.222308,-1.487529,-1.766995,0.413889,1.198491,0.337405,-0.204409,1.337494,0.24319,0.430481,-0.146325,0.435997,0.986061,0.430133,0.160665,0.454086,1.368923,-0.202029,0.169675
