step,level_index_c_dist,level_index_c_prox,level_index_ny_dist,level_index_ny_prox,level_index_py_dist,level_index_py_prox,level_thumb_c_dist,level_thumb_c_prox,level_thumb_ny_dist,level_thumb_ny_prox,level_thumb_py_dist,level_thumb_py_prox,level_middle_c_dist,level_middle_c_prox,level_middle_ny_dist,level_middle_ny_prox,level_middle_py_dist,level_middle_py_prox,level_ring_c_dist,level_ring_c_prox,level_ring_ny_dist,level_ring_ny_prox,level_ring_py_dist,level_ring_py_prox,filt_index_c_dist,filt_index_c_prox,filt_index_ny_dist,filt_index_ny_prox,filt_index_py_dist,filt_index_py_prox,filt_thumb_c_dist,filt_thumb_c_prox,filt_thumb_ny_dist,filt_thumb_ny_prox,filt_thumb_py_dist,filt_thumb_py_prox,filt_middle_c_dist,filt_middle_c_prox,filt_middle_ny_dist,filt_middle_ny_prox,filt_middle_py_dist,filt_middle_py_prox,filt_ring_c_dist,filt_ring_c_prox,filt_ring_ny_dist,filt_ring_ny_prox,filt_ring_py_dist,filt_ring_py_prox,tot_index,tot_thumb,tot_middle,tot_ring
16,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,1,2,1.03,1.23,0.07,0.05,1.11,0.57,0.01,0.01,0.04,0.03,0.0,0.0,0.01,2.46,0.0,1.77,0.0,0.17,0.39,0.13,0.0,2.16,1.93,2.38,3.4,0.0,6.4,0.0
17,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1,0.96,1.17,0.05,0.04,1.05,0.6,0.01,0.01,0.02,0.02,0.0,0.0,0.01,3.12,0.0,1.64,0.0,0.12,0.27,0.09,0.0,1.51,1.35,1.67,3.4,0.0,6.0,0.0
18,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0.85,1.01,0.03,0.02,1.06,0.73,0.01,0.0,0.02,0.01,0.0,0.0,0.0,3.62,0.0,1.23,0.0,0.08,0.19,0.06,0.0,1.06,0.94,1.17,3.4,0.0,5.0,0.0
19,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.7,0.78,0.02,0.06,1.03,0.82,0.0,0.0,0.01,0.01,0.0,0.0,0.0,4.22,0.0,0.86,0.0,0.06,0.13,0.04,0.0,0.74,0.66,0.82,2.8,0.0,5.6,0.0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.55,0.56,0.06,0.16,0.96,0.81,0.0,0.0,0.01,0.01,0.0,0.0,0.0,3.68,0.0,0.6,0.0,0.04,0.09,0.03,0.0,0.52,0.46,0.57,2.4,0.0,5.7,0.0
21,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.46,0.4,0.11,0.42,1.08,0.85,0.0,0.0,0.01,0.0,0.0,0.0,0.0,2.58,0.0,0.42,0.0,0.03,0.06,0.02,0.0,0.36,0.32,0.4,3.8,0.0,5.2,0.0
22,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.47,0.29,0.08,1.08,1.63,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0,0.3,0.0,0.02,0.05,0.02,0.0,0.25,0.23,0.28,7.3,0.0,3.6,0.0
23,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.77,0.21,0.05,0.76,3.98,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.21,0.0,0.01,0.03,0.01,0.0,0.18,0.16,0.2,13.4,0.0,4.2,0.0
24,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0.16,0.04,0.53,7.34,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.15,0.0,0.01,0.02,0.01,0.0,0.12,0.11,0.14,21.6,0.0,5.4,0.0
25,1,0,0,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.85,0.13,0.03,0.37,9.58,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,0.0,0.1,0.0,0.01,0.02,0.01,0.0,0.09,0.08,0.1,21.9,0.0,4.2,0.0
