step,level_index_c_dist,level_index_c_prox,level_index_ny_dist,level_index_ny_prox,level_index_py_dist,level_index_py_prox,level_thumb_c_dist,level_thumb_c_prox,level_thumb_ny_dist,level_thumb_ny_prox,level_thumb_py_dist,level_thumb_py_prox,level_middle_c_dist,level_middle_c_prox,level_middle_ny_dist,level_middle_ny_prox,level_middle_py_dist,level_middle_py_prox,level_ring_c_dist,level_ring_c_prox,level_ring_ny_dist,level_ring_ny_prox,level_ring_py_dist,level_ring_py_prox,filt_index_c_dist,filt_index_c_prox,filt_index_ny_dist,filt_index_ny_prox,filt_index_py_dist,filt_index_py_prox,filt_thumb_c_dist,filt_thumb_c_prox,filt_thumb_ny_dist,filt_thumb_ny_prox,filt_thumb_py_dist,filt_thumb_py_prox,filt_middle_c_dist,filt_middle_c_prox,filt_middle_ny_dist,filt_middle_ny_prox,filt_middle_py_dist,filt_middle_py_prox,filt_ring_c_dist,filt_ring_c_prox,filt_ring_ny_dist,filt_ring_ny_prox,filt_ring_py_dist,filt_ring_py_prox,tot_index,tot_thumb,tot_middle,tot_ring
69,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.24,0.02,0.89,0.11,2.53,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,7.4,0.0
70,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.23,0.02,0.96,0.69,2.49,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.9,0.0
71,0,0,1,1,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.21,0.02,1.19,1.27,2.6,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,4.4,0.0
72,0,0,1,1,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.18,0.02,1.44,1.64,2.57,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,0.0,0.05,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,2.9,0.0
73,0,0,1,1,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.15,0.01,1.57,1.82,2.47,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54,0.0,0.07,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,1.9,0.0
74,0,0,1,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.14,0.01,1.52,1.81,2.26,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02,0.0,0.11,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,2.2,0.0
75,0,0,1,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.13,0.01,1.42,1.74,2.07,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,0.0,0.21,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,4.2,0.0
76,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.12,0.02,1.18,1.49,1.79,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.32,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,5.7,0.0
77,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.12,0.02,1.21,1.56,1.87,1.14,0.0,0.0,0.0,0.01,0.0,0.0,0.0,2.92,0.0,0.28,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,2.0,0.0
78,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.12,0.02,1.13,1.45,1.77,1.13,0.0,0.0,0.0,0.01,0.0,0.0,0.0,2.46,0.0,0.23,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,1.8,0.0
79,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.11,0.02,1.32,1.65,1.94,1.24,0.0,0.0,0.0,0.01,0.0,0.0,0.0,2.11,0.0,0.22,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,1.7,0.0
80,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.12,0.02,1.44,1.76,1.96,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.26,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,1.8,0.0
81,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.09,0.02,1.61,1.91,1.68,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.18,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,1.1,0.0
82,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07,0.02,1.84,2.1,1.57,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.13,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,1.0,0.0
83,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.01,1.71,1.95,1.35,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.09,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,2.0,0.0
84,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.04,0.01,1.59,1.91,1.2,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.06,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,1.9,0.0
85,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.07,0.01,1.37,1.71,1.2,1.24,0.0,0.07,0.0,0.08,0.0,0.0,0.0,0.62,0.0,0.04,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.5,2.2,0.0
86,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.09,0.01,1.23,1.61,1.26,1.21,0.0,0.05,0.0,0.16,0.0,0.0,0.0,0.71,0.0,0.03,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.4,3.2,0.0
87,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.13,0.02,1.17,1.68,1.63,1.36,0.0,0.03,0.0,0.12,0.0,0.0,0.0,0.7,0.0,0.14,0.0,1.77,0.6,0.24,0.0,0.0,0.23,0.04,7.4,0.0,3.3,3.7
88,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0.2,0.06,0.82,1.18,1.69,1.4,0.0,0.02,0.0,0.13,0.0,0.0,0.0,1.04,0.0,0.34,0.0,2.45,1.83,0.54,0.0,0.0,0.58,0.08,3.8,0.1,6.7,7.5
89,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0.31,0.13,0.58,0.82,2.23,1.84,0.0,0.02,0.0,0.09,0.0,0.0,0.0,0.88,0.0,0.28,0.0,1.96,2.09,0.66,0.0,0.0,0.78,0.11,7.3,0.1,1.5,5.1
90,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0.37,0.19,0.4,0.58,2.4,2.03,0.0,0.01,0.0,0.06,0.0,0.0,0.0,0.77,0.0,0.21,0.0,1.5,2.53,0.7,0.0,0.0,0.88,0.12,6.1,0.1,1.0,5.6
91,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0.42,0.23,0.28,0.4,2.75,2.35,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.74,0.0,0.16,0.0,1.17,2.63,0.76,0.0,0.0,1.03,0.15,7.5,0.1,1.1,5.4
92,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.41,0.24,0.2,0.28,2.57,2.24,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.71,0.0,0.12,0.0,0.91,2.28,0.67,0.0,0.0,0.93,0.14,4.8,0.0,1.0,2.7
93,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.38,0.22,0.27,0.35,2.26,2.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.68,0.0,0.09,0.0,0.74,2.18,0.63,0.0,0.0,0.97,0.15,4.4,0.0,1.0,3.7
94,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.27,0.18,0.34,0.51,1.81,1.83,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.8,0.0,0.09,0.0,0.75,1.94,0.58,0.0,0.0,0.93,0.15,3.7,0.0,1.9,2.8
95,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.19,0.13,0.46,0.65,1.49,1.59,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.77,0.0,0.07,0.0,0.7,1.63,0.55,0.0,0.0,0.83,0.16,3.5,0.0,1.3,2.2
96,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.13,0.1,0.44,0.74,1.35,1.39,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.66,0.0,0.05,0.0,0.65,1.14,0.39,0.0,0.0,0.58,0.11,3.3,0.1,0.9,0.0
97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.09,0.47,0.91,0.95,1.26,0.0,0.35,0.0,0.54,0.0,0.05,0.07,0.48,0.0,0.03,0.01,0.55,0.8,0.27,0.0,0.0,0.41,0.08,2.9,3.0,0.6,0.0
98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.1,0.59,1.27,0.66,0.88,0.0,0.53,0.0,0.7,0.0,0.14,0.05,0.33,0.0,0.02,0.0,0.38,0.56,0.19,0.0,0.0,0.29,0.05,3.1,2.4,0.0,0.0
99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.12,0.83,1.66,0.46,0.62,0.0,0.45,0.0,0.55,0.0,0.14,0.03,0.4,0.0,0.02,0.0,0.43,0.39,0.13,0.0,0.0,0.2,0.04,4.2,0.6,1.1,0.0
100,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.13,1.01,1.78,0.32,0.43,0.0,0.32,0.0,0.4,0.0,0.11,0.02,0.42,0.0,0.01,0.0,0.45,0.27,0.09,0.0,0.0,0.14,0.03,3.8,0.1,1.0,0.0
101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.1,1.07,1.4,0.23,0.3,0.0,0.46,0.0,0.53,0.0,0.28,0.02,0.3,0.0,0.01,0.0,0.31,0.19,0.07,0.0,0.0,0.1,0.02,1.7,2.3,0.0,0.0
102,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.08,1.81,1.39,0.16,0.21,0.0,0.32,0.0,0.95,0.0,0.2,0.01,0.21,0.0,0.01,0.0,0.22,0.13,0.05,0.0,0.0,0.07,0.01,5.4,1.9,0.0,0.0
103,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.06,1.68,1.21,0.18,0.53,0.0,0.22,0.0,0.66,0.0,0.14,0.01,0.15,0.0,0.0,0.0,0.15,0.09,0.03,0.0,0.0,0.05,0.01,3.9,2.8,0.0,0.0
104,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.04,1.88,1.37,0.6,1.05,0.0,0.16,0.0,0.46,0.0,0.1,0.01,0.1,0.0,0.0,0.0,0.11,0.41,0.38,0.0,0.0,0.14,0.09,8.1,2.3,0.0,3.0
105,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.16,0.04,1.71,1.44,0.86,1.17,0.0,0.11,0.0,0.32,0.0,0.07,0.0,0.12,0.0,0.0,0.0,0.14,1.38,1.23,0.0,0.0,0.15,0.11,6.0,1.6,0.4,7.2
106,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.15,0.03,1.52,1.45,1.06,1.26,0.0,0.08,0.0,0.23,0.0,0.05,0.0,0.08,0.0,0.0,0.0,0.1,1.67,1.44,0.0,0.0,0.16,0.11,5.7,0.0,0.0,4.6
107,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.17,0.04,1.28,1.36,1.19,1.32,0.0,0.05,0.0,0.16,0.0,0.03,0.0,0.06,0.0,0.0,0.0,0.07,2.1,1.79,0.0,0.0,0.23,0.14,5.1,0.7,0.0,6.3
108,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0.17,0.05,1.02,1.15,1.19,1.26,0.0,0.04,0.0,0.11,0.0,0.02,0.0,0.04,0.0,0.0,0.0,0.05,2.4,2.01,0.0,0.0,0.3,0.16,3.6,0.6,0.0,6.2
109,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.18,0.06,0.95,1.2,1.47,1.38,0.0,0.03,0.0,0.08,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.03,2.29,1.97,0.0,0.0,0.35,0.19,6.2,1.1,0.0,4.7
110,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.19,0.05,0.82,1.12,1.4,1.25,0.0,0.02,0.0,0.41,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.03,2.09,1.87,0.0,0.0,0.41,0.24,3.9,1.2,0.0,4.2
111,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.13,0.04,0.72,0.93,1.06,1.0,0.0,0.01,0.0,0.6,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.03,1.88,1.74,0.0,0.0,0.49,0.32,1.6,1.0,0.0,4.0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.09,0.03,0.59,0.79,0.85,0.84,0.0,0.25,0.0,0.54,0.0,0.01,0.0,0.41,0.0,0.0,0.0,0.56,1.43,1.35,0.0,0.0,0.42,0.28,1.6,1.2,3.1,1.3
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.06,0.02,0.48,0.69,0.79,0.78,0.0,0.47,0.0,0.65,0.0,0.03,0.0,0.37,0.0,0.0,0.0,0.53,1.01,0.94,0.0,0.0,0.29,0.2,2.0,1.9,0.8,0.0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.02,0.41,0.65,0.87,0.83,0.0,0.64,0.0,0.85,0.0,0.12,0.01,0.26,0.0,0.0,0.0,0.38,0.7,0.66,0.0,0.0,0.2,0.14,2.8,2.7,0.1,0.0
115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.03,0.76,1.3,0.61,0.58,0.0,0.63,0.0,0.72,0.0,0.2,0.01,0.19,0.0,0.0,0.0,0.27,0.49,0.46,0.0,0.0,0.14,0.1,4.5,1.4,0.0,0.0
116,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.03,1.11,1.73,0.43,0.41,0.0,0.6,0.0,0.61,0.0,0.3,0.0,0.13,0.0,0.0,0.0,0.19,0.35,0.32,0.0,0.0,0.1,0.07,4.7,1.4,0.0,0.0
117,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,1.11,1.66,0.3,0.29,0.0,0.6,0.0,0.56,0.0,0.39,0.0,0.09,0.0,0.0,0.0,0.13,0.24,0.23,0.0,0.0,0.07,0.05,2.7,1.6,0.0,0.0
118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.97,1.26,0.38,0.38,0.0,0.69,0.0,0.54,0.0,0.45,0.0,0.06,0.0,0.0,0.0,0.09,0.17,0.16,0.0,0.0,0.05,0.03,2.2,2.0,0.0,0.0
119,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.02,0.92,1.03,0.34,0.51,0.0,0.48,0.0,1.08,0.0,0.31,0.0,0.04,0.0,0.0,0.0,0.06,0.12,0.11,0.0,0.0,0.03,0.02,2.5,2.3,0.0,0.0
120,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.01,1.12,1.06,0.63,0.78,0.0,0.34,0.0,1.5,0.0,0.22,0.0,0.03,0.0,0.0,0.0,0.05,0.08,0.08,0.0,0.0,0.02,0.02,5.5,2.5,0.0,0.0
121,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.01,1.19,1.29,0.99,0.95,0.0,0.24,0.0,1.05,0.0,0.15,0.0,0.07,0.0,0.0,0.0,0.09,0.47,0.47,0.0,0.0,0.12,0.12,6.4,2.3,0.4,3.4
122,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.11,0.02,1.04,1.34,1.24,1.06,0.0,0.16,0.0,0.74,0.0,0.11,0.0,0.05,0.0,0.0,0.0,0.06,1.28,1.23,0.0,0.0,0.13,0.12,5.5,0.9,0.0,6.5
123,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.16,0.04,0.73,1.26,1.47,1.2,0.0,0.12,0.0,0.51,0.0,0.08,0.0,0.04,0.0,0.0,0.0,0.04,1.75,1.68,0.0,0.0,0.19,0.15,5.0,0.9,0.0,6.1
124,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.3,0.09,0.51,0.88,2.2,1.71,0.0,0.08,0.0,0.36,0.0,0.05,0.0,0.03,0.0,0.0,0.0,0.03,2.03,1.92,0.0,0.0,0.13,0.16,7.6,1.0,0.0,5.3
125,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.43,0.15,0.36,0.62,2.89,2.18,0.0,0.06,0.0,0.25,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.02,1.42,1.77,0.0,0.0,0.09,0.16,8.8,1.3,0.0,1.6
126,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.57,0.18,0.25,0.43,3.71,2.57,0.0,0.04,0.0,0.18,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.02,0.99,1.45,0.0,0.0,0.07,0.25,10.3,1.3,0.0,1.1
127,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6,0.18,0.18,0.3,3.53,2.44,0.0,0.03,0.0,0.12,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.01,0.72,1.04,0.0,0.0,0.05,0.2,6.1,1.0,0.0,0.3
128,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.47,0.14,0.17,0.33,2.72,1.91,0.0,0.02,0.0,0.09,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.93,1.15,0.0,0.0,0.19,0.32,2.3,1.2,0.0,3.9
129,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.33,0.1,0.16,0.36,2.05,1.46,0.0,0.01,0.0,0.5,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.9,1.07,0.0,0.0,0.27,0.35,1.5,1.5,0.0,2.6
130,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.07,0.11,0.25,1.43,1.02,0.0,0.47,0.0,0.46,0.0,0.01,0.0,0.16,0.0,0.0,0.0,0.18,0.66,0.78,0.0,0.0,0.21,0.27,0.0,1.9,1.1,0.3
131,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.05,0.11,0.24,1.06,0.75,0.0,0.55,0.0,0.53,0.0,0.06,0.0,0.53,0.0,0.0,0.0,0.34,0.46,0.54,0.0,0.0,0.15,0.19,0.6,1.6,2.1,0.0
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.07,0.19,0.48,0.74,0.53,0.0,0.68,0.0,0.57,0.0,0.22,0.02,0.48,0.0,0.0,0.0,0.38,0.32,0.38,0.0,0.0,0.11,0.14,1.6,2.2,0.9,0.0
133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.16,0.4,1.0,0.52,0.37,0.0,0.7,0.0,0.53,0.0,0.25,0.01,0.38,0.0,0.0,0.0,0.31,0.23,0.27,0.0,0.0,0.08,0.1,3.6,1.5,0.3,0.0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.2,0.4,0.98,0.36,0.26,0.0,0.81,0.0,0.37,0.0,0.41,0.01,0.27,0.0,0.0,0.0,0.22,0.16,0.19,0.0,0.0,0.06,0.07,1.7,1.8,0.0,0.0
135,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.24,0.46,1.07,0.25,0.18,0.0,0.85,0.0,0.26,0.0,0.55,0.01,0.19,0.0,0.0,0.0,0.15,0.11,0.13,0.0,0.0,0.04,0.05,2.4,1.8,0.0,0.0
136,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.23,1.38,1.08,0.18,0.13,0.0,0.98,0.0,0.19,0.0,0.48,0.0,0.13,0.0,0.0,0.0,0.11,0.08,0.09,0.0,0.0,0.03,0.03,5.1,1.7,0.0,0.0
137,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.18,1.67,1.06,0.12,0.09,0.0,0.69,0.0,0.84,0.0,0.34,0.0,0.09,0.0,0.0,0.0,0.08,0.05,0.06,0.0,0.0,0.02,0.02,4.3,2.4,0.0,0.0
138,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.14,2.0,1.22,0.09,0.06,0.0,0.48,0.0,1.28,0.0,0.24,0.0,0.06,0.0,0.0,0.0,0.05,0.04,0.04,0.0,0.0,0.01,0.02,4.9,2.3,0.0,0.0
139,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.1,2.04,1.29,0.55,0.7,0.0,0.34,0.0,0.9,0.0,0.17,0.0,0.05,0.0,0.0,0.0,0.04,0.03,0.03,0.0,0.0,0.01,0.01,7.5,2.2,0.0,0.0
140,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.08,1.95,1.4,0.87,1.01,0.0,0.24,0.0,0.63,0.0,0.12,0.0,0.03,0.0,0.0,0.0,0.03,0.02,0.02,0.0,0.0,0.01,0.01,6.8,1.2,0.0,0.0
141,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.06,1.84,1.55,1.15,1.25,0.0,0.17,0.0,0.44,0.0,0.08,0.0,0.02,0.0,0.0,0.0,0.02,0.01,0.02,0.0,0.0,0.0,0.01,7.2,1.3,0.0,0.0
142,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.06,1.55,1.47,1.31,1.37,0.0,0.12,0.0,0.31,0.0,0.06,0.0,0.02,0.0,0.0,0.0,0.01,0.77,0.75,0.0,0.0,0.14,0.13,5.8,0.3,0.0,5.9
143,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.23,0.09,1.28,1.35,1.57,1.57,0.0,0.08,0.0,0.22,0.0,0.04,0.0,0.01,0.0,0.0,0.0,0.01,0.54,3.59,0.0,0.0,0.1,0.29,6.3,0.0,0.0,10.9
144,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.35,0.13,0.89,0.94,2.49,2.2,0.0,0.06,0.0,0.15,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.01,0.37,4.31,0.0,0.0,0.07,0.55,9.2,1.0,0.0,7.1
145,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.42,0.15,0.63,0.66,2.58,2.24,0.0,0.04,0.0,0.11,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.26,4.02,0.0,0.0,0.05,0.7,5.9,0.9,0.0,4.4
146,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0.36,0.12,0.49,0.59,2.09,1.82,0.0,0.03,0.0,0.07,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.18,4.51,0.0,0.0,0.03,1.05,2.6,1.3,0.0,7.5
147,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.28,0.09,0.39,0.53,1.6,1.42,0.0,0.02,0.0,0.41,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.52,3.54,0.0,0.0,0.24,0.93,1.6,1.2,0.0,3.9
148,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.19,0.06,0.31,0.43,1.17,1.06,0.0,0.37,0.0,0.39,0.0,0.01,0.0,0.53,0.0,0.0,0.0,0.63,0.59,2.71,0.0,0.0,0.38,0.85,0.7,1.5,3.8,2.9
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.14,0.05,0.26,0.38,0.9,0.81,0.0,0.52,0.0,0.53,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.07,0.42,1.9,0.0,0.0,0.27,0.6,0.9,1.7,3.4,0.0
150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1,0.04,0.33,0.59,0.63,0.87,0.0,1.11,0.0,0.99,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.75,0.29,1.33,0.0,0.0,0.19,0.42,2.6,4.6,0.0,0.0
151,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.07,0.55,1.15,0.44,0.61,0.0,0.84,0.0,0.84,0.0,0.03,0.0,0.37,0.0,0.0,0.0,0.53,0.2,0.93,0.0,0.0,0.13,0.29,3.7,0.8,0.0,0.0
