step,unscrew_deg,arm_cmd_j1,arm_cmd_j2,arm_cmd_j3,arm_cmd_j4,arm_cmd_j5,arm_cmd_j6,hand_cmd_0,hand_cmd_1,hand_cmd_2,hand_cmd_3,hand_cmd_4,hand_cmd_5,hand_cmd_6,hand_cmd_7,hand_cmd_8,hand_cmd_9,hand_cmd_10,hand_cmd_11,hand_cmd_12,hand_cmd_13,hand_cmd_14,hand_cmd_15,arm_q_j1,arm_q_j2,arm_q_j3,arm_q_j4,arm_q_j5,arm_q_j6,hand_q_0,hand_q_1,hand_q_2,hand_q_3,hand_q_4,hand_q_5,hand_q_6,hand_q_7,hand_q_8,hand_q_9,hand_q_10,hand_q_11,hand_q_12,hand_q_13,hand_q_14,hand_q_15
11,-0.14,0.126827,0.244858,1.460162,3.147374,-1.472756,-2.522479,0.355506,1.13378,0.23813,0.292156,1.225198,-0.044231,0.532921,-0.162,0.47,1.480062,-0.174,-0.049625,0.47,1.61,-0.140063,-0.227,0.073232,0.229812,1.476474,3.089027,-1.43353,-2.58797,0.205506,0.983781,0.08813,0.268576,1.075198,-0.047758,0.382921,-0.154122,0.361992,1.330062,-0.134296,-0.008533,0.458619,1.520414,0.009937,-0.220566
12,5.01,0.126802,0.257206,1.447385,3.16423,-1.479013,-2.502481,0.31742,1.128345,0.229463,0.33329,1.259782,-0.000527,0.5502,-0.162,0.47,1.479986,-0.174,-0.035736,0.47,1.61,-0.173912,-0.227,0.085537,0.234502,1.471892,3.105464,-1.43435,-2.569464,0.16742,0.978345,0.079463,0.274204,1.109782,-0.051385,0.4002,-0.153676,0.333277,1.329986,-0.164884,-0.019536,0.470188,1.544213,-0.023912,-0.21828
13,7.23,0.112887,0.272584,1.435781,3.172062,-1.476801,-2.482482,0.285836,1.127938,0.228019,0.360535,1.302644,0.049432,0.544805,-0.162,0.451058,1.471433,-0.174,-0.007958,0.47,1.61,-0.174,-0.227,0.095754,0.24108,1.464359,3.122371,-1.437982,-2.549122,0.135836,0.977938,0.078019,0.288386,1.152644,-0.046715,0.394805,-0.153684,0.301058,1.321433,-0.171134,-0.023614,0.470429,1.562087,-0.070546,-0.217198
14,11.53,0.105361,0.285928,1.43731,3.174368,-1.474348,-2.462483,0.275408,1.131889,0.220955,0.373891,1.336579,0.099176,0.537298,-0.162,0.43443,1.451115,-0.174,0.026499,0.47,1.61,-0.174,-0.227,0.098187,0.248419,1.455803,3.137125,-1.442275,-2.529109,0.125408,0.981889,0.070955,0.305707,1.186579,-0.031005,0.387298,-0.154172,0.28443,1.301115,-0.169953,-0.02046,0.456316,1.560715,-0.112123,-0.217515
15,13.87,0.111724,0.285382,1.431,3.188085,-1.477082,-2.442491,0.269654,1.125208,0.224803,0.373359,1.364894,0.143326,0.532005,-0.162,0.417871,1.441666,-0.174,0.047067,0.47,1.61,-0.174,-0.227,0.098398,0.256503,1.4492,3.147739,-1.446819,-2.510022,0.119654,0.975208,0.074803,0.322085,1.214894,-0.006674,0.382005,-0.15387,0.267871,1.291667,-0.176543,-0.010471,0.443579,1.561593,-0.141807,-0.217485
16,19.23,0.104197,0.270948,1.419992,3.187913,-1.46777,-2.422543,0.257639,1.117027,0.230713,0.358937,1.396,0.172916,0.528885,-0.162,0.414698,1.413568,-0.174,0.081524,0.47,1.61,-0.174,-0.227,0.100148,0.264969,1.443164,3.158798,-1.450767,-2.491634,0.107639,0.967027,0.080713,0.334395,1.24664,0.022916,0.378885,-0.153422,0.264698,1.263568,-0.174575,0.001645,0.446,1.551378,-0.172603,-0.217148
17,24.4,0.11056,0.270403,1.422723,3.178483,-1.460727,-2.402553,0.231929,1.11595,0.241539,0.330626,1.396,0.194897,0.518816,-0.162,0.415515,1.402053,-0.174,0.128784,0.47,1.597446,-0.174,-0.227,0.101443,0.270889,1.436479,3.166176,-1.451665,-2.472263,0.114543,0.96595,0.091539,0.340275,1.271126,0.052286,0.368816,-0.153508,0.265515,1.252053,-0.177942,0.01946,0.432077,1.528955,-0.187913,-0.217409
18,27.86,0.114381,0.27807,1.426891,3.179728,-1.456756,-2.382558,0.213341,1.121558,0.251435,0.296573,1.396,0.202989,0.507914,-0.162,0.420293,1.396413,-0.174,0.162154,0.47,1.571003,-0.174,-0.227,0.103352,0.273418,1.432522,3.168258,-1.450174,-2.452183,0.121285,0.971558,0.101435,0.337923,1.274553,0.080058,0.357914,-0.154125,0.270293,1.246413,-0.176173,0.044691,0.435634,1.514849,-0.181448,-0.217783
19,29.8,0.111704,0.281856,1.417238,3.180532,-1.456739,-2.362569,0.194999,1.122927,0.262372,0.276409,1.396,0.197193,0.510596,-0.162,0.407063,1.386806,-0.174,0.181636,0.47,1.530671,-0.174,-0.227,0.105758,0.275545,1.430624,3.169767,-1.448059,-2.432946,0.134418,0.972927,0.112372,0.327941,1.284038,0.104914,0.360596,-0.154298,0.257063,1.236806,-0.174469,0.071428,0.442552,1.499712,-0.182613,-0.217623
20,33.15,0.11221,0.278902,1.408907,3.17588,-1.450456,-2.342581,0.162767,1.125494,0.261468,0.246058,1.396,0.177508,0.510507,-0.162,0.408536,1.370363,-0.174,0.196726,0.47,1.504228,-0.174,-0.227,0.107181,0.27892,1.426828,3.171181,-1.44739,-2.413047,0.148704,0.978612,0.111468,0.315495,1.297851,0.122782,0.360507,-0.154773,0.258536,1.220363,-0.177284,0.096743,0.437466,1.476085,-0.179668,-0.217849
