step,unscrew_deg,arm_cmd_j1,arm_cmd_j2,arm_cmd_j3,arm_cmd_j4,arm_cmd_j5,arm_cmd_j6,hand_cmd_0,hand_cmd_1,hand_cmd_2,hand_cmd_3,hand_cmd_4,hand_cmd_5,hand_cmd_6,hand_cmd_7,hand_cmd_8,hand_cmd_9,hand_cmd_10,hand_cmd_11,hand_cmd_12,hand_cmd_13,hand_cmd_14,hand_cmd_15,arm_q_j1,arm_q_j2,arm_q_j3,arm_q_j4,arm_q_j5,arm_q_j6,hand_q_0,hand_q_1,hand_q_2,hand_q_3,hand_q_4,hand_q_5,hand_q_6,hand_q_7,hand_q_8,hand_q_9,hand_q_10,hand_q_11,hand_q_12,hand_q_13,hand_q_14,hand_q_15
12,40.47,0.158257,0.270858,1.438086,3.176904,-1.386225,-2.40948,-0.024746,1.030201,-0.030866,0.597749,1.396,0.103832,0.549644,-0.120055,0.308164,1.094664,0.213575,0.376855,0.47,1.379614,0.254459,-0.227,0.147451,0.245161,1.472806,3.155948,-1.407545,-2.471187,0.039623,0.967193,-0.148525,0.559199,1.343319,0.148497,0.399643,-0.16189,0.28696,0.944664,0.185331,0.231351,0.434781,1.229614,0.105184,-0.225682
13,41.34,0.162525,0.273887,1.434157,3.173249,-1.371193,-2.389546,0.024974,1.080149,-0.006365,0.618034,1.396,0.11889,0.541862,-0.076913,0.261097,1.11142,0.16429,0.415762,0.47,1.386892,0.223129,-0.227,0.149763,0.25436,1.462393,3.162673,-1.400877,-2.451165,0.041915,0.965567,-0.156365,0.568433,1.342818,0.135658,0.391863,-0.150906,0.287397,0.96142,0.137702,0.265956,0.440809,1.236892,0.100104,-0.226296
14,42.51,0.157927,0.269831,1.427159,3.175155,-1.359284,-2.369599,0.073318,1.121469,-0.007273,0.597147,1.396,0.121051,0.534705,-0.063993,0.222151,1.127909,0.115852,0.451607,0.47,1.371079,0.233607,-0.227,0.15323,0.261915,1.453864,3.166206,-1.392166,-2.430495,0.038102,0.971469,-0.157273,0.580325,1.346516,0.128656,0.384705,-0.132283,0.279025,0.977909,0.094325,0.301607,0.443394,1.240782,0.099819,-0.22718
15,43.17,0.161923,0.2837,1.425645,3.178006,-1.360092,-2.349638,0.119776,1.131021,0.009672,0.55314,1.396,0.131506,0.533856,-0.059737,0.183567,1.137312,0.067713,0.487094,0.47,1.361375,0.250848,-0.227,0.155448,0.267305,1.446068,3.168493,-1.382603,-2.410629,0.046472,0.981021,-0.140328,0.58435,1.343256,0.123873,0.384732,-0.11487,0.287391,0.987312,0.048917,0.337094,0.445544,1.235418,0.100848,-0.227061
16,44.44,0.152898,0.274713,1.420027,3.183164,-1.353647,-2.329668,0.144379,1.15611,0.029291,0.531649,1.396,0.097573,0.528337,-0.089314,0.189841,1.136861,0.01905,0.508506,0.47,1.343278,0.239628,-0.227,0.157051,0.272491,1.440004,3.171629,-1.377005,-2.391219,0.063921,1.00611,-0.120709,0.576815,1.331518,0.121667,0.378337,-0.101187,0.2763,0.986861,0.040126,0.372715,0.44811,1.241726,0.089628,-0.226776
17,45.48,0.161544,0.28808,1.41101,3.170686,-1.342095,-2.309683,0.166729,1.166786,0.019956,0.530123,1.396,0.062502,0.526184,-0.11546,0.226507,1.150445,-0.0274,0.525231,0.47,1.330447,0.232189,-0.227,0.156811,0.276622,1.435093,3.175044,-1.370885,-2.371856,0.082878,1.016786,-0.130044,0.565884,1.34113,0.111674,0.376184,-0.097173,0.259447,1.000445,0.003129,0.404702,0.451767,1.24192,0.082189,-0.226471
18,46.6,0.165901,0.290772,1.41068,3.182815,-1.352268,-2.289693,0.19105,1.172224,0.015587,0.484399,1.396,0.035292,0.528878,-0.13952,0.255524,1.167988,-0.073785,0.482669,0.47,1.313064,0.231427,-0.227,0.157371,0.280928,1.428458,3.174006,-1.363597,-2.352046,0.102721,1.022425,-0.134413,0.557224,1.336615,0.096083,0.378878,-0.100271,0.252392,1.017988,-0.041081,0.432805,0.454118,1.242657,0.081427,-0.226408
19,48.49,0.177093,0.27927,1.401075,3.172796,-1.334419,-2.269736,0.146434,1.122525,0.015182,0.488395,1.396,0.026236,0.530714,-0.162,0.304488,1.175305,-0.119358,0.476292,0.47,1.354795,0.234639,-0.227,0.159387,0.285473,1.423436,3.17606,-1.359751,-2.333149,0.12357,1.031542,-0.134818,0.539646,1.346479,0.077326,0.380714,-0.108564,0.254265,1.025306,-0.058686,0.444191,0.457414,1.241281,0.084639,-0.2255
20,50.63,0.164206,0.293828,1.409726,3.163682,-1.329847,-2.249757,0.097112,1.074187,0.024511,0.462887,1.396,0.018885,0.530541,-0.162,0.351295,1.186983,-0.148171,0.504467,0.47,1.38231,0.234967,-0.227,0.163968,0.287734,1.418127,3.174529,-1.351441,-2.312982,0.129077,1.033808,-0.125489,0.527275,1.354474,0.061271,0.380541,-0.120688,0.264976,1.036983,-0.078892,0.451576,0.460431,1.241642,0.084967,-0.225227
21,51.31,0.162144,0.290581,1.396167,3.171872,-1.340368,-2.229769,0.063808,1.040832,0.066039,0.417621,1.396,0.013156,0.534661,-0.162,0.389823,1.203991,-0.174,0.517548,0.47,1.343436,0.226186,-0.227,0.165591,0.289738,1.415361,3.171131,-1.346173,-2.29257,0.121834,1.014807,-0.083961,0.511782,1.357109,0.048401,0.384661,-0.129134,0.281093,1.053991,-0.117492,0.46353,0.460968,1.248135,0.076186,-0.225559
