step,raw_index,raw_thumb,raw_middle,raw_ring,filt_index,filt_thumb,filt_middle,filt_ring,level_index,level_thumb,level_middle,level_ring
326,4.703,2.668,2.878,6.725,6.31,2.623,3.57,10.138,1,0,0,2
327,3.708,2.874,3.971,4.7,5.53,2.698,3.691,8.506,1,0,0,2
328,2.582,2.931,3.511,3.946,4.645,2.768,3.637,7.138,1,0,0,1
329,3.381,3.467,3.803,4.295,4.266,2.978,3.687,6.285,1,0,0,1
330,4.115,4.167,3.261,5.893,4.221,3.335,3.559,6.167,1,0,0,1
331,5.385,3.546,3.213,7.68,4.57,3.398,3.455,6.621,1,0,0,1
332,7.02,2.42,2.998,9.564,5.305,3.105,3.318,7.504,1,0,0,1
333,8.656,3.353,2.697,11.289,6.31,3.179,3.132,8.64,1,0,0,2
334,6.029,2.396,3.716,11.617,6.226,2.944,3.307,9.533,1,0,0,2
335,3.597,3.059,3.343,8.309,5.437,2.979,3.318,9.166,1,0,0,2
336,2.97,3.633,3.128,4.86,4.697,3.175,3.261,7.874,1,0,0,1
337,4.122,2.245,3.191,3.524,4.524,2.896,3.24,6.569,1,0,0,1
338,2.849,4.215,2.341,4.847,4.022,3.292,2.97,6.052,1,0,0,1
339,4.348,3.982,2.072,6.322,4.12,3.499,2.701,6.133,1,0,0,1
340,6.103,4.971,1.939,9.631,4.715,3.94,2.472,7.183,1,0,0,1
341,9.58,3.986,0.0,8.168,6.174,3.954,1.73,7.478,1,0,0,1
342,5.488,6.24,0.0,12.718,5.969,4.64,1.211,9.05,1,1,0,2
343,5.83,6.249,0.0,8.9,5.927,5.122,0.848,9.005,1,1,0,2
344,7.011,1.033,3.499,11.594,6.252,3.896,1.643,9.782,1,0,0,2
345,5.806,1.645,2.643,9.434,6.118,3.221,1.943,9.677,1,0,0,2
346,4.038,2.579,2.024,4.648,5.494,3.028,1.968,8.169,1,0,0,2
347,5.315,2.651,2.368,4.243,5.44,2.915,2.088,6.991,1,0,0,1
348,4.801,3.655,2.7,4.346,5.248,3.137,2.271,6.198,1,0,0,1
349,4.179,3.421,3.595,3.268,4.928,3.222,2.669,5.319,1,0,0,1
350,5.188,4.505,3.289,3.801,5.006,3.607,2.855,4.863,1,0,0,1
351,5.472,3.849,3.841,3.116,5.146,3.68,3.151,4.339,1,0,0,1
352,5.609,4.028,4.146,2.767,5.285,3.784,3.449,3.867,1,0,0,0
353,6.555,4.582,4.944,3.283,5.666,4.024,3.897,3.692,1,1,0,0
354,6.952,4.858,4.786,7.962,6.051,4.274,4.164,4.973,1,1,1,1
355,7.697,4.152,4.485,9.693,6.545,4.237,4.26,6.389,1,1,1,1
356,6.897,3.994,5.309,8.404,6.651,4.165,4.575,6.993,1,1,1,1
357,9.757,3.81,3.789,9.968,7.583,4.058,4.339,7.886,1,1,1,1
358,8.222,3.127,4.6,12.068,7.775,3.779,4.417,9.14,1,0,1,2
