step,raw_index,raw_thumb,raw_middle,raw_ring,filt_index,filt_thumb,filt_middle,filt_ring,level_index,level_thumb,level_middle,level_ring
74,3.701,4.235,3.639,2.098,3.904,5.085,3.52,2.265,0,1,0,0
75,3.058,5.142,4.812,5.919,3.65,5.102,3.908,3.361,0,1,0,0
76,2.6,3.407,5.876,12.633,3.335,4.594,4.498,6.143,0,1,1,1
77,0.911,4.21,8.923,9.475,2.608,4.479,5.825,7.143,0,1,1,1
78,0.0,3.079,8.763,10.627,1.826,4.059,6.707,8.188,0,1,1,2
79,1.189,0.517,8.154,10.458,1.635,2.996,7.141,8.869,0,0,1,2
80,2.329,0.614,8.31,10.886,1.843,2.282,7.492,9.474,0,0,1,2
81,3.47,1.967,5.898,18.502,2.331,2.187,7.013,12.182,0,0,1,3
82,6.902,0.0,0.776,5.79,3.702,1.531,5.142,10.265,0,0,1,2
83,5.101,2.759,0.616,1.42,4.122,1.899,3.784,7.611,1,0,0,1
84,5.913,5.338,2.229,1.495,4.659,2.931,3.318,5.776,1,0,0,1
85,4.469,5.874,3.06,0.402,4.602,3.814,3.241,4.164,1,0,0,1
86,4.752,8.618,2.28,0.0,4.647,5.255,2.952,2.915,1,1,0,0
87,2.51,7.753,2.843,0.0,4.006,6.004,2.92,2.04,1,1,0,0
88,3.223,3.433,2.527,0.631,3.771,5.233,2.802,1.618,0,1,0,0
89,2.767,5.281,2.795,5.441,3.47,5.247,2.8,2.765,0,1,0,0
90,1.982,2.982,5.199,17.281,3.024,4.568,3.52,7.119,0,1,0,1
91,0.6,2.507,6.146,17.112,2.296,3.95,4.307,10.117,0,0,1,2
92,2.813,1.25,4.857,13.749,2.451,3.14,4.472,11.207,0,0,1,2
93,2.138,2.38,2.236,12.867,2.358,2.912,3.802,11.705,0,0,0,2
94,0.809,0.64,7.107,10.621,1.893,2.23,4.793,11.38,0,0,1,2
95,1.636,1.753,10.85,10.884,1.816,2.087,6.61,11.231,0,0,1,2
96,4.58,1.806,10.338,12.644,2.645,2.003,7.728,11.655,0,0,1,2
97,7.637,5.109,1.349,7.733,4.143,2.935,5.815,10.478,1,0,1,2
98,4.893,6.733,2.074,1.168,4.368,4.074,4.692,7.685,1,1,1,1
99,4.812,3.69,3.517,0.0,4.501,3.959,4.34,5.38,1,0,1,1
100,3.995,4.867,2.944,0.0,4.349,4.231,3.921,3.766,1,1,0,0
101,3.46,5.607,2.816,0.0,4.083,4.644,3.59,2.636,1,1,0,0
102,2.994,3.873,4.121,0.0,3.756,4.412,3.749,1.845,0,1,0,0
103,2.011,3.247,3.576,0.0,3.232,4.063,3.697,1.292,0,1,0,0
104,2.742,5.15,6.074,0.0,3.085,4.389,4.41,0.904,0,1,1,0
105,1.236,0.0,11.227,11.621,2.53,3.072,6.455,4.119,0,0,1,1
106,2.804,0.0,9.905,18.56,2.613,2.151,7.49,8.451,0,0,1,2
107,5.165,2.283,7.587,9.571,3.378,2.19,7.519,8.787,0,0,1,2
108,5.488,1.578,3.853,12.545,4.011,2.006,6.419,9.915,1,0,1,2
109,5.288,2.563,2.826,8.991,4.394,2.174,5.341,9.638,1,0,1,2
110,4.907,4.007,0.394,7.472,4.548,2.723,3.857,8.988,1,0,0,2
111,7.113,4.986,0.924,7.437,5.318,3.402,2.977,8.523,1,0,0,2
112,4.682,6.131,3.152,4.691,5.127,4.221,3.03,7.373,1,1,0,1
113,3.44,3.141,2.115,1.222,4.621,3.897,2.755,5.528,1,0,0,1
114,3.062,2.262,4.26,0.0,4.153,3.406,3.207,3.869,1,0,0,0
115,1.833,3.42,5.967,0.0,3.457,3.411,4.035,2.709,0,0,1,0
116,2.051,5.433,4.908,3.658,3.035,4.017,4.297,2.993,0,1,1,0
117,2.204,2.898,5.138,9.283,2.786,3.682,4.549,4.88,0,0,1,1
118,1.661,3.665,4.0,10.66,2.448,3.677,4.384,6.614,0,0,1,1
119,3.855,4.098,3.297,9.079,2.87,3.803,4.058,7.354,0,0,1,1
120,3.112,4.587,4.738,10.247,2.943,4.038,4.262,8.222,0,1,1,2
121,5.858,4.745,3.516,8.56,3.817,4.25,4.038,8.323,0,1,1,2
122,8.466,2.796,3.285,10.247,5.212,3.814,3.812,8.9,1,0,0,2
123,3.573,4.446,1.765,12.853,4.72,4.004,3.198,10.086,1,1,0,2
124,4.351,2.989,2.953,7.847,4.609,3.699,3.125,9.414,1,0,0,2
125,3.706,2.339,2.197,0.861,4.338,3.291,2.846,6.849,1,0,0,1
126,3.007,2.941,2.02,0.2,3.939,3.186,2.598,4.854,0,0,0,1
127,2.876,3.34,3.366,0.0,3.62,3.232,2.829,3.398,0,0,0,0
128,1.477,6.567,5.743,0.0,2.977,4.233,3.703,2.379,0,1,0,0
129,3.106,5.539,3.094,0.851,3.016,4.625,3.52,1.92,0,1,0,0
130,1.927,3.453,4.057,0.35,2.689,4.273,3.681,1.449,0,1,0,0
131,1.546,1.639,6.673,10.127,2.346,3.483,4.579,4.053,0,0,1,1
132,0.492,2.386,8.585,20.226,1.79,3.154,5.781,8.905,0,0,1,2
133,6.048,0.0,7.494,11.848,3.067,2.208,6.295,9.788,0,0,1,2
134,6.754,1.247,6.201,13.147,4.173,1.919,6.267,10.796,1,0,1,2
135,5.742,0.586,4.705,14.048,4.644,1.519,5.798,11.771,1,0,1,2
136,3.904,1.555,5.21,8.104,4.422,1.53,5.622,10.671,1,0,1,2
137,2.343,1.45,4.282,9.661,3.798,1.506,5.22,10.368,0,0,1,2
138,4.173,1.218,5.272,6.98,3.911,1.42,5.235,9.352,0,0,1,2
139,6.528,0.68,2.143,5.173,4.696,1.198,4.308,8.098,1,0,1,2
140,4.374,0.0,3.456,2.048,4.599,0.838,4.052,6.283,1,0,1,1
141,4.325,1.641,2.697,2.58,4.517,1.079,3.646,5.172,1,0,0,1
142,4.568,0.804,2.993,4.487,4.532,0.996,3.45,4.967,1,0,0,1
143,4.29,0.68,4.754,5.219,4.46,0.902,3.841,5.042,1,0,0,1
144,4.776,1.426,4.723,6.35,4.555,1.059,4.106,5.435,1,0,1,1
145,5.146,1.78,3.016,4.303,4.732,1.275,3.779,5.095,1,0,0,1
146,3.537,2.528,3.853,4.01,4.373,1.651,3.801,4.77,1,0,0,1
147,3.396,3.027,3.387,3.977,4.08,2.064,3.677,4.532,1,0,0,1
148,3.378,1.716,4.645,4.086,3.87,1.96,3.967,4.398,0,0,0,1
149,1.985,3.764,4.128,6.289,3.304,2.501,4.016,4.966,0,0,1,1
150,8.045,2.179,3.69,10.887,4.726,2.404,3.918,6.742,1,0,0,1
151,2.538,1.948,6.345,13.511,4.07,2.267,4.646,8.773,1,0,1,2
152,3.09,1.734,5.095,10.288,3.776,2.107,4.781,9.227,0,0,1,2
153,4.342,6.978,1.629,9.994,3.946,3.568,3.835,9.458,0,0,0,2
154,6.463,2.424,2.358,8.385,4.701,3.225,3.392,9.136,1,0,0,2
155,6.102,3.902,3.093,12.572,5.121,3.428,3.302,10.167,1,0,0,2
156,5.642,2.667,3.511,9.215,5.277,3.2,3.365,9.881,1,0,0,2
157,4.506,1.942,2.028,0.647,5.046,2.823,2.964,7.111,1,0,0,1
158,4.283,3.313,1.981,0.904,4.817,2.97,2.669,5.249,1,0,0,1
159,3.792,3.279,2.736,0.626,4.51,3.063,2.689,3.862,1,0,0,0
160,2.315,4.677,3.582,1.59,3.851,3.547,2.957,3.18,0,0,0,0
161,2.554,2.964,2.438,1.043,3.462,3.372,2.801,2.539,0,0,0,0
162,2.286,2.865,5.392,5.614,3.109,3.22,3.578,3.461,0,0,0,0
163,2.15,5.391,3.88,8.329,2.822,3.871,3.669,4.922,0,0,0,1
164,0.0,2.938,8.256,11.072,1.975,3.591,5.045,6.767,0,0,1,1
165,5.742,1.723,5.596,11.77,3.105,3.031,5.21,8.268,0,0,1,2
166,5.396,4.452,2.796,9.945,3.792,3.457,4.486,8.771,0,0,1,2
167,7.173,3.186,1.41,10.533,4.807,3.376,3.563,9.3,1,0,0,2
168,5.683,2.686,2.743,9.368,5.07,3.169,3.317,9.32,1,0,0,2
169,4.113,2.462,2.601,4.821,4.783,2.957,3.102,7.97,1,0,0,1
170,2.995,1.755,2.284,1.758,4.246,2.596,2.857,6.107,1,0,0,1
171,3.762,2.483,2.384,0.987,4.101,2.562,2.715,4.571,1,0,0,1
172,2.869,3.163,3.204,0.405,3.731,2.742,2.862,3.321,0,0,0,0
173,2.185,1.519,1.652,3.671,3.267,2.376,2.499,3.426,0,0,0,0
174,0.827,5.889,3.876,5.859,2.535,3.43,2.912,4.156,0,0,0,1
175,1.613,1.749,6.686,16.829,2.259,2.926,4.044,7.958,0,0,1,1
176,2.283,5.403,5.353,8.353,2.266,3.669,4.437,8.076,0,0,1,2
177,5.469,2.149,4.127,7.852,3.227,3.213,4.344,8.009,0,0,1,2
178,7.516,2.095,4.331,8.972,4.514,2.877,4.34,8.298,1,0,1,2
179,5.892,0.432,5.216,9.401,4.927,2.144,4.603,8.629,1,0,1,2
180,4.41,0.989,4.745,3.474,4.772,1.797,4.645,7.082,1,0,1,1
181,3.235,0.494,5.95,4.133,4.311,1.406,5.037,6.197,1,0,1,1
182,3.206,2.381,4.34,6.359,3.979,1.699,4.828,6.246,0,0,1,1
183,6.061,4.286,3.075,10.486,4.604,2.475,4.302,7.518,1,0,1,1
184,5.332,0.0,7.213,9.228,4.822,1.732,5.175,8.031,1,0,1,2
